Gene,index
MTFR1,0
CD93,1
WDR5,2
JAK3,3
GSTM5,4
MTHFD1,5
ZFP451,6
HMGB2,7
CASP1,8
JUN,9
TLE2,10
ALDH9A1,11
TLK1,12
ELP3,13
UBA3,14
ELAC2,15
TES,16
TOP2A,17
GM28875,18
ZFP930,19
RPA1,20
DNM1L,21
SMIM15,22
VIM,23
9030619P08RIK,24
WDR36,25
MCM4,26
SNAP23,27
PDK3,28
SCRN3,29
SMARCA2,30
GANAB,31
SLC18A2,32
CACFD1,33
ZFP945,34
ZFP672,35
GNAI3,36
REL,37
SEPT6,38
E2F8,39
NSD2,40
TRIB3,41
KRT18,42
FZR1,43
MED22,44
GMPR,45
TFG,46
DIS3L2,47
PWWP3A,48
STXBP3,49
VPS26C,50
TOM1L1,51
DCP1A,52
KPNA3,53
DDHD2,54
PBX1,55
EIF1AD,56
KAT7,57
AHCTF1,58
UBXN2B,59
CDCA5,60
UROS,61
ERLIN2,62
H2-OB,63
HCFC1,64
OSTM1,65
IKZF2,66
RNASE6,67
D1ERTD622E,68
FAM91A1,69
COPB1,70
NUSAP1,71
NDN,72
VPS33B,73
LRRC14,74
ABI1,75
MAPK1,76
ASB8,77
TTF2,78
RGS1,79
PPIC,80
CYB5R3,81
CYB5R1,82
ZDHHC6,83
UBE2C,84
PREP,85
HDAC10,86
ARMC8,87
HEXA,88
GLIPR2,89
USP37,90
SPPL2B,91
XPC,92
CD9,93
ST6GALNAC4,94
SPC24,95
USF3,96
PBK,97
ANKFY1,98
SUPT7L,99
CBFB,100
DNAJC5,101
UNK,102
BAG2,103
MFNG,104
APEH,105
MYB,106
SLC39A9,107
MYO1G,108
TBC1D2B,109
PLAC8,110
AP1B1,111
FBXW5,112
MSH6,113
EPAS1,114
SLC6A6,115
TMEM97,116
MFSD14B,117
POLE3,118
MARCH5,119
TBL3,120
QARS,121
LY6A,122
HAGH,123
BYSL,124
SGTA,125
COL5A1,126
METTL8,127
RNF213,128
NEURL3,129
ANAPC4,130
ABCD3,131
DHX33,132
BLZF1,133
NFATC1,134
FECH,135
RNF141,136
SPTBN1,137
CD34,138
MFSD2B,139
CERS4,140
MNDAL,141
MIEF1,142
PSMD6,143
KDM6A,144
SIGIRR,145
NOTCH1,146
CLDN13,147
ABCG2,148
KIF11,149
SPPL2A,150
F11R,151
RARS,152
TMC6,153
TFRC,154
STXBP4,155
TNFAIP2,156
WDR75,157
GARS,158
SERPINB1A,159
COPB2,160
B230219D22RIK,161
SQOR,162
ADGRL4,163
MCM5,164
ZKSCAN6,165
WDR73,166
NCLN,167
PSEN1,168
CAD,169
LRRFIP1,170
SPIRE1,171
OAT,172
MARS,173
TBCD,174
PRKAR2B,175
TEAD2,176
MIS12,177
PTDSS2,178
WDR45B,179
SLC25A45,180
SOX6,181
NFKBIA,182
SPC25,183
IRF8,184
ZFP24,185
HMMR,186
GMCL1,187
RFC5,188
SLC31A1,189
NXPE2,190
NPLOC4,191
MAN2A2,192
GSS,193
KLF6,194
HEBP1,195
AURKB,196
SDHAF2,197
KIF20B,198
XRCC5,199
HDAC11,200
GOSR2,201
CITED4,202
AQP1,203
AURKA,204
PPM1H,205
EGR1,206
TMEM186,207
PML,208
PITPNB,209
DCAF11,210
NUDT4,211
SKAP2,212
TIE1,213
SLC43A1,214
CHCHD10,215
MCTP1,216
COPS8,217
MYCT1,218
IL21R,219
BCAP29,220
TCIRG1,221
CDK1,222
MINPP1,223
EPOR,224
SCARB1,225
ICE1,226
LCP1,227
COPG1,228
BTRC,229
NELFB,230
RBPMS,231
USP10,232
VPS35,233
PIDD1,234
CDC20,235
IGHM,236
GM19590,237
HNRNPAB,238
SP4,239
MFN2,240
TRMT2A,241
RNF4,242
TMEM176B,243
CCNE2,244
PPP6C,245
NDEL1,246
FASTKD2,247
JARID2,248
HDAC9,249
MYH10,250
ELF4,251
TYMS,252
SLC16A1,253
ANXA5,254
CHUK,255
PUS7,256
NUP107,257
INTS13,258
FAR1,259
DPP8,260
TMEM206,261
RHAG,262
NARF,263
EPSTI1,264
ERLIN1,265
BC005561,266
RORA,267
FTSJ3,268
LPIN2,269
SLC7A4,270
CTNNA1,271
GALK2,272
FBXO5,273
RMND5A,274
INPP1,275
SMAD2,276
SRSF1,277
GNA13,278
DUS1L,279
EXOC2,280
ZFP36,281
ZDHHC13,282
MKI67,283
IFRD2,284
