Gene,index
TRIM47,0
B230219D22RIK,1
NOLC1,2
CCL9,3
CFP,4
MCPT8,5
PLA2G12A,6
CUL3,7
LONP1,8
HACD3,9
METTL27,10
RB1,11
GNS,12
CAMK2D,13
SPO11,14
HEXA,15
FGGY,16
CBFB,17
CD93,18
GALNS,19
IL27RA,20
ANKRD44,21
ENPP5,22
USP37,23
TYROBP,24
ZBTB16,25
DOK2,26
CSF1R,27
TNIP3,28
WDHD1,29
PSAT1,30
ABCG2,31
SIRPA,32
EIF4ENIF1,33
E2F4,34
SRM,35
MCM3,36
MS4A3,37
CENPO,38
KAT7,39
NMD3,40
DDX20,41
ITIH5,42
TOPORS,43
DNM1L,44
VDR,45
SGPP1,46
COLGALT1,47
PTCD3,48
PPID,49
PBX1,50
FBXO5,51
CSF3R,52
MYCN,53
NFATC2,54
COL4A2,55
IGHM,56
AW112010,57
GEMIN5,58
ARCN1,59
MTR,60
TCIRG1,61
PCMTD1,62
ANXA5,63
LGALS1,64
CD82,65
RFC4,66
NAV1,67
OSTM1,68
TLR4,69
ICAM1,70
PDE4D,71
MTFR1,72
SLC44A2,73
GUSB,74
PADI4,75
ATG12,76
PIM2,77
PHF11B,78
HDC,79
ELAC2,80
HSPA1A,81
WSB1,82
MED16,83
MTOR,84
RUVBL2,85
TRMT6,86
CENPK,87
GTF2F1,88
IL12A,89
TUBGCP2,90
H1F0,91
DUT,92
RMND5A,93
ZFP36,94
CNN3,95
EMILIN1,96
ARHGEF18,97
IARS,98
PGLYRP2,99
CCDC50,100
FOXO1,101
PLEK,102
GK,103
TNPO1,104
SLC35A4,105
YBX1,106
GLIPR2,107
ZFP945,108
SLC16A1,109
SHISA5,110
TRAP1,111
FOXRED1,112
PLPPR3,113
DDX39,114
INO80D,115
RANGAP1,116
MXD3,117
PNCK,118
ETF1,119
MNS1,120
BC005561,121
PLXNA4OS1,122
GP9,123
RGS19,124
RPAP1,125
SNRPB,126
PTGR1,127
HSPA4,128
ANXA3,129
OTUD6B,130
TCP11L2,131
ATP8B4,132
TMEM206,133
SELENOP,134
CHRNB1,135
ZNRF2,136
TACC3,137
NAMPT,138
PPM1F,139
CLN5,140
SLPI,141
IFI203,142
TXNIP,143
FAR1,144
ADSSL1,145
POLD1,146
COQ8A,147
TRPC6,148
FLOT2,149
CDC45,150
ARRDC4,151
ANGPT1,152
MAD2L1,153
EDEM1,154
MSH6,155
GM20559,156
EYA2,157
HDAC7,158
NCLN,159
CKAP5,160
KCTD12,161
S100A6,162
TPX2,163
OAS3,164
MTCH2,165
FEM1B,166
EGR1,167
GRIA3,168
IDH3A,169
ATP10A,170
AZIN1,171
HDAC11,172
PPM1G,173
H2-OB,174
GIMAP6,175
VAV3,176
OBSCN,177
ADGRG3,178
MLLT3,179
NDN,180
GM20342,181
GMNN,182
CREBRF,183
SOAT1,184
NDE1,185
C1RL,186
CERS6,187
RAD21,188
RRM1,189
RAB44,190
GOLPH3,191
CIP2A,192
5430427O19RIK,193
CST7,194
PRELID3B,195
IPO9,196
GPRASP1,197
MDN1,198
CKS2,199
OTULINL,200
BDH2,201
UBA2,202
RNF122,203
CTLA2B,204
HLF,205
SALL2,206
MTMR6,207
CDCA7,208
AURKA,209
SERPINB6B,210
SH2D5,211
WDR4,212
UAP1,213
MAP4K2,214
FEM1A,215
MTO1,216
DCK,217
EIF2S1,218
TAF12,219
UPP1,220
TNFRSF21,221
API5,222
HELLS,223
CDK1,224
CD9,225
ZDHHC6,226
TRIM59,227
NOL9,228
CENPL,229
RRM2,230
CSF2RB,231
ME2,232
PPP1CB,233
TTLL12,234
HDGF,235
ZFP422,236
ACSS1,237
HIF3A,238
FASTKD3,239
SLC31A1,240
NAPRT,241
ADA,242
CDKN1C,243
SDC4,244
PHF10,245
GCNT2,246
SHISA8,247
TOP3B,248
STRAP,249
REXO2,250
BTK,251
PRIM1,252
MUC13,253
CDCA3,254
JCHAIN,255
SMPD4,256
GIMAP1OS,257
RCOR1,258
TMEM50B,259
CBX5,260
BYSL,261
ABL1,262
AP3S1,263
GLRX5,264
AGPS,265
IGFBP4,266
SATB1,267
DNAJC9,268
TEX10,269
IGKC,270
ABCB10,271
RAD51,272
ZDHHC13,273
ALDH18A1,274
BIRC5,275
EIF3B,276
SLC2A3,277
PKIB,278
RPA1,279
GFI1B,280
PRODH,281
TEC,282
CENPA,283
ATF7,284
MCM7,285
NCAPG,286
AURKB,287
VIPR2,288
HID1,289
JUN,290
SPI1,291
CPA3,292
BUB1,293
UBA7,294
PRMT7,295
GALNT6,296
JAM3,297
TMX3,298
PPP1R15A,299
SLCO4A1,300
NARS,301
RGS18,302
THADA,303
HP,304
TSPAN3,305
RPP40,306
SLC43A3,307
NUP85,308
DCAF13,309
PRTN3,310
FARSB,311
ARID5A,312
TMEM184C,313
SOX18,314
UBR7,315
PLXNC1,316
ITGAL,317
GM19590,318
IRF6,319
CCNB1,320
MICU1,321
ENG,322
TM7SF3,323
NUP88,324
FSTL1,325
RTEL1,326
NKG7,327
PLXDC2,328
SELENBP1,329
TSPAN14,330
MGAT5,331
MTREX,332
SYK,333
MAGED1,334
GM4951,335
RAB37,336
WDR43,337
CYFIP2,338
NEAT1,339
RGS1,340
CD48,341
DNAJC11,342
LRRC59,343
ABHD17B,344
BUB1B,345
AKAP8L,346
RP2,347
MAN2A2,348
PLAA,349
TGFBR1,350
PHB2,351
GLB1,352
FGL2,353
DNAJC10,354
CDKN1A,355
EPAS1,356
NUS1,357
ELP2,358
PATL1,359
NAPSA,360
NCEH1,361
PSEN1,362
LHCGR,363
CDK18,364
TMEM246,365
CIPC,366
RCC1,367
SUSD3,368
EEF1E1,369
MTHFD1,370
DHFR,371
TRIM30D,372
ABL2,373
CENPF,374
FRRS1,375
POLR2B,376
NEIL3,377
KIF22,378
GOLT1B,379
GIMAP1,380
TENT5A,381
FAM171A1,382
SDF2L1,383
TARS,384
HNRNPLL,385
NUDCD1,386
RACGAP1,387
IRF7,388
TOP2A,389
DENND2D,390
FAM111A,391
AI506816,392
FUT7,393
XAF1,394
TIFAB,395
SH3BGRL,396
