Gene,index
NAV1,0
CD63,1
APP,2
DEPP1,3
UBA7,4
GP9,5
MTUS1,6
RAG2,7
SSH2,8
GM45837,9
CD69,10
HSD3B7,11
CBFB,12
JAM2,13
RGS2,14
E430014B02RIK,15
PDE1B,16
5430427O19RIK,17
PTGS1,18
MYCN,19
ZFP612,20
NUPR1,21
DACH1,22
MSMO1,23
TIE1,24
ARHGAP15,25
WFDC17,26
FADS1,27
ICOS,28
PRDM16,29
TCAF1,30
MPO,31
CPXM1,32
PARVG,33
GIMAP1OS,34
LSP1,35
ANXA5,36
MAGED1,37
TEAD2,38
ZFP62,39
CKS1B,40
SLA,41
FCGRT,42
KBTBD11,43
CHIL5,44
NRROS,45
TM4SF1,46
NOTCH1,47
ENG,48
KLHL4,49
IPCEF1,50
WLS,51
USP11,52
SLC44A2,53
PLD4,54
SYTL1,55
ALDH1A1,56
PLEKHG6,57
PECAM1,58
NEAT1,59
CDK18,60
CAR2,61
FAM171B,62
MN1,63
RFTN1,64
TEK,65
ESAM,66
VEGFC,67
CCT2,68
PIRB,69
BC035044,70
NWD1,71
RBPMS,72
RNF125,73
ITGB2,74
MPL,75
IFI209,76
CADPS2,77
LACTB,78
RP2,79
CISH,80
KLF3,81
HNF4A,82
FUT8,83
DCK,84
IL18BP,85
ZBTB20,86
SPNS3,87
PKIB,88
PRNP,89
GM973,90
CORO1A,91
TIPIN,92
SDC1,93
LTB,94
DUSP6,95
UHRF1,96
BDH2,97
CAMSAP2,98
2810468N07RIK,99
MYO5A,100
DUSP5,101
SAMSN1,102
LAX1,103
OAS2,104
NLRC3,105
PPCDC,106
KAZALD1,107
ATP8B4,108
IFITM3,109
NCF1,110
ART4,111
UBASH3A,112
IFI206,113
TMSB4X,114
LHCGR,115
IGHV1-74,116
GPC1,117
VAMP1,118
GDF3,119
ARHGEF28,120
MYC,121
FSTL1,122
MPDZ,123
TTC39B,124
ARHGDIB,125
CST7,126
PAG1,127
IRF6,128
POLA2,129
HACD4,130
SLAMF1,131
PLIN3,132
IGLV1,133
CLU,134
EFNA1,135
NFIA,136
GAS2L3,137
ITGB5,138
TBXA2R,139
ADGRL4,140
SULT1A1,141
TM6SF1,142
KRT18,143
RHBDF1,144
ZFP422,145
MRVI1,146
F11R,147
IGF1,148
RNF13,149
ATP1A3,150
LAG3,151
FHL1,152
COQ8A,153
PLAC8,154
9530082P21RIK,155
CLEC2I,156
GAA,157
MOGS,158
SERPINA3N,159
PRPS2,160
CTNND2,161
CLEC12A,162
SMPDL3A,163
SERPINB6A,164
CBX7,165
GM5111,166
ADGRG3,167
SLC16A10,168
GDA,169
MCM4,170
RNASE6,171
GSTM1,172
PBX1,173
SLCO3A1,174
EEPD1,175
PPM1G,176
SERPINA3G,177
ADAM17,178
RCSD1,179
PLEK,180
SERPINA3F,181
PRKCH,182
SCARF1,183
TUBB4B,184
RPL41,185
RPS27L,186
IGHD,187
ARL11,188
ELF1,189
RASA4,190
CMAH,191
IGHV1-69,192
WFDC18,193
NCKAP1,194
CREG1,195
CHRNB1,196
GIMAP5,197
SPC24,198
ELL2,199
CTTN,200
LRRC8C,201
ANXA2,202
PTP4A3,203
FUCA2,204
ZYX,205
NFE2,206
P2RX1,207
NR3C2,208
SFRP1,209
MCM5,210
TMEM176B,211
RGS19,212
SHISA9,213
MPZL1,214
TRPV2,215
PLXDC2,216
IFI27,217
CTSG,218
ANGPT1,219
AI504432,220
DTL,221
LGMN,222
H2-OB,223
ARHGAP27,224
SDC2,225
KCTD12,226
LGALS1,227
ARHGEF18,228
MILR1,229
PDGFC,230
GPR18,231
SLC2A3,232
CX3CL1,233
XIST,234
CD27,235
LCP1,236
F630028O10RIK,237
TINAGL1,238
GPR171,239
ZMIZ1,240
TXNIP,241
INHBA,242
4833407H14RIK,243
VWF,244
TALDO1,245
SLC39A13,246
NDNF,247
SLC26A11,248
SIGLECG,249
TSC22D3,250
CES2G,251
LDHD,252
CD63-PS,253
ERP29,254
GGT5,255
GM20342,256
NDRG2,257
UNC93B1,258
CERS4,259
PRIM1,260
UQCR11,261
CAMK1D,262
NDN,263
C030034L19RIK,264
GNG2,265
NOXA1,266
METTL7A1,267
RNF213,268
ARHGAP29,269
SPI1,270
PTGER2,271
SLC29A1,272
COX6A1,273
TMEM14C,274
CD44,275
ICA1,276
IGKC,277
F2R,278
CD244A,279
PRUNE2,280
TMEM37,281
ELOVL5,282
GIMAP1,283
IGHV1-77,284
TLR7,285
PAFAH2,286
TRAF1,287
CTSF,288
GM2A,289
SHROOM4,290
SDSL,291
RUNX1T1,292
SLC9A9,293
TOP2A,294
IGFBP4,295
SERPINF1,296
XPC,297
PLPPR3,298
RASAL3,299
TIFAB,300
ITGAM,301
TESPA1,302
GM11346,303
HLF,304
IGHM,305
GM10419,306
FLT3,307
LY9,308
RANBP1,309
COX7B,310
XDH,311
CDKN1C,312
VDR,313
PBLD2,314
ARRDC4,315
YBX1,316
GPX3,317
JCHAIN,318
SH2D5,319
CRACR2B,320
TRIM16,321
PRR5,322
RARB,323
GM10384,324
CIPC,325
TES,326
CCL9,327
GM4759,328
RUNX2,329
OBSL1,330
RASSF2,331
TBC1D5,332
XRCC6,333
NEURL3,334
CTSH,335
ITM2A,336
ARPP21,337
DNTT,338
GGTA1,339
AMIGO2,340
ACAP1,341
HAAO,342
KIF17,343
ITGAL,344
VAMP5,345
SLBP,346
CARD11,347
SELL,348
2610307P16RIK,349
BLNK,350
GBP4,351
TPM4,352
DOK2,353
PANX1,354
CRIP1,355
SNAP47,356
LARS2,357
NPM1,358
H2AFY,359
HCK,360
FUT7,361
IL17RE,362
ARHGEF39,363
CTSB,364
NKG7,365
GBP9,366
D630039A03RIK,367
UCP2,368
SLC16A2,369
SGMS1,370
UNC45BOS,371
PRSS57,372
GRAMD1A,373
SPNS2,374
NCAPD2,375
PTPRE,376
TRIM59,377
KLRD1,378
TRIM47,379
TMEM268,380
GATA2,381
MEIS1,382
NUDT19,383
ZNRF2,384
H2-Q6,385
DYNLL1,386
PKN3,387
ST8SIA4,388
CD38,389
SNAP23,390
TNFAIP2,391
IL1R1,392
TYROBP,393
CSF1R,394
BPIFC,395
ABCG2,396
HMGB2,397
SELENOP,398
IGHJ4,399
NAPSA,400
IGHV1-76,401
EPSTI1,402
HOXA9,403
FAM110C,404
TTLL7,405
DRC7,406
GHR,407
CD74,408
EYA2,409
ZFP367,410
OBSCN,411
APLP2,412
FDFT1,413
RHOJ,414
FOXO1,415
MPEG1,416
PLXNC1,417
NAIP6,418
TNS2,419
IKZF1,420
PF4,421
TBXAS1,422
TMEM246,423
VAV3,424
DEF8,425
PDZK1IP1,426
EVI2A,427
PGRMC1,428
TRIB3,429
CSF3R,430
IRF8,431
GSTT1,432
CAPG,433
INSRR,434
EBI3,435
CAVIN2,436
SLFN2,437
REL,438
KIT,439
GNG11,440
NCEH1,441
BTLA,442
COX6A2,443
DOCK11,444
ANKRD44,445
HNRNPAB,446
ENPP5,447
LDHB,448
CPNE8,449
ME2,450
KLF6,451
TSPAN2,452
PLSCR4,453
IL12A,454
TMEM206,455
MMRN1,456
SLC6A15,457
SOCS2,458
PDGFRB,459
CD33,460
GM19331,461
ADSSL1,462
ARID5A,463
MEF2C,464
OTUB2,465
TMEM123,466
SELPLG,467
SLC35D3,468
LYN,469
CARD6,470
CLEC1A,471
MGAT1,472
PSTPIP1,473
CAV2,474
PDGFD,475
N4BP3,476
PEAR1,477
PGR,478
IL7R,479
PYGL,480
IGHV1-82,481
RAB40B,482
AFDN,483
PLK2,484
CLCA3A1,485
RAB38,486
SP100,487
TFR2,488
CD48,489
EMB,490
FKBP9,491
ZFP658,492
IGHV1-53,493
CTSL,494
GIMAP8,495
SLC22A3,496
CDK19,497
LONP2,498
GFI1B,499
UAP1L1,500
CCDC136,501
DDX4,502
SERPINB1A,503
TGM2,504
JAM3,505
DENND2D,506
LY86,507
ITPR2,508
UPP1,509
OTULINL,510
CYFIP2,511
CCR9,512
IRAK3,513
CD81,514
MAN1A,515
AP1S2,516
GPR65,517
AMPD2,518
FGD2,519
DOCK10,520
BCL2,521
RRAS,522
ESR1,523
MAML3,524
C230085N15RIK,525
CDK6,526
CHST2,527
BGN,528
VLDLR,529
SLC43A2,530
SCRN1,531
FCHO2,532
GIMAP3,533
EMP1,534
DHRS3,535
FRMD6,536
CCR7,537
FCRL1,538
SSTR2,539
OSGIN1,540
TFPI,541
PPIC,542
CD34,543
FLNA,544
ZFP37,545
STK10,546
9030619P08RIK,547
ITGA6,548
ADAMTSL5,549
IGLC2,550
MAMDC2,551
APOE,552
AKNA,553
C1RL,554
MLPH,555
CCNG2,556
SMTNL1,557
NUCB2,558
MECOM,559
GIMAP4,560
ABHD17B,561
NSMF,562
CLEC14A,563
NEO1,564
SATB1,565
IFI213,566
CCL3,567
GBP2,568
PLCL1,569
ATPIF1,570
SAT1,571
JPT1,572
GM26917,573
LAPTM5,574
RAMP1,575
GM1966,576
PKIA,577
HSPE1,578
CFP,579
PLEKHB1,580
COL4A2,581
PDCD4,582
CTSS,583
RHOF,584
CSGALNACT1,585
CD53,586
AFF3,587
GPX1,588
MCTP2,589
GM4951,590
GM30948,591
GOLM1,592
FAM171A1,593
ROBO4,594
ARHGAP18,595
STXBP1,596
TSPAN13,597
SYK,598
CCDC112,599
SLC18A1,600
SEMA3D,601
RHOH,602
DPP4,603
ITSN1,604
GMNN,605
SLC16A11,606
PROCR,607
IGHV1-81,608
CYP26B1,609
HDAC7,610
NPDC1,611
PLXNA1,612
CTNNAL1,613
IL18RAP,614
TRPC6,615
SLC39A6,616
SLC18A2,617
PPP1R15A,618
HID1,619
CASP12,620
TFEC,621
DUSP1,622
MYCT1,623
MYLK,624
S100A6,625
CNN3,626
IL17RA,627
STK17B,628
MCM7,629
RUSC2,630
NT5C3,631
C130089K02RIK,632
CD52,633
CPQ,634
CD93,635
COL4A1,636
RAB27B,637
OCLN,638
CD7,639
CTR9,640
KCNK5,641
STARD4,642
GCSAM,643
LPCAT2,644
SOX18,645
CDK17,646
TMEM173,647
LCK,648
SLC25A5,649
TSPAN3,650
ITGB7,651
MIR6240,652
TAPT1,653
ANKRD33B,654
H1F0,655
MKI67,656
PDE1C,657
GUCY1A1,658
CD9,659
CLIP3,660
PARP8,661
IFI27L2A,662
CTSW,663
P2RY14,664
SERP1,665
FGFR3,666
GSN,667
AC174780.1,668
BTG2,669
RASIP1,670
RNF38,671
PLXNA4OS1,672
IL10RA,673
MAGED2,674
IFITM1,675
CDT1,676
RORA,677
GM15564,678
GM37124,679
MLLT3,680
H2-DMA,681
UBE2L6,682
CORO7,683
GM8203,684
WFDC2,685
ABCG3,686
PAQR5,687
FGD5,688
NHP2,689
CD55,690
ADGRG1,691
