Gene1,Gene2
BMI1,MECOM
BMI1,GFI1
BMI1,EBF1
BMI1,RUNX2
BMI1,GATA2
BMI1,PPM1H
BMI1,ESR1
BMI1,ARMC8
BMI1,TRIB2
BMI1,ZEB2
BMI1,ATP7B
BMI1,ALG11
BMI1,HOXA9
BMI1,MYO1D
BMI1,HLF
BMI1,IRF8
BMI1,GOLM1
BMI1,LCP1
BMI1,ASNS
BMI1,NR3C2
BMI1,TMEM56
BMI1,IKZF1
BMI1,ARID3B
BMI1,EYA1
BMI1,MAN1A
BMI1,TIFA
BMI1,SPHK1
BMI1,MEF2C
BMI1,TSPAN33
BMI1,GATM
BMI1,NFATC2
BMI1,PIK3C3
BMI1,THRB
BMI1,SQOR
BMI1,IRF5
BMI1,GFI1B
BMI1,METAP1D
BMI1,PLCG2
BMI1,SGO1
BMI1,ST8SIA4
BMI1,SNX10
BMI1,SLC25A21
BMI1,PSMF1
BMI1,PDE4B
BMI1,WDR75
BMI1,ETS1
BMI1,PRKCH
BMI1,GNB4
BMI1,ST3GAL6
BMI1,ANGPT1
BMI1,SALL2
BMI1,EPDR1
BMI1,CHAMP1
BMI1,RCOR1
BMI1,MYCN
BMI1,EYA2
BMI1,SLC11A2
BMI1,GCNT2
BMI1,AHR
BMI1,PBX1
BMI1,CARHSP1
BMI1,NDN
BMI1,GTF3C3
BMI1,BTRC
BMI1,IL27RA
BMI1,ANK
CBFB,MSH6
CBFB,SLC35A1
CBFB,COPG1
CBFB,ORC5
CBFB,NFE2
CBFB,HEMGN
CBFB,CALU
CBFB,LIMD2
CBFB,TIMM29
CBFB,OTUD6B
CBFB,WDR5
CBFB,NOP2
CBFB,PRDM4
CBFB,CLPTM1L
CBFB,DNAJC11
CBFB,SEH1L
CBFB,TES
CBFB,DNAJC10
CBFB,SNRNP200
CBFB,NDOR1
CBFB,ACSS2
CBFB,PCYT1A
CBFB,GARS
CBFB,NUF2
CBFB,RANGAP1
CBFB,ESYT2
CBFB,ARL6IP6
CBFB,NFXL1
CBFB,HSPA4L
CBFB,RPRD1B
CBFB,ATG16L1
CBFB,VPS26C
CBFB,PMPCA
CBFB,ERLIN2
CBFB,PKM
CBFB,ARMT1
CBFB,RCOR1
CBFB,UNK
CBFB,DCAF13
CBFB,SPNS2
CBFB,NFAT5
CBFB,PPAT
CBFB,CASP2
CBFB,NUDCD3
CBFB,CTPS
CBFB,PRKCH
CBFB,MORC3
CBFB,PGLYRP2
CBFB,ATAD2
CBFB,SUPT7L
CBFB,TMEM129
CBFB,TACC3
CBFB,DDX20
CBFB,EIF1AD
CBFB,TFR2
CBFB,RHOT1
CBFB,ATP2A3
CBFB,MIS12
CBFB,FAM76B
CBFB,GOSR2
CBFB,MIS18BP1
CBFB,WARS
CBFB,PFKM
CBFB,AP5M1
CBFB,STK25
CBFB,NCEH1
CBFB,CSTF2
CBFB,CLPX
CBFB,CRNKL1
CBFB,RABGGTB
CBFB,GMFB
CBFB,POLE3
CBFB,ACAP1
CBFB,EYA2
CBFB,PWP2
CBFB,INCENP
CBFB,BIRC5
CBFB,DUS1L
CBFB,RAD51AP1
CBFB,REXO4
CBFB,FIGNL1
CBFB,PJA2
CBFB,CLIC4
CBFB,TRMT2A
CBFB,9430015G10RIK
CBFB,COLGALT1
CBFB,PLEC
CBFB,SLC39A9
CBFB,GYPC
CBFB,CMPK2
CBFB,MED16
CBFB,FAR1
CBFB,RASSF5
CBFB,DDHD2
CBFB,1700017B05RIK
CBFB,PIK3R2
CBFB,ARMC8
CBFB,NUDT9
CBFB,XRCC6
CBFB,TREML2
CBFB,UBA5
CBFB,WDR36
CBFB,ANAPC2
CBFB,DUSP2
CBFB,GTF2H1
CBFB,HDAC7
CBFB,SERPINB9
CBFB,HCFC1
CBFB,DPH6
CBFB,RNF115
CBFB,CSGALNACT2
CBFB,PNO1
CBFB,CIPC
CBFB,RASAL3
CBFB,CENPE
CBFB,DCP1A
CBFB,SLC14A1
CBFB,PSMF1
CBFB,NGLY1
CBFB,ZFP143
CBFB,FEM1B
CBFB,C330018D20RIK
CBFB,DHX33
CBFB,CUL2
CBFB,CHMP7
CBFB,POLD1
CBFB,CHORDC1
CBFB,PHETA2
CBFB,NIF3L1
CBFB,UBAC1
CBFB,SCRN3
CBFB,EPS15
CBFB,RNF141
CBFB,RUVBL2
CBFB,CDC45
CBFB,XPC
CBFB,MTMR6
CBFB,CDCA5
CBFB,YPEL3
CBFB,ZDHHC6
CBFB,CDK1
CBFB,ABHD16A
CBFB,KAT7
CBFB,FCHSD2
CBFB,PRKAB1
CBFB,ACSS1
CBFB,NAA35
CBFB,DNPEP
CBFB,STXBP3
CBFB,TAB1
CBFB,PTPN12
CBFB,NT5DC1
CBFB,HMBS
CBFB,ZBTB20
CBFB,METAP1
CBFB,ZZZ3
CBFB,ATP7B
CBFB,ALG11
CBFB,TCP11L2
CBFB,LCP1
CBFB,XAB2
CBFB,TOX4
CBFB,HDGF
CBFB,ENPP4
CBFB,CYB5R3
CBFB,UBE2G2
CBFB,CRK
CBFB,SACM1L
CBFB,FGFR1OP
CBFB,ELAC2
CBFB,VPS33B
CBFB,CKAP5
CBFB,ZFP62
CBFB,PDE4B
CBFB,WDR75
CBFB,MBTPS1
CBFB,CLCN4
CBFB,WDR45B
CBFB,FNTA
CBFB,BCLAF3
CBFB,GTF2E1
CBFB,IFRD2
CBFB,GPR171
CBFB,EZR
CBFB,ZFP24
CBFB,TBCD
CBFB,GYPA
CBFB,PHAX
CBFB,MCM7
CBFB,IFT140
CBFB,ST8SIA4
CBFB,ATL2
CBFB,ISG20
CBFB,KIF11
CBFB,AURKA
CBFB,CNOT7
CBFB,PTDSS1
CBFB,CHP1
CBFB,ATG4B
CBFB,AHCYL1
CBFB,WDSUB1
CBFB,ZFP397
CBFB,UBR1
CBFB,RAD21
CBFB,LANCL2
CBFB,IPO9
CBFB,HAUS2
CBFB,ADK
CBFB,MCM4
CBFB,CEP70
CBFB,SRSF1
CBFB,NOL9
CBFB,BAP1
CBFB,DEK
CBFB,ARHGAP15
CBFB,STAT3
CBFB,PRMT7
CBFB,NOLC1
CBFB,HARS2
CBFB,HARS
CBFB,RNF139
CBFB,FASTKD2
CBFB,COA5
CBFB,THUMPD3
CBFB,MOGS
CBFB,CDCA3
CBFB,CTR9
CBFB,CNOT10
CBFB,SLC31A1
CBFB,MARS
CBFB,TFRC
CBFB,UROS
CBFB,PTCD3
CBFB,SLA2
CBFB,NUDCD1
CBFB,MGST3
CBFB,RFC4
CBFB,TCF12
CBFB,GFI1
CBFB,FAM45A
CBFB,CUL3
CBFB,CDCA8
CBFB,NCAPH
CBFB,EFTUD2
CBFB,MIOS
CBFB,BLZF1
CBFB,D10WSU102E
CBFB,UBR7
CBFB,CDCA4
CBFB,PPOX
CBFB,ELP3
CBFB,FAM168B
CBFB,MEMO1
CBFB,RNF145
CBFB,HIST1H1C
CBFB,COPS8
CBFB,ABTB1
CBFB,VKORC1L1
CBFB,GALK2
CBFB,DUSP1
CBFB,ADAMTS10
CBFB,TBL3
CBFB,SPTBN1
CBFB,ITSN1
CBFB,ZYX
CBFB,CENPO
CBFB,VPS33A
CBFB,PACSIN2
CBFB,SATB1
CBFB,NDC1
CBFB,HACD3
CBFB,CRBN
CBFB,UAP1
CBFB,VIM
CBFB,FAM136A
CBFB,EIF2B1
CBFB,MIEF1
CBFB,MTREX
CBFB,DOK2
CBFB,ZFP655
CBFB,CCNE2
CBFB,PLD3
CBFB,NECAP2
CBFB,PLIN3
CBFB,FARSB
CBFB,NFKBIA
CBFB,USF3
CBFB,CPOX
CBFB,DENND1C
CBFB,LPCAT3
CBFB,ILVBL
CBFB,KPNA3
CBFB,NDUFV1
CBFB,RRM1
CBFB,SDHAF2
CBFB,CUL4A
CBFB,ZFP672
CBFB,MINPP1
CBFB,ICE1
CBFB,HERC4
CBFB,USP37
CBFB,ABCB8
CBFB,NCAPD2
CBFB,ASAH1
CBFB,TTF1
CBFB,NUBP2
CBFB,D1ERTD622E
CBFB,POLR3F
CBFB,FOXRED1
CBFB,SP4
CBFB,CKS1B
CBFB,SCFD1
CBFB,P2RY14
CBFB,ALKBH8
CBFB,PSMD9
CBFB,NELFB
CBFB,SETD2
CBFB,RARS
CBFB,NR4A1
CBFB,HDAC2
CBFB,UBASH3A
CBFB,BYSL
CBFB,TMEM68
CBFB,TIMM50
CBFB,AFF4
CBFB,ZDHHC13
CBFB,TUBGCP2
CBFB,ABI1
CBFB,PSTPIP1
CBFB,TSPAN3
CBFB,NUP155
CBFB,SGO1
CBFB,MARCH5
CBFB,PBK
CBFB,SMC2
CBFB,PSMD6
CBFB,WDR73
CBFB,NEK9
CBFB,CPT2
CBFB,MXD3
CBFB,AHCTF1
CBFB,CAST
CBFB,NSMAF
CBFB,PHB2
CBFB,CYP20A1
CBFB,MED22
CBFB,E2F8
CBFB,TPX2
CBFB,NRF1
CBFB,DCK
CBFB,FOS
CBFB,TSPAN14
CBFB,PICALM
CBFB,POLR1B
CBFB,ABCB4
CBFB,SHCBP1
CBFB,PPP6C
CBFB,MFSD1
CBFB,PACS1
CBFB,UBXN2B
CBFB,ZFP35
CBFB,RORC
CBFB,FKBP1A
CBFB,CTSE
CBFB,ITIH5
CBFB,TRMT6
CBFB,P2RX4
CBFB,FAAP100
CBFB,VPS35
CBFB,ORC6
CBFB,CISH
CBFB,MFN2
CBFB,MAD2L1
CBFB,DPP8
CBFB,DTL
CBFB,NCAPG2
CBFB,NFE2L2
CBFB,NUP93
CBFB,ANXA5
CBFB,GTF2F1
CBFB,ATP13A1
CBFB,MAU2
CBFB,MAPK1
CBFB,RNF19A
CBFB,WDR4
CBFB,RMND5A
CBFB,LAP3
CBFB,VAMP3
CBFB,OASL2
CBFB,SMIM5
CBFB,RGCC
CBFB,LRRC8C
CBFB,DCAF11
CBFB,OPTN
CBFB,SLC20A1
CBFB,FZR1
CBFB,RPA2
CBFB,CRIP2
CBFB,AAR2
CBFB,SGPL1
CBFB,GTF3C3
CBFB,NUP85
CBFB,PCCA
CBFB,4833439L19RIK
CBFB,CENPK
CBFB,ZFP367
CBFB,GOLT1B
CBFB,HSPH1
CBFB,ME2
CBFB,DRAM2
CBFB,CEPT1
CBFB,TMEM186
CBFB,LMBRD1
CBFB,MCM6
CBFB,RFESD
CBFB,SMAD2
CBFB,PIK3C3
CBFB,EXOC3
CBFB,AP1B1
CBFB,KLF1
CBFB,TMX1
CBFB,EXOC2
CBFB,ARL8B
CBFB,ZFP322A
CBFB,SPPL2A
CBFB,NARFL
CBFB,RNF4
CBFB,SLC18A2
CBFB,FPGS
CBFB,CNIH1
CBFB,NUP107
CBFB,MYNN
CBFB,CACFD1
CBFB,ACAA2
CBFB,RCC1
CBFB,WDHD1
CBFB,AURKB
CBFB,FEM1A
CBFB,LDAH
CBFB,LONP1
CBFB,PQLC1
CBFB,CENPF
CBFB,TOPORS
CBFB,XRCC3
CBFB,STEAP3
CBFB,MRM1
CBFB,CCNA2
CBFB,PLAG1
CBFB,HNRNPLL
CBFB,TARS
CBFB,ZFP110
CBFB,LYRM4
CBFB,KIF20B
CBFB,FBXO5
CBFB,ETF1
CBFB,ATG12
CBFB,AP3S1
CBFB,RB1
CBFB,ODC1
CBFB,COPB1
CBFB,FTSJ3
CBFB,TRPV2
CBFB,ADO
CBFB,SLC25A38
CBFB,NCLN
CBFB,GOLPH3
CBFB,PITRM1
CBFB,ANAPC4
CBFB,STXBP4
CBFB,TMEM168
CBFB,MTHFD1
CBFB,GYG
CBFB,CENPA
CBFB,RANBP3
CBFB,BTRC
CBFB,TASP1
CBFB,PLAA
CBFB,XRCC5
CBFB,CDT1
CBFB,STAP1
CBFB,DNAJC5
CBFB,TRIM30A
CBFB,NIT1
CBFB,KLHL24
CBFB,ARHGEF6
CBFB,HUS1
CBFB,DOCK2
CBFB,IRF1
CBFB,2610301B20RIK
CBFB,MCM3
CBFB,MYO1D
CBFB,SESN1
CBFB,COQ8A
CBFB,CDK19
CBFB,POGLUT1
CBFB,DNM1L
CBFB,ZFP451
CBFB,RNF13
CBFB,NASP
CBFB,NR2C1
CBFB,LPIN2
CBFB,HNRNPAB
CBFB,CD1D1
CBFB,UHRF1
CBFB,SLC19A1
CBFB,SNAPC3
CBFB,COG6
CBFB,TTF2
CBFB,TCF19
CBFB,NEDD1
CBFB,RCSD1
CBFB,GM2A
CBFB,COG7
CBFB,PRELID3B
CBFB,GFM1
CBFB,SMARCA2
CBFB,HSDL1
CBFB,CCNF
CBFB,ARHGAP4
CBFB,JPT2
CBFB,DIS3L2
CBFB,REL
CBFB,ZFP961
CBFB,UROD
CBFB,CTNNA1
CBFB,RMND5B
CBFB,GSTM1
CBFB,TVP23B
CBFB,CKAP2L
CBFB,NAE1
CBFB,MRPL37
CBFB,XK
CBFB,MTAP
CBFB,SNRPB
CBFB,PTDSS2
CBFB,CHMP3
CBFB,LDHB
CBFB,PSMD5
CBFB,MCM5
CBFB,NCAPG
CBFB,MYCN
CBFB,SEPT6
CBFB,PIP4K2A
CBFB,GNAI3
CBFB,MT2
CBFB,LIG1
CBFB,GSKIP
CBFB,GMCL1
CBFB,APLP2
CBFB,PA2G4
CBFB,ALG9
CBFB,B230219D22RIK
CBFB,IL21R
CBFB,SLC30A5
CBFB,NAA50
CBFB,FECH
CBFB,ATP6V1A
CBFB,PPIL4
CBFB,PLK1
CBFB,FBXW5
CBFB,DHFR
CBFB,ACOX1
CBFB,HAGH
CBFB,TMEM177
CBFB,ALDH18A1
CBFB,TBC1D15
CBFB,SPC25
CBFB,ELP2
CBFB,CASP3
CBFB,CYTH4
CBFB,VAV1
CBFB,METTL8
CBFB,RHOF
CBFB,CAPN7
CBFB,PRKAA1
CBFB,HMGB2
CBFB,ZKSCAN3
CBFB,ASB8
CBFB,BCAP29
CBFB,ARAP1
CBFB,SMIM15
CBFB,OAT
CBFB,STT3B
CBFB,KIDINS220
CBFB,NUSAP1
CBFB,SLC39A10
CBFB,MKI67
CBFB,RASA3
CBFB,BUB1B
CBFB,IL27RA
CBFB,HEATR5A
CBFB,WDR6
CBFB,TTLL12
CBFB,DLST
CBFB,TMEM64
CBFB,PSEN2
CBFB,RRM2
CBFB,NADK
CBFB,RELB
CBFB,GEMIN5
CBFB,DPH2
CBFB,MBOAT2
CBFB,PAFAH1B2
CBFB,INTS8
CBFB,ZFP871
CBFB,UBA7
CBFB,LRRC14
CBFB,HMMR
CBFB,CHAMP1
CBFB,PIGQ
CBFB,METAP1D
CBFB,CTLA2A
CBFB,UAP1L1
CBFB,MAPK9
CBFB,ZSCAN21
CBFB,PRIM2
CBFB,POLR2B
CBFB,SQLE
CBFB,BUB1
CBFB,MTO1
CBFB,CBX7
CBFB,USP4
CBFB,ZBTB43
CBFB,USP10
CBFB,ZKSCAN6
CBFB,FADS1
CBFB,XPR1
CBFB,SSX2IP
CBFB,LCP2
CBFB,CHUK
CBFB,BTAF1
CBFB,TM7SF3
CBFB,IPO4
CBFB,ABCD3
CBFB,TFG
CBFB,RABIF
CBFB,CTSC
CBFB,USP8
CBFB,CKAP2
CBFB,ORC2
CBFB,LSP1
CBFB,ALDH9A1
CBFB,ANXA2
CBFB,TMUB2
CBFB,SEC23IP
CBFB,HIST1H2BC
CBFB,SPTLC1
CBFB,NPLOC4
CBFB,RGS2
CBFB,DDX1
CBFB,RFC5
CBFB,LEPROT
CBFB,TBC1D10C
CBFB,SLC25A46
CBFB,ZFP467
CBFB,TUBGCP3
CBFB,LZTR1
CBFB,SGTA
CBFB,TMEM164
CBFB,RGS19
CBFB,NUDT19
CBFB,SLC16A1
CBFB,CDC20
CBFB,CDC7
CBFB,SPC24
CBFB,RORA
CBFB,RPAP1
CBFB,ASF1B
CBFB,LRRFIP1
CBFB,RPP40
CBFB,WDR55
CBFB,RGS1
CBFB,PSAT1
CBFB,RAB37
CBFB,TMEM97
CBFB,STARD10
CBFB,PDCL
CBFB,ATP6AP2
CBFB,AK3
CBFB,LLGL1
CBFB,COPB2
CBFB,CD48
CBFB,UBAP1
CBFB,GPR180
CBFB,UCKL1
CBFB,NET1
CBFB,BC005561
CBFB,OSTM1
CBFB,NDEL1
CBFB,JARID2
CBFB,GSS
CBFB,UBE2C
CBFB,SKAP2
CBFB,CERS5
CBFB,TRIM59
CBFB,CD55
CBFB,TNFAIP2
CBFB,INTS13
CBFB,GCLC
CBFB,TOP2A
CBFB,ABL1
CBFB,ITFG1
CBFB,KLHL6
CBFB,RAD51
CBFB,MARCH6
CBFB,TMEM173
CBFB,APEH
CBFB,AFG3L2
CBFB,ATP1B2
CBFB,ENDOD1
CBFB,PRKAR2B
CBFB,PRC1
CBFB,BUB3
CBFB,YBX3
CBFB,PRPF4
CBFB,PSEN1
CBFB,MAVS
CBFB,CYTH3
CBFB,YBX1
CBFB,PON2
CBFB,NARF
CBFB,QARS
CBFB,NPTN
CBFB,ZFP592
CBFB,TRIB2
CBFB,CPQ
CBFB,UTP4
CBFB,GNPDA1
