Gene1,Gene2
CBFB,MSH6
CBFB,CLTC
CBFB,SLC2A3
CBFB,NFE2
CBFB,ARID5A
CBFB,TMEM229B
CBFB,TIMM29
CBFB,IDH1
CBFB,OTUD6B
CBFB,WDR5
CBFB,DOCK10
CBFB,NOP2
CBFB,NSUN2
CBFB,CLPTM1L
CBFB,HJURP
CBFB,DNAJC11
CBFB,SEH1L
CBFB,DDX21
CBFB,SZT2
CBFB,TES
CBFB,DNAJC10
CBFB,SNRNP200
CBFB,MTMR4
CBFB,ACSS2
CBFB,NUS1
CBFB,F2R
CBFB,GARS
CBFB,NUF2
CBFB,RANGAP1
CBFB,ARL6IP6
CBFB,ECT2
CBFB,RPRD1B
CBFB,IRF9
CBFB,ARMT1
CBFB,RCOR1
CBFB,MGAT1
CBFB,DCAF13
CBFB,SPNS2
CBFB,OSBPL8
CBFB,NFAT5
CBFB,HSPA4
CBFB,PPAT
CBFB,CTPS
CBFB,PRKCH
CBFB,MORC3
CBFB,PGLYRP2
CBFB,ATAD2
CBFB,TACC3
CBFB,DDX20
CBFB,ZFAND5
CBFB,EIF1AD
CBFB,TFR2
CBFB,LY9
CBFB,MIS12
CBFB,FAM76B
CBFB,MIS18BP1
CBFB,EPRS
CBFB,NCEH1
CBFB,CSTF2
CBFB,HAT1
CBFB,RABGGTB
CBFB,GMFB
CBFB,POLE3
CBFB,EYA2
CBFB,PWP2
CBFB,INCENP
CBFB,BIRC5
CBFB,DUS1L
CBFB,LRRC59
CBFB,RAD51AP1
CBFB,REXO4
CBFB,FIGNL1
CBFB,EIF2S1
CBFB,POR
CBFB,9430015G10RIK
CBFB,COLGALT1
CBFB,PHF5A
CBFB,MED16
CBFB,API5
CBFB,SLBP
CBFB,FAR1
CBFB,MRPL20
CBFB,1700017B05RIK
CBFB,PIK3R2
CBFB,GALNT6
CBFB,XRCC6
CBFB,SERP1
CBFB,GTF2H1
CBFB,HDAC7
CBFB,SERPINB9
CBFB,HCFC1
CBFB,PTPRE
CBFB,AP1S2
CBFB,TNPO1
CBFB,CSGALNACT2
CBFB,PNO1
CBFB,CIPC
CBFB,CENPE
CBFB,RPTOR
CBFB,FEM1B
CBFB,DHX33
CBFB,NDC80
CBFB,CKS2
CBFB,PPM1G
CBFB,POLD1
CBFB,CHORDC1
CBFB,GNL3
CBFB,UBAC1
CBFB,LONP2
CBFB,RUVBL2
CBFB,GYS1
CBFB,TESPA1
CBFB,CDC45
CBFB,XPC
CBFB,MTMR6
CBFB,ELF1
CBFB,CDCA5
CBFB,YPEL3
CBFB,ZDHHC6
CBFB,CDK1
CBFB,KAT7
CBFB,ACSS1
CBFB,TEX10
CBFB,TAB1
CBFB,RGS18
CBFB,HMBS
CBFB,ZBTB20
CBFB,SHISA5
CBFB,METAP1
CBFB,TOMM70A
CBFB,TCP11L2
CBFB,HDGF
CBFB,SUPV3L1
CBFB,FGFR1OP
CBFB,NDUFS1
CBFB,ELAC2
CBFB,CKAP5
CBFB,PDE4B
CBFB,ZHX1
CBFB,IFRD2
CBFB,EZR
CBFB,ZFP24
CBFB,MCM7
CBFB,ST8SIA4
CBFB,TMEM33
CBFB,TOP3B
CBFB,ISG20
CBFB,KIF11
CBFB,AURKA
CBFB,PTDSS1
CBFB,AHCYL1
CBFB,RAD21
CBFB,IPO9
CBFB,ATP8B4
CBFB,PRMT5
CBFB,ADK
CBFB,MCM4
CBFB,GPR65
CBFB,ITGAL
CBFB,SRSF1
CBFB,MGAT5
CBFB,NOL9
CBFB,SRM
CBFB,DEK
CBFB,ARHGAP15
CBFB,PRMT7
CBFB,CS
CBFB,NOLC1
CBFB,HARS
CBFB,FASTKD2
CBFB,THADA
CBFB,PSME3
CBFB,MOGS
CBFB,NARS
CBFB,CDCA3
CBFB,CTR9
CBFB,SLC31A1
CBFB,MARS
CBFB,TFRC
CBFB,HASPIN
CBFB,PTCD3
CBFB,FAM102B
CBFB,SLA2
CBFB,STIP1
CBFB,NUDCD1
CBFB,PSMD1
CBFB,RFC4
CBFB,CUL3
CBFB,CDCA8
CBFB,NCAPH
CBFB,EFTUD2
CBFB,ZFP422
CBFB,CEP55
CBFB,UBR7
CBFB,CDCA4
CBFB,DHRS3
CBFB,MDN1
CBFB,ELOVL5
CBFB,MEMO1
CBFB,MPZL1
CBFB,VKORC1L1
CBFB,STAT2
CBFB,DUSP1
CBFB,TBL3
CBFB,OTULINL
CBFB,SPTBN1
CBFB,ITSN1
CBFB,GLRX5
CBFB,CENPO
CBFB,SATB1
CBFB,NDC1
CBFB,HACD3
CBFB,ABL2
CBFB,UAP1
CBFB,SHMT1
CBFB,FAM136A
CBFB,EIF2B1
CBFB,SPNS3
CBFB,MIEF1
CBFB,MTREX
CBFB,GLB1
CBFB,DUT
CBFB,DOK2
CBFB,TMEM43
CBFB,PRODH
CBFB,CCNE2
CBFB,PLD3
CBFB,NECAP2
CBFB,JPT1
CBFB,PLIN3
CBFB,CTC1
CBFB,FARSB
CBFB,SF3B3
CBFB,GBP3
CBFB,NFKBIA
CBFB,PDIA4
CBFB,DENND1C
CBFB,SARAF
CBFB,KPNA3
CBFB,CBX5
CBFB,NDUFV1
CBFB,RRM1
CBFB,KCTD12
CBFB,USP37
CBFB,BCL2
CBFB,SLC35A4
CBFB,ABCB8
CBFB,H2AFX
CBFB,FBXW11
CBFB,AKAP8L
CBFB,NCAPD2
CBFB,EAF1
CBFB,NUBP2
CBFB,RNF38
CBFB,D1ERTD622E
CBFB,FOXRED1
CBFB,CKS1B
CBFB,GPRASP1
CBFB,DEF8
CBFB,PSMD9
CBFB,SETD2
CBFB,RARS
CBFB,HDAC2
CBFB,UBASH3A
CBFB,BYSL
CBFB,PPP1CB
CBFB,EIF3B
CBFB,TIMM50
CBFB,ATRN
CBFB,TPM4
CBFB,ZDHHC13
CBFB,TUBGCP2
CBFB,CAPG
CBFB,PSTPIP1
CBFB,TSPAN3
CBFB,PANX1
CBFB,TMX4
CBFB,NUP155
CBFB,SGO1
CBFB,PBK
CBFB,SMC2
CBFB,PSMD6
CBFB,ATF7
CBFB,MXD3
CBFB,SLC35E1
CBFB,PHB2
CBFB,TMEM184C
CBFB,FASTKD3
CBFB,TOMM40
CBFB,E2F8
CBFB,TPX2
CBFB,DCK
CBFB,TSPAN14
CBFB,CST7
CBFB,CTSL
CBFB,LAX1
CBFB,ABHD17B
CBFB,POLR1B
CBFB,SHCBP1
CBFB,CIP2A
CBFB,MFSD1
CBFB,RPN1
CBFB,MOB3C
CBFB,ZFP35
CBFB,RORC
CBFB,PSMC2
CBFB,ITIH5
CBFB,TRMT6
CBFB,CD69
CBFB,VPS35
CBFB,ORC6
CBFB,CISH
CBFB,MAD2L1
CBFB,DPP8
CBFB,TGFBR1
CBFB,DTL
CBFB,NCAPG2
CBFB,NUP93
CBFB,ANXA5
CBFB,GTF2F1
CBFB,ATP13A1
CBFB,HERPUD1
CBFB,ATP1B3
CBFB,MAPK1
CBFB,WDR4
CBFB,RMND5A
CBFB,LAP3
CBFB,OASL2
CBFB,NDUFA10
CBFB,NWD1
CBFB,RGCC
CBFB,SERPINB6A
CBFB,SEC24D
CBFB,ABCE1
CBFB,SAMD9L
CBFB,SLC20A1
CBFB,RPA2
CBFB,SNAP47
CBFB,PIK3R1
CBFB,NUP85
CBFB,4833439L19RIK
CBFB,PLA2G15
CBFB,CENPK
CBFB,RAP1B
CBFB,ZFP367
CBFB,GOLT1B
CBFB,HSPH1
CBFB,ME2
CBFB,DNAJC9
CBFB,MCM6
CBFB,SLC35B4
CBFB,ARL8B
CBFB,ZFP322A
CBFB,WDR43
CBFB,RNF4
CBFB,SLC18A2
CBFB,CNIH1
CBFB,PCMTD1
CBFB,NUP107
CBFB,ACAA2
CBFB,RCC1
CBFB,WDHD1
CBFB,TRIM35
CBFB,AURKB
CBFB,FEM1A
CBFB,FDFT1
CBFB,LONP1
CBFB,F13A1
CBFB,CENPF
CBFB,TOPORS
CBFB,XRCC3
CBFB,CCNA2
CBFB,PLAG1
CBFB,IMMT
CBFB,KCTD20
CBFB,HNRNPLL
CBFB,TARS
CBFB,CLEC12A
CBFB,KIF20B
CBFB,FBXO5
CBFB,ETF1
CBFB,ATG12
CBFB,AP3S1
CBFB,RB1
CBFB,ODC1
CBFB,COPB1
CBFB,FTSJ3
CBFB,ADO
CBFB,SLC25A38
CBFB,NCLN
CBFB,GOLPH3
CBFB,ACLY
CBFB,STXBP4
CBFB,ARCN1
CBFB,UQCRFS1
CBFB,INO80D
CBFB,PATL1
CBFB,MTHFD1
CBFB,CENPA
CBFB,RANBP3
CBFB,VSIR
CBFB,PLAA
CBFB,CDT1
CBFB,DNAJC5
CBFB,MFSD10
CBFB,ART4
CBFB,TEC
CBFB,HUS1
CBFB,PRSS57
CBFB,MCM3
CBFB,FCHO2
CBFB,SESN1
CBFB,COQ8A
CBFB,USP14
CBFB,DNM1L
CBFB,CREBRF
CBFB,ZFP451
CBFB,NASP
CBFB,HNRNPAB
CBFB,UHRF1
CBFB,SLC19A1
CBFB,TTF2
