TF,Target
12,232
12,206
12,463
12,98
12,246
12,470
12,520
12,8
12,326
12,278
12,578
12,691
12,472
12,374
12,182
12,488
12,308
12,466
12,441
12,341
12,409
12,309
12,346
12,139
12,191
12,333
12,248
12,386
12,665
12,610
12,376
12,516
12,325
12,299
12,646
12,648
12,176
12,28
12,286
12,631
12,498
12,302
12,297
12,189
12,442
12,537
12,492
12,86
12,118
12,236
12,39
12,556
12,239
12,106
12,359
12,629
12,388
12,186
12,108
12,170
12,517
12,344
12,184
12,25
12,158
12,74
12,640
12,574
12,628
12,351
12,145
12,125
12,535
12,387
12,282
12,214
12,622
12,314
12,510
12,604
12,205
12,565
12,87
12,353
12,572
12,132
12,293
12,597
12,101
12,226
12,521
12,375
12,671
12,40
12,664
12,425
12,112
12,337
12,352
12,433
12,473
12,650
12,354
12,207
12,84
12,126
12,494
12,103
12,561
12,105
12,530
12,10
12,137
12,80
12,221
12,467
12,36
12,357
12,569
12,71
12,164
12,201
12,362
12,546
12,73
12,356
12,231
12,410
12,450
12,331
12,617
12,222
12,413
12,162
12,215
12,480
12,358
12,639
12,676
12,111
12,558
12,372
12,364
12,532
12,153
12,497
12,149
12,446
12,96
12,179
12,536
12,289
12,368
12,438
12,172
12,427
12,511
12,448
12,210
12,19
12,78
12,412
12,275
12,384
12,262
12,265
12,642
12,616
12,257
12,584
12,95
12,397
12,479
12,656
12,570
12,45
12,4
12,500
12,165
12,157
12,27
12,345
12,254
12,203
12,68
12,680
12,107
12,185
12,35
12,202
12,14
12,366
12,168
12,175
12,212
12,383
12,518
12,513
12,198
12,677
12,216
12,102
12,489
12,195
12,100
12,377
12,690
12,391
12,686
12,241
12,294
12,508
12,647
12,64
12,600
12,347
12,582
12,395
12,316
12,33
12,55
12,634
12,83
12,174
12,534
12,506
12,455
12,53
12,579
12,669
12,274
12,670
12,224
12,23
12,667
12,197
12,44
12,127
12,194
12,92
12,476
12,595
12,240
12,332
12,199
12,605
12,681
12,522
12,370
12,259
12,524
12,402
12,94
12,588
12,417
12,7
12,428
12,251
12,618
12,515
12,661
12,598
12,626
12,75
12,444
12,81
12,235
12,445
12,451
12,651
12,31
12,41
12,267
12,307
12,462
12,211
12,630
12,499
12,142
12,548
12,514
12,458
12,304
12,421
12,420
12,571
12,245
12,398
12,495
12,487
12,429
12,217
12,625
12,602
12,649
12,614
12,689
12,52
12,283
12,663
12,258
12,380
12,553
12,272
12,61
12,134
12,415
12,329
12,47
12,91
12,653
12,437
12,252
12,580
12,196
12,589
12,613
12,361
12,596
12,128
12,16
12,512
12,348
12,682
12,599
12,592
12,453
12,130
12,89
12,593
12,117
12,5
12,295
12,363
12,465
12,151
12,200
12,114
12,131
12,619
12,156
12,484
12,612
12,49
12,641
12,204
12,261
12,523
12,269
12,452
12,321
12,340
12,273
12,637
12,219
12,396
12,585
12,129
12,315
12,666
12,490
12,424
12,562
12,373
12,603
12,469
12,439
12,575
12,477
12,292
12,568
12,655
12,301
12,526
12,190
12,365
12,560
12,447
12,160
12,485
12,393
12,51
12,79
12,342
12,627
12,400
12,242
12,124
12,163
12,43
12,150
12,339
12,683
12,50
12,367
12,32
12,460
12,268
12,121
12,552
12,343
12,260
12,271
12,355
12,285
12,566
12,611
12,539
12,389
12,538
12,313
12,423
12,62
12,188
12,542
12,586
12,334
12,227
12,323
12,120
12,531
12,183
12,218
12,577
12,624
12,404
12,21
12,48
12,280
12,3
12,567
12,270
12,519
12,319
12,18
12,11
12,440
12,483
12,97
12,287
12,382
12,454
12,58
12,674
12,378
12,687
12,623
12,180
12,659
12,431
12,76
12,545
12,233
12,138
12,169
12,544
12,171
12,459
12,688
12,2
165,247
165,520
165,411
165,559
165,292
165,645
165,312
165,182
165,524
165,213
165,417
165,585
165,565
165,409
165,22
165,307
165,174
165,666
165,209
165,43
165,539
165,0
165,77
165,404
165,654
165,136
165,127
165,226
165,337
165,468
165,469
165,424
165,521
165,385
165,601
165,142
165,661
165,2
165,581
165,636
165,529
165,478
165,64
165,527
165,569
165,295
165,420
165,379
165,331
165,508
165,464
165,240
165,615
165,369
165,535
165,179
165,515
165,677
165,250
165,680
165,304
165,262
165,374
165,496
165,438
165,268
165,330
165,414
165,51
165,169
165,610
165,630
165,617
165,388
165,161
165,16
165,526
165,263
165,477
165,8
165,329
165,63
165,360
165,269
165,107
165,335
165,587
165,376
165,208
165,638
165,431
165,445
165,340
165,688
165,123
165,603
165,606
165,230
165,323
165,439
165,313
165,47
165,563
165,449
165,484
165,453
165,271
165,29
165,452
165,233
165,462
165,57
165,148
165,120
165,14
165,88
165,667
165,644
165,242
165,546
165,275
165,474
165,486
165,391
165,117
165,407
165,175
165,241
165,201
165,219
165,67
