Gene1	Gene2	EdgeWeight
EEF1A1	ENO1	0.014260541647672653
ENO1	EEF1A1	0.013105918653309344
SOX4	SFRP1	0.012630240991711615
SPIB	IRF1	0.012525675818324087
IRF1	SPIB	0.012495520524680614
SOX4	CTNNB1	0.012406877242028713
TCF7L1	SFRP1	0.01237577572464943
ID1	TFAP2A	0.012347225099802015
KHSRP	ARID3A	0.012226777151226996
SP100	ZNF471	0.012220325879752636
SKIL	SRSF6	0.01218851376324892
CRX	SPIB	0.012141183018684387
SPIB	CRX	0.012104296125471592
HAND1	HOXB6	0.012097149156033993
TLR7	IRF1	0.012048285454511642
SOX4	SKIL	0.012009970843791962
HAND1	BMPER	0.011949876323342323
IRF1	CRX	0.01194490771740675
ALYREF	CTNNB1	0.011931721121072771
TLR7	CRX	0.011795619502663612
HOXB6	HAND1	0.011760122142732143
HMGA1	KHSRP	0.011743932962417604
CRX	IRF1	0.011723347008228302
SKIL	SOX4	0.011714261025190352
CTNNB1	SKIL	0.011699260212481022
TFAP2A	ID1	0.01166448649019003
ILF2	XRCC6	0.011612370610237122
SRSF6	SKIL	0.01159082353115082
TP53	CTNNB1	0.011587604880332949
XRCC6	ENO1	0.011557748541235924
SKIL	CTNNB1	0.011551111936569214
PDGFA	SOX4	0.011523509398102759
SNAI2	HAND1	0.011451113037765026
LIN28A	ID1	0.011441809125244616
IRF1	TLR7	0.01142954174429178
LIN28A	KHSRP	0.011419406160712242
CTNNB1	SOX4	0.011408526450395584
TBX3	HAND1	0.011365549638867378
SOX4	FZD5	0.0113622872158885
GATA3	BAMBI	0.011297720484435558
SOX4	TP53	0.011271200142800808
HAND1	TBX3	0.011268671602010729
MSX1	TBX3	0.011241134256124495
SPIB	ZNF471	0.011221112683415413
HAND2	FLI1	0.0111956549808383
ARID3A	KHSRP	0.011162389069795609
LIN28A	HNRNPK	0.01115856785327196
HAND1	FOXF1	0.011146286502480509
NANOG	POU5F1	0.011108455248177052
ASB4	SP100	0.011089954525232315
EOMES	FST	0.01108425669372082
HAND1	CDH11	0.011074481531977655
HAND1	SNAI2	0.011071255430579184
POU5F1	NANOG	0.011068632826209068
PTMA	NPM1	0.011060021817684174
LIN28A	YBX1	0.011057054623961449
ENO1	XRCC6	0.011049911379814148
HNRNPK	YBX1	0.011037001386284828
TLR7	SPIB	0.011034226045012474
HCFC1	KHSRP	0.011029041372239591
EOMES	CA2	0.011011640541255474
ID1	LIN28A	0.011006074026226996
CRX	TLR7	0.010996918193995951
PRDM1	SOX17	0.010992782190442084
SOX17	PRDM1	0.010986725799739359
FOXF1	HAND1	0.010965174064040184
TP53	SOX4	0.010959055274724959
HNRNPK	LIN28A	0.010953650809824468
ZNF471	SP100	0.010952780954539776
XRCC6	ILF2	0.010938339866697788
TBX3	FOXF1	0.010938048362731934
SOX4	TCF7L1	0.010915735736489296
LMX1B	IRF1	0.0108651090413332
LIN28A	HNRNPD	0.010860334150493143
KHSRP	HMGA1	0.01085895299911499
TAF1L	IRF1	0.010857618413865566
MSX1	CA2	0.010848349891602993
HAND2	RSPO3	0.010791625827550888
LMX1B	SPIB	0.010790237225592136
GRHL2	ESRP1	0.010780369862914084
SLA2	SPIB	0.01077774353325367
SPIB	TAF1L	0.010773029178380966
IRF1	ZNF471	0.010768511332571508
LIN28A	TFAP2A	0.010726273991167544
IRF1	TAF1L	0.01069130655378103
CRX	ZNF471	0.010690826922655106
SOX4	PDGFA	0.010684512555599213
CTNNB1	TP53	0.010673352517187595
TFAP2A	BAMBI	0.010660715401172638
PPARA	IRF1	0.010657759383320808
TP53	DNMT3A	0.01065088901668787
POU5F1	FUS	0.0106453038752079
MSX1	EOMES	0.010637334547936916
GATA3	TBX3	0.010635839775204659
TBX3	HOXB6	0.010629959404468536
SPIB	TLR7	0.010588477365672588
TBX3	MSX1	0.010583424009382723
HNRNPD	YBX1	0.01057875994592905
KHSRP	HCFC1	0.010560236871242523
HMGA1	TRIM28	0.010557089932262896
GATA3	MSX1	0.010554670356214045
TCF7L1	SOX4	0.010512154549360277
POU5F1	ID1	0.010496044531464577
SNAI2	HOXB6	0.010494542308151722
GRHL2	NANOG	0.010477420873939993
LIN28A	FZD5	0.010460309684276579
MCM4	UHRF1	0.010458221659064293
NANOG	ESRP1	0.010453065857291222
LEF1	GATA2	0.01043717097491026
YBX1	BAMBI	0.010420570150017738
RAX2	SPIB	0.010385949164628984
RAX2	MAFF	0.010363095439970492
SPIB	SP100	0.010358545929193495
IRF1	PPARA	0.01035315077751875
SPIB	SLA2	0.010353142395615578
