TF	Target	EdgeWeight
CTNNB1	SOX4	0.012004649266600609
TFAP2A	ID1	0.0113056106492877
TP53	SOX4	0.011293324641883373
CTNNB1	SFRP1	0.011140407994389534
CTNNB1	TP53	0.011134492233395576
CTNNB1	ZIC2	0.01111226063221693
CTNNB1	ALYREF	0.011069868691265583
SOX2	HESX1	0.011064138263463974
GATA3	BAMBI	0.011041256599128246
TP53	DNMT3A	0.011020463891327381
GATA3	TBX3	0.011018515564501286
POU5F1	SFRP2	0.01100537646561861
CTNNB1	SKIL	0.01078021340072155
EOMES	FST	0.010765465907752514
TP53	ALYREF	0.01069485954940319
CTNNB1	SRSF6	0.010667807422578335
SOX2	SIX6	0.010601040907204151
TP53	CTNNB1	0.010582080110907555
SOX2	GRHL2	0.010577349923551083
GATA3	MSX1	0.010555136017501354
HAND2	FOXJ1	0.01053362712264061
EOMES	WLS	0.010528967715799809
HAND2	SIX6	0.010524683631956577
CTNNB1	CTBP1	0.010509220883250237
TP53	PDGFA	0.010503856465220451
POU5F1	NANOG	0.01045566238462925
SOX2	POU3F1	0.010452041402459145
SOX2	FOXD3	0.010450668632984161
CTNNB1	LRAT	0.010449187830090523
EOMES	LEPREL1	0.010448887944221497
EOMES	MSX1	0.01042991504073143
CTNNB1	NONO	0.01042922679334879
POU5F1	EPCAM	0.010375188663601875
EOMES	PCDH10	0.010372181423008442
CTNNB1	FZD5	0.010366001166403294
CTNNB1	ABCA1	0.01036167424172163
CTNNB1	RBBP4	0.010333585552871227
SOX2	LECT1	0.010304426774382591
CTNNB1	DNMT3A	0.010290165431797504
GATA3	CYP1B1	0.01028863899409771
POU5F1	SEMA6A	0.010246152989566326
EOMES	GRPR	0.010203596204519272
HAND2	RXRG	0.010202398523688316
NANOG	SEMA6A	0.010198108851909637
AR	SIX6	0.010194026865065098
EOMES	CER1	0.010188093408942223
JUND	ARID3A	0.010186227969825268
CTNNB1	AK4	0.010179203934967518
NANOG	POU5F1	0.010173982940614223
EOMES	SERPINE2	0.010162902064621449
SOX17	TDRD7	0.010152646340429783
TRIM28	HCFC1	0.010123679414391518
GATA3	ID3	0.01011781394481659
TRIM28	KHSRP	0.010109687224030495
NANOG	SFRP2	0.010090404190123081
SOX2	ITGA6	0.01006624847650528
EOMES	CA2	0.010061945766210556
GATA3	LEF1	0.010058578103780746
HAND2	FOXD3	0.01005610078573227
SOX2	FOXJ1	0.010030308738350868
CTNNB1	PDGFA	0.01002079900354147
CTNNB1	TCF7L1	0.010019426234066486
EOMES	GATA6	0.01001823227852583
CTNNB1	STC1	0.010009516961872578
CTNNB1	PSIP1	0.010009221732616425
TRIM28	HMGA1	0.010007335804402828
POU5F1	ID1	0.009987227618694305
SOX2	TRERF1	0.009981769137084484
CTNNB1	NANOG	0.009966700337827206
EOMES	HAS2	0.009948445484042168
SOX2	LMO3	0.009932165965437889
EOMES	SLCO2A1	0.009929447434842587
CTNNB1	STAT2	0.009921083226799965
POU5F1	CD9	0.009917284362018108
TRIM28	ARID3A	0.009886139072477818
GATA3	HAS2	0.009878954850137234
SOX2	USP44	0.009868435561656952
CTNNB1	MDM4	0.00985803920775652
TFAP2A	PROM1	0.009788481518626213
GATA6	LHX1	0.009741665795445442
TFAP2A	DCLK1	0.009740588255226612
TRIM28	SF1	0.009731080383062363
GATA3	NTS	0.009723130613565445
TRIM28	HNRNPAB	0.009715835563838482
GATA3	HOXB6	0.009715545922517776
TP53	SRSF6	0.009703543968498707
CTNNB1	DPYSL3	0.009700154885649681
TP53	SKIL	0.009697448462247849
NANOG	LRAT	0.009697373025119305
CTNNB1	RBMX	0.009686445817351341
TP53	ERCC-00171	0.009654625318944454
NANOG	EPCAM	0.009636740200221539
TP53	CTBP1	0.009624193422496319
EOMES	LHX1	0.009620757773518562
SOX2	ESRP1	0.009617596864700317
CTNNB1	IGDCC4	0.009611589834094048
POU5F1	LIN28A	0.009606604464352131
MLLT3	CCDC80	0.00959416851401329
GATA3	ID1	0.009592147544026375
CTNNB1	HMGN2	0.009587852284312248
TP53	NANOG	0.009575932286679745
POU5F1	PHC1	0.009574445895850658
GATA3	FST	0.009562183171510696
POU5F1	FUS	0.009557374753057957
TP53	PIP4K2A	0.009554787538945675
CTNNB1	PIP4K2A	0.009551335126161575
EOMES	SIPA1L2	0.009550755843520164
TRIM28	PTMA	0.009550133720040321
HAND2	SOX3	0.00954788364470005
EOMES	CYP26A1	0.009546471759676933
POU5F1	BMPR1A	0.00954063143581152
CTNNB1	LIN28A	0.009520918130874634
NANOG	CD9	0.009510913863778114
TFAP2A	ANXA3	0.009497292339801788
CTNNB1	EWSR1	0.009493038058280945
AR	FOXJ1	0.009459428489208221
TRIM28	ALYREF	0.009457482025027275
NANOG	NLGN4X	0.009448898024857044
GATA3	GAD1	0.009445035830140114
GATA3	SERPINE2	0.009438869543373585
CTNNB1	PRDM1	0.009437358006834984
TP53	PHF17	0.009434244595468044
SOX2	GRHL1	0.009425370953977108
GATA3	PCDH10	0.00941277202218771
JUND	WLS	0.009411600418388844
EOMES	PLXNA2	0.009409278631210327
TP53	FAM117B	0.00940643809735775
TP53	ZIC2	0.009400667622685432
TP53	STAT2	0.00939674861729145
TRIM28	ARID3B	0.009384156204760075
CTNNB1	SRSF3	0.00938296690583229
CTNNB1	ERCC-00004	0.009379282593727112
AR	HESX1	0.009377826005220413
CTNNB1	HIF1A	0.00937404204159975
TP53	DDAH1	0.009373108856379986
JUND	MSX1	0.009362787008285522
HAND2	RORB	0.009353422559797764
POU5F1	ID3	0.009350166656076908
TRIM28	POLR2A	0.009345565922558308
NANOG	LIN28A	0.009343866258859634
SNAI2	HAND1	0.009330833330750465
POU5F1	ASNS	0.009329422377049923
NANOG	AK4	0.009319103322923183
SOX2	PROM1	0.009304802864789963
EOMES	GABRB2	0.009301615878939629
SOX2	SOX3	0.009296310134232044
SOX2	TRIM22	0.009282362647354603
CTNNB1	PTMA	0.00927561055868864
TFAP2A	GAD1	0.009271331131458282
AR	POU3F1	0.00926976278424263
NANOG	PTPRZ1	0.009262992069125175
TRIM28	CCND1	0.009261243045330048
POU5F1	AK4	0.009256143122911453
POU5F1	NLGN4X	0.009249069727957249
NANOG	PDGFA	0.009248141199350357
NANOG	PHC1	0.00924051646143198
GATA6	CYP26A1	0.009237495250999928
CTNNB1	SEMA3A	0.009224523790180683
TRIM28	LIN28A	0.0092214560136199
LEF1	GATA2	0.009217862971127033
CTNNB1	SEMA6A	0.009214287623763084
PRDM1	S1PR3	0.009204568341374397
TP53	POU5F1	0.009202354587614536
CTNNB1	H1F0	0.00920196995139122
POU5F1	GABRB3	0.009188071824610233
HAND2	HOXB4	0.009181588888168335
AR	RXRG	0.009177782572805882
CTNNB1	TFAP4	0.009177019819617271
HAND2	NR0B1	0.009168923832476139
SOX17	PRDM1	0.009157801978290081
SNAI2	HOXB6	0.0091560622677207
GATA3	HAND1	0.009151562117040157
PRDM1	SOX17	0.009149743244051933
EOMES	NTS	0.009131771512329578
CTNNB1	APBB2	0.009127672761678696
TP53	GPC3	0.00912669487297535
POU5F1	MRS2	0.009114209562540054
AR	FOXD3	0.009113283827900887
POU5F1	ZFP42	0.009109042584896088
TP53	ERCC-00074	0.009108052588999271
HAND2	TBX20	0.009093191474676132
JUND	YAF2	0.00908192340284586
SOX2	POLR3G	0.00907977856695652
PRDM1	MATN3	0.009072888642549515
CTNNB1	NAA15	0.009072119370102882
EOMES	APOBEC3G	0.009071752429008484
SOX2	POU2F2	0.00906473770737648
PRDM1	CAMK2D	0.009061374701559544
CTNNB1	AES	0.009042808786034584
CTNNB1	FUBP1	0.009039569646120071
HAND2	GRHL1	0.009039074182510376
LEF1	TBX3	0.009036599658429623
EOMES	BMP2	0.009031095542013645
TP53	DPYSL3	0.009030991233885288
SOX2	RXRG	0.009030456654727459
PRDM1	ST8SIA4	0.009026953019201756
CTNNB1	JMJD1C	0.009024708531796932
TP53	SHOX	0.009024329483509064
TFAP2A	RXRG	0.009021594189107418
NANOG	SFRP1	0.009020907804369926
HAND2	POU3F1	0.009018154814839363
HAND2	NKX3-1	0.009016030468046665
TP53	MCM3	0.009008502587676048
CTNNB1	ERCC-00046	0.0090048061683774
CTNNB1	ERCC-00074	0.009000230580568314
EOMES	EPB41L3	0.008994235657155514
JUND	SERPINE2	0.008986024186015129
HAND2	HESX1	0.008985843509435654
TRIM28	SMARCD1	0.008985163643956184
EOMES	CHL1	0.00898043718189001
TP53	ERCC-00004	0.00897765252739191
POU5F1	POLR3G	0.00897193793207407
CTNNB1	CBX3	0.008970084600150585
HAND2	ISL1	0.008957919664680958
TRIM28	ILF3	0.008954713121056557
PRDM1	TDRD7	0.008950963616371155
AR	RORB	0.008948701433837414
LEF1	MSX1	0.008946401067078114
TFAP2A	BAMBI	0.008945993147790432
GATA4	GATA6	0.00894362386316061
AR	GRHL2	0.008943203836679459
POU5F1	ODC1	0.008942446671426296
AR	SOX3	0.008938341401517391
TP53	ERCC-00002	0.008930908516049385
POU5F1	PTPRZ1	0.008928880095481873
