TF	Target	EdgeWeight
FOS	JUN	0.018244994804263115
FOS	DUSP1	0.018218860030174255
JUN	FOS	0.01812194101512432
GATA2	APOE	0.017383193597197533
FOS	EGR1	0.017274493351578712
FOS	ZFP36	0.017242304980754852
JUN	DUSP1	0.016985122114419937
GATA2	MFSD2B	0.016362570226192474
JUN	ZFP36	0.01544829923659563
JUN	EGR1	0.01519744098186493
GATA2	GATA1	0.014732163399457932
GATA2	RAB37	0.014612105675041676
FOS	KLF6	0.014501943252980709
GATA2	CSRP3	0.014218619093298912
FOS	BTG2	0.014071008190512657
GATA2	SLC18A2	0.014010844752192497
GATA2	OPTN	0.013844695873558521
GATA2	VIM	0.013799101114273071
GATA2	GM15915	0.013740437105298042
SATB1	SERPINB1A	0.013662428595125675
GATA2	SLC22A3	0.013659079559147358
GATA2	ADGRG3	0.013591776601970196
SATB1	CD34	0.013569158501923084
GATA2	MUC13	0.01356880646198988
GATA2	HDAC7	0.013326955959200859
GATA2	CD9	0.013228571973741055
GATA2	PBX1	0.013157498091459274
GATA2	TRIB2	0.01315099373459816
EBF1	IGHM	0.013095522299408913
GATA2	HSD3B7	0.013093343004584312
GATA2	KLF1	0.013086998835206032
EBF1	IRF8	0.013068338856101036
SATB1	EMB	0.013041083700954914
EBF1	IFITM1	0.012856211513280869
GATA2	TREML2	0.012826557271182537
GATA2	GFI1B	0.012787805870175362
EBF1	NFIA	0.012767313979566097
GATA2	GNB4	0.01273634098470211
EBF1	CENPA	0.012693357653915882
FOS	HIST1H1C	0.012684480287134647
EBF1	LY6A	0.012683199718594551
EBF1	ZFP36	0.012671244330704212
GATA2	PLXNC1	0.012670154683291912
EBF1	HLF	0.012642307206988335
FOS	RGS1	0.01264111790806055
GATA2	ANGPT1	0.0126200495287776
EBF1	CLDN13	0.012573841959238052
GATA2	ZEB2	0.0125495670363307
CBFB	PLAC8	0.012528779916465282
EBF1	TSHZ3	0.012520412914454937
CBFB	CD48	0.012345973402261734
MEF2C	ZYX	0.012344333343207836
EBF1	RELB	0.01232945080846548
EBF1	LIMD2	0.012308760546147823
GATA2	PLAC8	0.012287919409573078
EBF1	LSP1	0.01226772926747799
JUN	KLF6	0.012263339012861252
GATA2	CD48	0.01225135289132595
EBF1	ERMAP	0.012249696999788284
EBF1	RHD	0.01224089227616787
EBF1	FOXO1	0.012230699881911278
EBF1	MECOM	0.012214835733175278
EBF1	CTSE	0.012213571928441525
CBFB	MUC13	0.012185062281787395
GATA2	ZYX	0.012173167429864407
EBF1	CCNE1	0.012134157121181488
GATA2	CAR1	0.012109088711440563
GATA2	TNFAIP2	0.012048252858221531
GATA2	NDRG1	0.012003363110125065
SPI1	CD34	0.011976299807429314
GATA2	AQP1	0.011959082446992397
GATA2	TBC1D2B	0.011952807195484638
EBF1	LTB	0.011950638145208359
EBF1	SPHK1	0.011943661607801914
EBF1	CD74	0.011943257413804531
EBF1	ABCB4	0.01192634180188179
GATA2	MYB	0.011892411857843399
MEF2C	TMEM176B	0.011853897012770176
CBFB	ADGRG3	0.011852297000586987
EBF1	CAR1	0.011818320490419865
GATA2	SLC14A1	0.011799471452832222
EBF1	USP25	0.011794003657996655
GATA2	PLEC	0.011767260730266571
GATA2	TENT5A	0.011745073832571507
JUN	HIST1H1C	0.011713284999132156
EBF1	PPARGC1A	0.011692928150296211
EBF1	PLAG1	0.011691712774336338
EBF1	RUNX1T1	0.01169143058359623
SATB1	RGS2	0.01164553128182888
EBF1	AQP1	0.011630881577730179
GATA2	1700006J14RIK	0.011610539630055428
EBF1	MT1	0.011596801690757275
GATA2	E2F8	0.011575501412153244
EBF1	GIMAP6	0.011571505106985569
SATB1	PLAC8	0.011565003544092178
EBF1	MKI67	0.011562230996787548
GATA2	MEIS1	0.011556402780115604
GATA2	CTLA2A	0.011552010662853718
GATA2	SMIM5	0.011548458598554134
GATA2	SAMD14	0.011542465537786484
JUN	BTG2	0.011540370061993599
MEF2C	MEIS1	0.011526578105986118
EBF1	GM2A	0.011468400247395039
GATA2	SASH3	0.011430265381932259
FOS	PDE4B	0.011429045349359512
EBF1	IKZF2	0.011413716711103916
EBF1	GM15915	0.0113995261490345
EBF1	LZTS1	0.011397022753953934
EBF1	SLC25A21	0.011394199915230274
CBFB	VIM	0.011379148811101913
EBF1	ACSS1	0.011376429349184036
EBF1	NXPE2	0.011370411142706871
EBF1	FOS	0.011363727040588856
MEF2C	PLCG2	0.011340947821736336
EBF1	ATP1B2	0.011312365531921387
CBFB	NDRG1	0.011299538426101208
EBF1	MPL	0.01129129994660616
EBF1	PKM	0.011276708915829659
EBF1	RORA	0.011253689415752888
EBF1	UGCG	0.011242052540183067
EBF1	TOP2A	0.011224480345845222
GATA2	STXBP1	0.01121306512504816
EBF1	SPC24	0.011176520958542824
SATB1	TMEM173	0.011143681593239307
GATA2	UGCG	0.011138764210045338
EBF1	REL	0.011106019839644432
GATA2	PRKAR2B	0.011104820296168327
EBF1	TSPO2	0.011078933253884315
EBF1	CHCHD10	0.011043725535273552
EBF1	MEIS1	0.011023587547242641
EBF1	BIRC5	0.011021860875189304
EBF1	ZBTB20	0.011020524427294731
GATA2	PRKCH	0.01101982593536377
EBF1	SLC38A5	0.011015051044523716
GATA2	ACAP1	0.011011463589966297
EBF1	PROCR	0.011010161601006985
EBF1	YPEL3	0.011002504266798496
GATA2	JUN	0.011000893078744411
EBF1	SMIM1	0.010994290933012962
EBF1	ESR1	0.010992100462317467
GATA2	EGR1	0.010978645645081997
IRF8	EMB	0.010956971906125546
EBF1	ETS1	0.010952415876090527
MEF2C	CTLA2A	0.01095180306583643
EBF1	CORO1A	0.010934867896139622
MEIS1	ANGPT1	0.01093352772295475
MEIS1	MPL	0.010932816192507744
MEF2C	ANGPT1	0.010926056653261185
MEF2C	PKM	0.010924276895821095
EBF1	KLF1	0.010921386070549488
MEF2C	PLEK	0.010905168019235134
EBF1	GBP2	0.010894732549786568
EBF1	RHAG	0.010893883183598518
EBF1	LCP1	0.010886766016483307
EBF1	TFRC	0.010871422477066517
EBF1	IRF5	0.01086506713181734
SATB1	LSP1	0.010857812128961086
EBF1	TBC1D10C	0.01085289753973484
