TF	Target	EdgeWeight
JUN	DUSP1	0.015951188281178474
GATA2	APOE	0.013731678016483784
JUN	EGR1	0.013607658445835114
JUN	ZFP36	0.01343973446637392
JUN	PPP1R15A	0.013081802055239677
EBF1	SDC4	0.012707419693470001
IRF8	LY86	0.012431792914867401
GATA2	CPA3	0.011994334869086742
GATA2	SLC18A2	0.011916585266590118
EBF1	DNTT	0.011879411526024342
EBF1	LY6A	0.011875009164214134
MEIS1	CTLA2A	0.011837649159133434
SATB1	FLT3	0.011781944893300533
EBF1	CHCHD10	0.01159787829965353
EBF1	NFIA	0.011491316370666027
MEIS1	ANGPT1	0.011450198478996754
EBF1	GIMAP6	0.011366847902536392
SATB1	DNTT	0.011352184228599072
GATA2	CD9	0.011324386112391949
JUN	KLF6	0.01132118422538042
EBF1	FOXO1	0.01124483160674572
GATA2	PDZK1IP1	0.011193967424333096
GATA2	GFI1B	0.011180974543094635
MEIS1	GM19590	0.01114583294838667
IRF8	CSF1R	0.01113628689199686
JUN	BTG2	0.010999982245266438
SATB1	PLEK	0.010938613675534725
EBF1	RELB	0.010895409621298313
EBF1	SOCS2	0.01088431105017662
EBF1	RUNX1T1	0.010771382600069046
MEIS1	GCNT2	0.010763866826891899
EBF1	SIGLECG	0.010683497413992882
EBF1	MECOM	0.010634170845150948
EBF1	CD74	0.010625451803207397
JUN	HSPA1A	0.010572712868452072
EBF1	LTB	0.010561545379459858
EBF1	GM4759	0.010543354786932468
EBF1	MAP4K2	0.010539849288761616
EBF1	IGHM	0.010522888042032719
EBF1	CENPA	0.010417253710329533
SATB1	IGHM	0.010410797782242298
SATB1	TESPA1	0.010334774851799011
IRF8	IGHM	0.010201158002018929
EBF1	YPEL3	0.010181944817304611
MEIS1	GIMAP6	0.01016221847385168
EBF1	PLAG1	0.010120012797415257
SATB1	CD53	0.010076028294861317
MEIS1	IFITM1	0.010055727325379848
EBF1	TFRC	0.010049492120742798
EBF1	H2-AA	0.010029694996774197
EBF1	GM20559	0.009997076354920864
GATA2	RAB37	0.009985337033867836
MEIS1	MPL	0.009971728548407555
