TF	Target	EdgeWeight
SATB1	DNTT	0.01017066277563572
SATB1	FLT3	0.00979289785027504
GATA2	APOE	0.009423818439245224
SATB1	ADGRG3	0.009367362596094608
GATA2	PDZK1IP1	0.009029689244925976
SATB1	H2AFY	0.008884413167834282
SATB1	CD53	0.008877377025783062
SATB1	IGHM	0.00876038521528244
NOTCH1	DNTT	0.00858986098319292
MEIS1	MPL	0.008541129529476166
SATB1	WFDC17	0.008532179519534111
SATB1	BC035044	0.008531514555215836
SATB1	PLAC8	0.008530881255865097
MEIS1	ANGPT1	0.008265456184744835
MEIS1	CAR2	0.008229469880461693
SATB1	CD52	0.00818066205829382
MEIS1	NFE2	0.008170133456587791
SATB1	EMB	0.008169452659785748
RAG2	DNTT	0.008098846301436424
MEIS1	RAB38	0.008055536076426506
GATA2	SLC18A2	0.00804196298122406
MEIS1	IFITM1	0.008027260191738605
GATA2	MPL	0.007968510501086712
SATB1	TESPA1	0.00791310053318739
MEIS1	PDZK1IP1	0.007878554053604603
SATB1	IL12A	0.007857409305870533
GATA2	CD9	0.007813542149960995
GATA2	SERPINA3G	0.007791182957589626
MEF2C	DNTT	0.007778214290738106
SATB1	SERPINB1A	0.007748458534479141
MEF2C	FLT3	0.007740446366369724
GATA2	TGM2	0.007729839999228716
GFI1B	GATA2	0.0077276453375816345
MEIS1	CD63-PS	0.007671744097024202
SATB1	SLC35D3	0.0076057808473706245
MEF2C	IL12A	0.007598496973514557
MEIS1	CD63	0.007580956444144249
GATA2	ESAM	0.007517943624407053
MEIS1	ABCG2	0.007499950937926769
FOXO1	IGF1	0.007498647551983595
MEIS1	APOE	0.00743857491761446
GATA2	CD63	0.007435128558427095
GFI1B	APOE	0.007411057595163584
IRF8	CLEC12A	0.007396909408271313
IRF8	CST7	0.007393106818199158
MEF2C	WFDC17	0.007393072824925184
GATA2	GNG11	0.007359233219176531
GATA2	TRIM47	0.00735214538872242
GATA2	GFI1B	0.007315663155168295
GATA2	PLXDC2	0.007277997676283121
GATA2	CD63-PS	0.007254788652062416
MEIS1	TRIM47	0.007254412863403559
GATA2	MMRN1	0.007252369076013565
MYC	CDK6	0.007252196315675974
NOTCH1	NCF1	0.007251812145113945
RAG2	ARPP21	0.007225974928587675
SATB1	H2-OB	0.007216990925371647
SATB1	CD34	0.0072169071063399315
GATA2	RAB38	0.007208724040538073
GATA2	MLLT3	0.0072041708044707775
IKZF1	DNTT	0.007204123307019472
GFI1B	SLC18A2	0.007180941756814718
NOTCH1	FLT3	0.0071774013340473175
SPI1	CD34	0.007163678761571646
IRF8	IGHM	0.007156299892812967
NOTCH1	IGHM	0.007153292652219534
CBFB	SLBP	0.007149886339902878
MEIS1	MYCT1	0.007149753626435995
MEIS1	SGMS1	0.007127739023417234
IKZF1	CD53	0.007117332424968481
GATA2	MYCT1	0.00710212392732501
MEIS1	UBA7	0.007092756684869528
MEIS1	GNG11	0.0070873526856303215
GATA2	IFITM1	0.007077334448695183
GATA2	ENG	0.00707286735996604
MEF2C	H2AFY	0.007070257794111967
RAG2	IL7R	0.007069861516356468
SATB1	CCL3	0.007069332525134087
IRF8	DNTT	0.007016443647444248
SATB1	NCF1	0.007001988124102354
MEIS1	GATA2	0.0069658164866268635
SATB1	IL1R1	0.0069506289437413216
IRF8	CNN3	0.006947787012904882
MEIS1	SDSL	0.006940855644643307
IKZF1	FLT3	0.006936869118362665
GATA2	ADGRG1	0.006936695892363787
GATA2	ANGPT1	0.00692692119628191
MYC	VLDLR	0.0069208526983857155
ELF1	BC035044	0.006916654761880636
MEIS1	ZBTB20	0.0069147637113928795
ELF1	EMB	0.00690282741561532
IKZF1	DOCK10	0.006899767555296421
MEF2C	SATB1	0.006899304687976837
SATB1	DHRS3	0.006894863676279783
GFI1B	ALDH1A1	0.006885599344968796
GFI1B	CES2G	0.006883237045258284
RAG2	CNN3	0.006879353895783424
MEIS1	TXNIP	0.006877093110233545
MEIS1	PTGS1	0.006876531057059765
GATA2	VWF	0.006867849268019199
MYC	RAMP1	0.006867816671729088
GATA2	TXNIP	0.006866299081593752
MEIS1	HLF	0.006865823641419411
MEIS1	TBXAS1	0.006859323941171169
MEIS1	VAMP5	0.006857940927147865
IRF8	LY86	0.006845779251307249
MEF2C	MN1	0.006829713471233845
IKZF1	IGHM	0.006818134803324938
MYC	CD34	0.00680732075124979
MEIS1	GIMAP1	0.006803499069064856
CBFB	MCM4	0.0068016923032701015
CBFB	MCM5	0.006795380264520645
SATB1	ST8SIA4	0.0067830136977136135
MYC	HNRNPAB	0.006781872361898422
NOTCH1	IL12A	0.006770715583115816
MEIS1	KIT	0.006764656398445368
MEIS1	ENG	0.006757182069122791
SATB1	DDX4	0.006752291228622198
MEIS1	MECOM	0.006741522345691919
ELF1	IL12A	0.006735594943165779
SATB1	PLEK	0.006732824258506298
GATA2	CAR2	0.0067290556617081165
MEIS1	LTB	0.006701966747641563
GFI1B	GNG11	0.006677471101284027
GFI1B	PDZK1IP1	0.006676913239061832
IRF8	CSF1R	0.006675859447568655
NOTCH1	SATB1	0.006667495705187321
MEIS1	ADGRG1	0.006662226747721434
MEIS1	PROCR	0.00665547838434577
GATA2	TFR2	0.00665298430249095
MEIS1	SERPINA3G	0.0066061378456652164
CBFB	H2AFY	0.006603453774005175
MYC	SERPINB1A	0.006593093276023865
MEF2C	IGHM	0.00659110676497221
GATA2	DEF8	0.006590895354747772
SATB1	SH2D5	0.006581302732229233
SATB1	MN1	0.006580216344445944
CBFB	NKG7	0.0065604387782514095
GFI1B	GDF3	0.006558695342391729
SATB1	C230085N15RIK	0.006558675318956375
GATA2	SCARF1	0.00655599357560277
MYC	PLAC8	0.006550885736942291
MEIS1	ITSN1	0.006531259976327419
MEIS1	KRT18	0.006526746787130833
MEIS1	MLLT3	0.0065230089239776134
SATB1	SAMSN1	0.0065178582444787025
MEIS1	GSTM1	0.006513118743896484
SATB1	CST7	0.006511214654892683
MEIS1	TIE1	0.006494489498436451
IKZF1	EMB	0.0064943102188408375
GATA2	TINAGL1	0.006494142115116119
SATB1	RASA4	0.006491692271083593
GATA2	HACD4	0.0064851692877709866
MEIS1	ART4	0.006470715161412954
MEIS1	CSGALNACT1	0.006468011531978846
CBFB	UHRF1	0.00646672397851944
ELF1	ADGRG3	0.006459642667323351
IRF8	CD48	0.006458232644945383
FOXO1	NEAT1	0.006450870539993048
SATB1	MPO	0.0064467997290194035
SATB1	SDC1	0.00644490122795105
MEIS1	DEF8	0.006439662538468838
CBFB	PRIM1	0.0064354087226092815
IRF8	CD52	0.006432848516851664
MEIS1	ESAM	0.006430086214095354
MYC	RANBP1	0.006426878739148378
ELF1	DNTT	0.006422888021916151
IKZF1	SATB1	0.006422187201678753
SATB1	GM1966	0.006409134715795517
MEIS1	IFITM3	0.006407537963241339
GATA2	CAPG	0.006399997044354677
IKZF1	CD52	0.006397165823727846
MEIS1	PYGL	0.006396451033651829
MYC	NPM1	0.006392404902726412
GATA2	MECOM	0.006389580201357603
NOTCH1	CNN3	0.006381673738360405
NOTCH1	H2AFY	0.006377076264470816
MEIS1	SLC18A2	0.006361491046845913
GFI1B	CD63	0.006360999308526516
MEIS1	SLC2A3	0.006354290992021561
IRF8	CMAH	0.006349578499794006
SATB1	RAMP1	0.006344488821923733
CBFB	DCK	0.006342207547277212
IRF8	MPO	0.0063346256501972675
MEIS1	SMPDL3A	0.00633160350844264
MEIS1	KLF6	0.0063270870596170425
CBFB	TIPIN	0.006326750852167606
GATA2	PROCR	0.006312570534646511
RAG2	CMAH	0.0063125137239694595
SATB1	ITGAL	0.0062999664805829525
MEIS1	DUSP1	0.006279365625232458
MEIS1	DENND2D	0.006277772132307291
MEIS1	LDHB	0.006276324857026339
SATB1	MEF2C	0.006262988317757845
GFI1B	CSGALNACT1	0.006259099580347538
ELF1	H2AFY	0.006256310734897852
ELF1	SERPINB1A	0.0062544397078454494
MEIS1	LONP2	0.006251099519431591
RAG2	CLEC12A	0.006235119421035051
GATA2	PPP1R15A	0.006234940607100725
MEIS1	MYCN	0.006234678439795971
GATA2	RUNX1T1	0.0062322914600372314
ELF1	FLT3	0.006224699784070253
MEF2C	CD34	0.006222604773938656
MEIS1	TGM2	0.0062224771827459335
GATA2	VAMP5	0.006219823379069567
GFI1B	TRIM47	0.006209307350218296
IRF8	MILR1	0.0062087117694318295
IRF8	TYROBP	0.0061950357630848885
GATA2	HLF	0.006194182671606541
MYC	CSF3R	0.0061886790208518505
GATA2	APLP2	0.006187943741679192
MEF2C	IKZF1	0.0061868941411376
IKZF1	MN1	0.006186485290527344
MEF2C	CD52	0.00617877347394824
SATB1	CNN3	0.006175370886921883
NOTCH1	CD53	0.006174801848828793
MEIS1	NDN	0.006172203924506903
GFI1B	MMRN1	0.006165785249322653
IKZF1	SERPINB1A	0.006157076917588711
SATB1	RUNX2	0.006157016847282648
MYC	H2AFY	0.0061465161852538586
NOTCH1	WFDC17	0.006143891252577305
IKZF1	ADGRG3	0.006141304038465023
IRF8	TPM4	0.006134022958576679
SPI1	FLT3	0.006133883725851774
GFI1B	HSD3B7	0.0061322832480072975
SPI1	GRAMD1A	0.006130811292678118
CBFB	CDT1	0.006130296271294355
SATB1	9030619P08RIK	0.0061291176825761795
MEIS1	CD81	0.006123649887740612
MEIS1	ADGRL4	0.006117954850196838
GATA2	PBX1	0.006116070784628391
GFI1B	NT5C3	0.006113583687692881
MEIS1	APLP2	0.006104143802076578
SATB1	IL17RA	0.006102423183619976
MEIS1	NFIA	0.006100852973759174
MEIS1	SCARF1	0.006093411240726709
GATA2	TIE1	0.006091493647545576
GFI1B	FADS1	0.006090808659791946
GATA2	PLSCR4	0.006089525762945414
MEIS1	CREG1	0.006089142058044672
CBFB	TOP2A	0.006088505033403635
GFI1B	TUBB4B	0.006087914574891329
SATB1	NOTCH1	0.006087340880185366
MYC	RPL41	0.006085437722504139
NOTCH1	MGAT1	0.0060838996432721615
GATA2	TBXAS1	0.006079791113734245
MEF2C	GM1966	0.006070596631616354
IKZF1	H2AFY	0.006068037822842598
GFI1B	MPL	0.00606550695374608
CBFB	MKI67	0.0060639940202236176
MEIS1	FUT8	0.006062918808311224
SATB1	CDK19	0.006061984691768885
IKZF1	PANX1	0.006058985833078623
GATA2	TMEM246	0.006052589509636164
MYC	HSPE1	0.0060461172834038734
IKZF1	CD34	0.006045482121407986
GFI1B	ESAM	0.00603611022233963
MEIS1	TMEM176B	0.006035546772181988
CBFB	HSPE1	0.006035331171005964
RAG2	BLNK	0.006022764835506678
MEIS1	CAPG	0.006022160407155752
SATB1	RGS2	0.006020677275955677
SATB1	IKZF1	0.006016402970999479
CBFB	IGFBP4	0.006015744525939226
SPI1	PLAC8	0.006013874895870686
SATB1	CLEC12A	0.006012348923832178
MYC	NKG7	0.006009834818542004
GFI1B	SGMS1	0.006004076451063156
FOXO1	PLSCR4	0.006003899499773979
MEIS1	PDCD4	0.0059984466060996056
MEIS1	RBPMS	0.005987654440104961
SATB1	CD69	0.005987006705254316
GATA2	CDK17	0.005985825322568417
RAG2	TSPAN2	0.005968103185296059
MYC	NHP2	0.005968022625893354
RAG2	CD69	0.00596665171906352
SATB1	E430014B02RIK	0.005961165297776461
CBFB	RANBP1	0.005960249807685614
ELF1	PLAC8	0.0059552970342338085
SATB1	CD27	0.005947217810899019
IKZF1	MEF2C	0.005945312790572643
MEIS1	TFR2	0.005945195443928242
GATA2	NFE2	0.005943145602941513
CBFB	SLCO3A1	0.005938095040619373
MYC	YBX1	0.005935931112617254
IRF8	SELL	0.005935413762927055
GATA2	TRPC6	0.005935388151556253
ELF1	CDK6	0.0059347935020923615
IRF8	BC035044	0.0059320577420294285
MEIS1	H2-Q6	0.005929578095674515
IKZF1	WFDC17	0.005926846992224455
IRF8	PARP8	0.0059206061996519566
SATB1	GPR171	0.0059201656840741634
NOTCH1	CD33	0.00591944670304656
GATA2	KRT18	0.005918465554714203
GFI1B	SPNS2	0.005910851992666721
SATB1	SSH2	0.005910506006330252
GFI1B	MECOM	0.0059099383652210236
MEF2C	NOTCH1	0.0059088426642119884
GATA2	KIT	0.0059025902301073074
SATB1	CD48	0.005900812800973654
NOTCH1	DOCK10	0.005900426767766476
IRF8	MPEG1	0.005900027230381966
CBFB	CRIP1	0.005899455863982439
GATA2	SOCS2	0.005892961751669645
FOXO1	SLC39A13	0.005892707034945488
GFI1B	LONP2	0.005891678389161825
RAG2	DRC7	0.005890368949621916
