TF	Target	EdgeWeight
nanog	irak1	0.01758180931210518
nanog	ppp1r16b	0.016769640147686005
nanog	sec23ip	0.01650993339717388
nanog	gmeb1	0.015282508917152882
nanog	acaa2	0.015032730996608734
smarcc1	polk	0.014457931742072105
nanog	ogdh	0.014436854980885983
nanog	b3galnt2	0.01374890562146902
smarcc1	rnf24	0.013700533658266068
smarcc1	ccdc34	0.01349965762346983
smarcc1	fzd7	0.013417133130133152
nanog	mtmr7	0.013366767205297947
ctcfl	wdr62	0.013357351534068584
smarcc1	zfp958	0.013346711173653603
ctcfl	tor2a	0.012984625063836575
nanog	dclre1c	0.012754143215715885
nanog	def6	0.012738561257719994
nanog	zfp948	0.012555410154163837
nanog	adpgk	0.01253258902579546
ctcfl	zfand6	0.012461168691515923
nanog	fancf	0.012430449016392231
smarcc1	trabd2b	0.012365295551717281
smarcc1	ebpl	0.012285728007555008
nanog	sgk3	0.012212103232741356
nanog	1600002k03rik	0.012208117172122002
smarcc1	gmpr2	0.01216788962483406
smarcc1	mtus2	0.012141845189034939
nanog	nuak2	0.012086387723684311
smarcc1	dolk	0.01207166351377964
nanog	ttk	0.012068907730281353
nanog	rab4b	0.01206656452268362
nanog	numb	0.01206294260919094
nanog	cdc27	0.012024762108922005
nanog	ttf1	0.012005559168756008
smarcc1	xpr1	0.011978856287896633
ctcfl	dcbld1	0.011867356486618519
smarcc1	mtmr1	0.011790549382567406
sall4	dhcr7	0.011774159036576748
ctcfl	rnf114	0.011728787794709206
smarcc1	wdsub1	0.01172010600566864
smarcc1	2700081o15rik	0.01167730987071991
nanog	slc22a15	0.011612080037593842
smarcc1	shb	0.011602410115301609
ctcfl	cmc1	0.011595888063311577
ctcfl	gpcpd1	0.011590713635087013
nanog	soat1	0.011555850505828857
ctcfl	cpne5	0.011550476774573326
ctcfl	igf1r	0.011541608721017838
nanog	mtg1	0.01151281874626875
smarcc1	il6st	0.011482549831271172
nanog	thyn1	0.011478275060653687
nanog	spg21	0.011469833552837372
nanog	bcl7b	0.01146218553185463
ctcf	fbxl17	0.011454029940068722
ctcfl	anln	0.011438360437750816
nanog	fgfr1	0.011432240717113018
smarcc1	cenpm	0.011416333727538586
smarcc1	nup107	0.011400989256799221
ctcfl	mob2	0.011390800587832928
smarcc1	zfp68	0.011387784965336323
nanog	sri	0.011378792114555836
nanog	bmpr2	0.01131125446408987
ctcfl	zik1	0.011302614584565163
sall4	steap2	0.011293979361653328
nanog	slc35d1	0.011282381601631641
smarcc1	cog2	0.011279270984232426
nanog	gpatch1	0.011278627440333366
nanog	zfp770	0.011274565942585468
nanog	dennd5b	0.011270101182162762
kdm5a	sfmbt2	0.011262472718954086
smarcc1	tomm34	0.011253409087657928
nanog	inpp5f	0.011208213865756989
smarcc1	emc4	0.01120811514556408
smarcc1	hoxb3	0.01120801456272602
smarcc1	pls3	0.011203266680240631
ctcfl	gpr137	0.011201420798897743
ctcfl	1600002k03rik	0.011161841452121735
smarcc1	nphp4	0.011158566921949387
ctcfl	camk2g	0.011152698658406734
nanog	zfp36l2	0.011152612045407295
nanog	rapgef2	0.011150581762194633
nanog	slfn5	0.01114920899271965
smarcc1	snapc4	0.01114769745618105
nanog	msantd3	0.01114012859761715
nanog	bcas2	0.011134817264974117
smarcc1	itga5	0.011133468709886074
nanog	trim44	0.011132723651826382
smarcc1	dcaf15	0.011115383356809616
nanog	ostf1	0.011104284785687923
nanog	tmem192	0.011081468313932419
smarcc1	cryz	0.011057519353926182
ctcfl	tmem177	0.011049509048461914
ctcfl	id1	0.011040013283491135
nanog	chmp1b	0.011019145138561726
nanog	slc35e4	0.011017120443284512
ctcf	mdm1	0.011009909212589264
nanog	exosc2	0.011004104278981686
ctcfl	smyd3	0.01098083145916462
ctcfl	fbxo9	0.010974651202559471
smarcc1	leprotl1	0.010973185300827026
smarcc1	ints8	0.010967537760734558
ctcfl	csnk1g3	0.01096266321837902
smarcc1	atp2b4	0.010945750400424004
smarcc1	faim	0.010944221168756485
nanog	cdr2	0.010942170396447182
smarcc1	acp5	0.010936702601611614
ctcfl	tmem5	0.010925178416073322
jarid2	ap3b1	0.010918217711150646
ctcf	dpysl2	0.010899312794208527
smarcc1	reep4	0.010888997465372086
ctcfl	mapk8ip3	0.010885940864682198
ctcfl	nus1	0.01087938155978918
nanog	dmwd	0.010862855240702629
nanog	foxa2	0.010858834721148014
smarcc1	efnb2	0.010856524109840393
smarcc1	palm3	0.010837688110768795
smarcc1	acaa2	0.010807249695062637
nanog	gk5	0.010806586593389511
ctcfl	tmem60	0.010804248042404652
smarcc1	gpat2	0.010801555588841438
smarcc1	npepl1	0.010791412554681301
smarcc1	ppme1	0.010775094851851463
smarcc1	ndst1	0.01077240239828825
ctcfl	setd6	0.010763676837086678
smarcc1	klf3	0.010762699879705906
smarcc1	syvn1	0.010760770179331303
nanog	p4ha1	0.010751815512776375
smarcc1	spag7	0.010740211233496666
ctcfl	clock	0.010735658928751945
nanog	ccdc116	0.01073266938328743
smarcc1	smim12	0.010722112841904163
smarcc1	vac14	0.010716856457293034
nanog	dusp16	0.010715550743043423
ctcfl	gucd1	0.010705353692173958
ctcfl	tatdn1	0.010695927776396275
smarcc1	nagk	0.010685903020203114
smarcc1	il5ra	0.010682618245482445
nanog	tmem186	0.010674657300114632
nanog	rpap1	0.01066670473664999
klf4	chtf18	0.010664079338312149
smarcc1	lrrk1	0.010646209120750427
smarcc1	tagap	0.01063895970582962
nanog	mrps31	0.010638592764735222
nanog	pgs1	0.010632260702550411
phf5a	dgcr14	0.01062692143023014
smarcc1	trappc6a	0.010622032918035984
smarcc1	rnf123	0.010619988664984703
smarcc1	galk2	0.010618018917739391
nanog	hk1	0.010617111809551716
nanog	mapk8ip2	0.010612989775836468
ctcfl	ctc1	0.010592838749289513
nanog	fam43a	0.010583716444671154
smarcc1	gprasp2	0.010575390420854092
nanog	ss18l1	0.010563789866864681
