TF,Target,Label
0,784,1
0,43,1
0,659,1
0,224,1
0,317,0
0,947,0
0,722,0
0,449,0
278,919,1
278,1153,1
278,668,1
278,656,0
278,428,0
278,18,0
1174,473,1
1174,636,1
1174,1316,1
1174,1098,0
1174,465,0
1174,283,0
801,847,1
801,30,1
801,1293,1
801,470,1
801,627,1
801,19,0
801,244,0
801,776,0
801,511,0
801,862,0
677,980,1
677,1208,1
677,184,0
677,205,0
332,533,1
332,1082,1
332,1096,1
332,862,1
332,599,1
332,1139,0
332,1289,0
332,278,0
332,224,0
332,1047,0
469,505,1
469,1089,1
469,758,0
469,327,0
470,1285,1
470,645,0
879,795,1
879,1062,1
879,573,1
879,734,0
879,900,0
879,1003,0
1017,469,1
1017,130,1
1017,181,1
1017,111,0
1017,771,0
1017,461,0
