TF,index
SPI1,0
FLI1,1
ELF4,2
DLX1,3
ARX,4
ELF1,5
DLX2,6
KLF6,7
PAX6,8
TFE3,9
DLX6,10
FOXN2,11
ESR1,12
ETV6,13
POU2F1,14
NR3C1,15
TFEB,16
DNAJC21,17
MAFB,18
POU3F2,19
POU3F4,20
MEF2A,21
KLF3,22
NFKB2,23
STAT2,24
MITF,25
MAF,26
NEUROD2,27
KLF2,28
HEY2,29
NEUROD1,30
DLX5,31
NR1H2,32
NR1H4,33
ETS1,34
NFIB,35
ELK3,36
ZFX,37
E2F5,38
RUNX1,39
POU6F1,40
MEF2C,41
RARG,42
ETV3,43
CEBPB,44
ELF2,45
GLIS2,46
ESRRA,47
IRF1,48
SOX2,49
HMBOX1,50
KLF8,51
HSF2,52
ZFP148,53
OLIG2,54
GLIS3,55
SCRT1,56
SMARCC1,57
NR2F1,58
SMARCC2,59
ZFP384,60
ETV4,61
PAX3,62
BCL11B,63
SCRT2,64
KLF12,65
MYT1L,66
TCF4,67
CUX1,68
RBPJ,69
