TF,Target,score
6042,13582,0.7855812907218933
15004,13582,0.7853639125823975
15004,12691,0.7839767932891846
6042,12691,0.7839244604110718
12745,13582,0.7834634780883789
12745,12691,0.7820900678634644
6042,10867,0.7812419533729553
15004,10867,0.7811000347137451
15004,10958,0.780036985874176
6042,10958,0.7797719240188599
12745,10958,0.7784244418144226
12745,10867,0.7783305644989014
15004,15160,0.7772188782691956
6042,15160,0.7771093845367432
15004,11777,0.7764390110969543
15004,8908,0.7763493657112122
15004,3007,0.7758617997169495
6042,11777,0.7758291363716125
6042,3007,0.7758229970932007
15004,7527,0.7757929563522339
6042,8908,0.7755219340324402
12745,7527,0.7753125429153442
12745,8908,0.7751333713531494
12745,11777,0.7749691009521484
12778,13582,0.7749417424201965
6042,7527,0.7745084166526794
12745,15160,0.7744501829147339
6136,13582,0.7735412120819092
12778,12691,0.7735043168067932
15004,17192,0.7731170654296875
12745,3007,0.7724238038063049
4633,13582,0.7723749876022339
6042,17192,0.772215723991394
6136,12691,0.7720588445663452
15004,9798,0.7718991041183472
15004,12325,0.7716541886329651
4633,12691,0.7710230946540833
12745,17192,0.7709240913391113
12745,9798,0.770835280418396
12745,12325,0.7706540822982788
15004,4534,0.770504891872406
6042,12325,0.7704882025718689
6042,4534,0.7701485753059387
15004,745,0.7701343297958374
12778,10867,0.7700457572937012
6042,9798,0.769923985004425
12778,10958,0.7697014808654785
12745,745,0.7693150043487549
6042,745,0.7692827582359314
15004,1030,0.7684788107872009
12745,4534,0.7684518694877625
6136,10867,0.7683888077735901
15004,11724,0.7683578729629517
6136,10958,0.7681622505187988
15004,9597,0.7681499123573303
6042,1030,0.7680620551109314
6042,11724,0.7679108381271362
15137,13582,0.7677202820777893
6042,9597,0.7675319910049438
4633,10867,0.7674624919891357
15004,6311,0.7674524784088135
4633,10958,0.7673061490058899
6042,6311,0.7672644257545471
17009,13582,0.767088770866394
12745,1030,0.7664217352867126
12778,15160,0.766417920589447
12778,11777,0.7662343382835388
12778,8908,0.7661105990409851
12745,11724,0.7660685777664185
15137,12691,0.7660278677940369
12778,7527,0.7658370733261108
15004,14890,0.7658054828643799
17009,12691,0.7655536532402039
12745,6311,0.7654447555541992
12745,9597,0.7654345035552979
15004,7797,0.7649369239807129
6042,14890,0.7649282217025757
6136,7527,0.7649194002151489
6042,7797,0.7647976875305176
6136,11777,0.7647759318351746
6136,8908,0.7647502422332764
6136,15160,0.7647045850753784
12778,3007,0.7646626830101013
4633,7527,0.7641981840133667
4633,8908,0.7638508677482605
4633,11777,0.763582706451416
12745,14890,0.7634880542755127
4633,15160,0.7634555697441101
10385,13582,0.7628932595252991
12745,7797,0.7627716660499573
6136,3007,0.7625534534454346
12778,17192,0.7625182867050171
15137,10867,0.7624869346618652
15004,12478,0.7622585296630859
15137,10958,0.7620241641998291
12778,12325,0.7617813348770142
17009,10958,0.7616974711418152
17009,10867,0.7616596221923828
6042,12478,0.7616429328918457
10385,12691,0.7614904046058655
