gene,R_score
9896,0.017885084625658947
6136,0.004953686765529469
14623,0.00441369063278148
16523,0.0022680140754359696
1350,0.0019367929643723722
11783,0.0018869594384017683
3788,0.0018650091462062166
4633,0.0016358815936956272
15233,0.0011403606979506439
4738,0.0009689567683675404
15137,0.0008850749560597684
12778,0.00087533015755511
12745,0.0008130305846060922
9763,0.0006575590665888833
15180,0.000636562440397999
7941,0.0006220025624058892
14425,0.0005402899957982417
6042,0.0005179310817009224
13277,0.00044885378247669534
10385,0.00031353333040493866
3640,0.0003128337053770782
17009,0.0002620732276246975
14442,0.00023999411107505857
9057,0.00017107981655619411
1072,8.579753660544204e-05
16524,7.72229937118009e-05
14230,6.473161017920759e-05
7778,6.274701584133191e-05
5870,4.907801380881328e-05
7942,3.563070471362512e-05
13362,2.0586520356175414e-05
11479,1.997075285151671e-05
14890,1.8870348310744376e-05
3350,1.6876779747379043e-05
7776,1.655159329999825e-05
9921,1.4227984802122272e-05
11257,1.3652802069585638e-05
10086,1.3421962069627744e-05
17452,1.2928091649371054e-05
2377,1.2453395627492448e-05
17252,1.1407482068952388e-05
8908,1.0309685872412044e-05
10957,1.0188226319697722e-05
3007,9.68988288228101e-06
15160,9.516147752887558e-06
4005,9.264948070944755e-06
13582,8.984178532780979e-06
9748,8.855663063558485e-06
12691,8.555857254803629e-06
13822,8.538520778659116e-06
16436,8.512522592413529e-06
10958,8.417672385469694e-06
7315,8.414398152867788e-06
12715,7.938369184868573e-06
17192,7.72118468253553e-06
10901,7.542396297059791e-06
14440,7.4562375935222926e-06
7527,7.378601634656575e-06
15310,7.1690398721739874e-06
3644,7.000362586884346e-06
337,6.821695432626644e-06
12535,6.478008089025294e-06
6626,6.464636841074638e-06
4441,6.439139111745224e-06
11850,6.335032976668533e-06
669,6.201725280539704e-06
9075,5.669746547265363e-06
1548,5.619303662267255e-06
10384,5.440211152624101e-06
4534,5.014616824985268e-06
14522,4.8818198575698625e-06
11828,4.775700713496816e-06
15004,4.729074692053005e-06
9597,4.719461863299879e-06
745,4.64614160885195e-06
12325,4.452331095361047e-06
11631,4.4447034089470265e-06
8910,4.4294032692170905e-06
11724,4.422061710368839e-06
12623,4.2453398094019355e-06
6311,4.140213355363095e-06
10867,4.1387991390183455e-06
1266,3.909227363336425e-06
1073,3.888960186492693e-06
14350,3.8117976505125047e-06
1211,3.6324049182651615e-06
16955,3.6226235634938154e-06
7328,3.5085281887804732e-06
3643,3.477362002238603e-06
1030,3.4091863817486958e-06
6269,3.3798910432355144e-06
11816,3.330303205312288e-06
9825,3.2754949742442678e-06
695,3.091768897408539e-06
14435,2.9492213955522188e-06
2543,2.760580751542294e-06
8363,2.709772288943459e-06
13658,2.6925456322971663e-06
14309,2.62648657916463e-06
8375,2.576521626588146e-06
9768,2.5596304410820803e-06
13191,2.203284709688297e-06
10282,2.0802044401171743e-06
4572,1.970515943125833e-06
12681,1.967446360140633e-06
420,1.9414792514765045e-06
14651,1.8901740116812942e-06
4751,1.800546395282303e-06
6722,1.7849260258582063e-06
14284,1.7501637220805906e-06
14420,1.693350503471702e-06
8454,1.654652564895158e-06
3786,1.6427822637023094e-06
1013,1.6096387894400463e-06
4938,1.5616328711562277e-06
13195,1.4237965248526163e-06
6301,1.2871069349379264e-06
9255,1.253845965076342e-06
3909,1.25305824120812e-06
9645,1.2516301240448722e-06
14080,1.2392160872171921e-06
14604,1.2330970891825204e-06
12813,1.2229831373176864e-06
4746,1.211594798857095e-06
9861,1.200876106236733e-06
14299,1.196259933104749e-06
11993,1.194976335841646e-06
17275,1.1728333958982676e-06
14756,1.1477226335875536e-06
8205,1.0934276251750802e-06
6187,1.0826975945527095e-06
3630,1.0810776025152344e-06
9089,1.067547723189928e-06
14342,1.0548723348274375e-06
5498,1.053727307760598e-06
11014,1.0485912201700632e-06
15891,1.0483019601910609e-06
3629,1.0483019601910609e-06
16710,1.0412731494379239e-06
6001,1.0360435316612195e-06
11723,1.021548776961973e-06
10119,1.0057476439028491e-06
15149,1.0040992101196378e-06
13163,9.819792664145638e-07
5494,9.81596347585987e-07
4532,9.725970425968602e-07
4891,9.606883331568859e-07
11992,9.594146395505148e-07
12604,9.478809532567887e-07
1336,9.350996103278037e-07
13461,9.021773857648886e-07
12669,9.01043497170766e-07
4932,8.949489378876424e-07
11970,8.934931231911595e-07
13770,8.880604659395593e-07
6803,8.545077089875947e-07
12261,8.457850888892164e-07
2923,8.228800261955621e-07
14193,8.086165529714771e-07
6095,8.066202824915321e-07
56,8.042154185494345e-07
1388,8.009028764343617e-07
9756,7.967455156016746e-07
854,7.791541028753731e-07
11887,7.787515029529196e-07
3995,7.757723681297644e-07
12614,7.744948731363273e-07
13361,7.708174963691785e-07
12063,7.597096672078928e-07
10138,7.590019598840863e-07
15409,7.371088873747238e-07
688,7.358779702327034e-07
2387,7.296763427886369e-07
17131,7.278360589423145e-07
5740,7.241597862793321e-07
12986,7.241188593578017e-07
8129,7.191082554607222e-07
11522,7.158206090307884e-07
8925,7.103539923422424e-07
4254,7.072206277815313e-07
1244,7.06656859272913e-07
6162,6.89339740041506e-07
410,6.89339740041506e-07
3018,6.89339740041506e-07
1375,6.89339740041506e-07
3574,6.89339740041506e-07
9953,6.878363828298341e-07
12478,6.847058933645869e-07
12565,6.753526253732845e-07
7440,6.753526253732845e-07
3863,6.753526253732845e-07
14667,6.728978059345779e-07
16247,6.665567529700422e-07
11683,6.65143685496108e-07
8984,6.566965521516752e-07
8632,6.565625046225178e-07
14003,6.565625046225178e-07
9420,6.528168616595523e-07
3997,6.528168616595523e-07
7690,6.493913515491975e-07
9758,6.433250144553656e-07
960,6.38937516783448e-07
17245,6.266705125224936e-07
9111,6.177602905226434e-07
622,6.173245754591194e-07
693,6.145433016454939e-07
344,6.109987653580674e-07
9077,6.102837901139446e-07
15780,6.078623451146027e-07
4101,6.062988559770331e-07
7113,6.06177660475253e-07
16199,6.06065356060455e-07
8463,6.052620554592407e-07
12274,6.052620554592407e-07
5156,6.030289764115683e-07
17089,5.989690141744571e-07
