Gene,index
a1bg,0
a1cf,1
a2ld1,2
a2m,3
a2ml1,4
a4galt,5
aaas,6
aacs,7
aadac,8
aadacl3,9
aadat,10
aaed1,11
aagab,12
aak1,13
aamp,14
aanat,15
aars,16
aars2,17
aarsd1,18
aasdh,19
aasdhppt,20
aass,21
aatf,22
aatk,23
abat,24
abca1,25
abca10,26
abca12,27
abca13,28
abca2,29
abca3,30
abca4,31
abca5,32
abca6,33
abca7,34
abca8,35
abca9,36
abcb1,37
abcb10,38
abcb11,39
abcb4,40
abcb5,41
abcb6,42
abcb7,43
abcb8,44
abcb9,45
abcc1,46
abcc10,47
abcc11,48
abcc12,49
abcc2,50
abcc3,51
abcc4,52
abcc5,53
abcc6,54
abcc8,55
abcc9,56
abcd1,57
abcd3,58
abcd4,59
abce1,60
abcf1,61
abcf2,62
abcf3,63
abcg1,64
abcg2,65
abcg4,66
abcg5,67
abcg8,68
abhd1,69
abhd10,70
abhd11,71
abhd12,72
abhd12b,73
abhd13,74
abhd14a,75
abhd14b,76
abhd15,77
abhd16a,78
abhd16b,79
abhd2,80
abhd3,81
abhd4,82
abhd5,83
abhd6,84
abhd8,85
abi1,86
abi2,87
abi3,88
abi3bp,89
abl1,90
abl2,91
ablim1,92
ablim2,93
ablim3,94
abo,95
abp1,96
abr,97
abra,98
abracl,99
abt1,100
abtb1,101
abtb2,102
acaa1,103
acaa2,104
acaca,105
acacb,106
acad10,107
acad11,108
acad8,109
acad9,110
acadl,111
acadm,112
acads,113
acadsb,114
acadvl,115
acan,116
acap1,117
acap2,118
acap3,119
acat1,120
acat2,121
acbd3,122
acbd4,123
acbd5,124
acbd6,125
acbd7,126
accs,127
accsl,128
acd,129
ace,130
ace2,131
acer2,132
acer3,133
ache,134
acin1,135
acly,136
acmsd,137
acn9,138
aco1,139
aco2,140
acot1,141
acot11,142
acot12,143
acot13,144
acot2,145
acot4,146
acot6,147
acot7,148
acot8,149
acot9,150
acox1,151
acox2,152
acox3,153
acoxl,154
acp1,155
acp2,156
acp5,157
acp6,158
acpl2,159
acpp,160
acpt,161
acrbp,162
acrc,163
acrv1,164
acsbg1,165
acsbg2,166
acsf2,167
acsf3,168
acsl1,169
acsl3,170
acsl4,171
acsl5,172
acsl6,173
acsm1,174
acsm2a,175
acsm2b,176
acsm3,177
acsm4,178
acss1,179
acss2,180
acss3,181
acta1,182
acta2,183
actb,184
actbl2,185
actc1,186
actg1,187
actg2,188
actl10,189
actl6a,190
actl6b,191
actl7b,192
actl8,193
actn1,194
actn2,195
actn3,196
actn4,197
actr10,198
actr1a,199
actr1b,200
actr2,201
actr3,202
actr3b,203
actr3c,204
actr5,205
actr6,206
actr8,207
actrt1,208
acvr1,209
acvr1b,210
acvr1c,211
acvr2a,212
acvr2b,213
acvrl1,214
acy1,215
acy3,216
acyp1,217
acyp2,218
ada,219
adad2,220
adal,221
adam10,222
adam11,223
adam12,224
adam15,225
adam17,226
adam18,227
adam19,228
adam2,229
adam20,230
adam21,231
adam22,232
adam23,233
adam28,234
adam29,235
adam32,236
adam33,237
adam7,238
adam8,239
adam9,240
adamts1,241
adamts10,242
adamts12,243
adamts13,244
adamts14,245
adamts15,246
adamts16,247
adamts17,248
adamts18,249
adamts19,250
adamts2,251
adamts20,252
adamts3,253
adamts4,254
adamts5,255
adamts6,256
adamts7,257
adamts8,258
adamts9,259
adamtsl1,260
adamtsl2,261
adamtsl3,262
adamtsl4,263
adamtsl5,264
adap1,265
adap2,266
adar,267
adarb1,268
adarb2,269
adat1,270
adat2,271
adat3,272
adc,273
adck1,274
adck2,275
adck3,276
adck4,277
adck5,278
adcy1,279
adcy10,280
adcy2,281
adcy3,282
adcy4,283
adcy5,284
adcy6,285
adcy7,286
adcy8,287
adcy9,288
adcyap1r1,289
add1,290
add2,291
add3,292
adh1a,293
adh1b,294
adh4,295
adh5,296
adh6,297
adhfe1,298
adi1,299
adig,300
adipoq,301
adipor1,302
adipor2,303
adk,304
adm,305
adm2,306
adnp,307
adnp2,308
ado,309
adora1,310
adora2a,311
adora2b,312
adora3,313
adpgk,314
adprh,315
adprhl1,316
adprhl2,317
adra1a,318
adra1b,319
adra1d,320
adra2a,321
adra2b,322
adra2c,323
adrb1,324
adrb2,325
adrb3,326
adrbk1,327
adrbk2,328
adrm1,329
adsl,330
adss,331
adssl1,332
adtrp,333
aebp1,334
aebp2,335
aen,336
aes,337
afap1,338
afap1l1,339
afap1l2,340
aff1,341
aff2,342
aff3,343
aff4,344
afg3l2,345
afm,346
afmid,347
afp,348
aftph,349
aga,350
agap1,351
agap11,352
agap2,353
agap3,354
agap4,355
agap5,356
agap6,357
agap7,358
agap8,359
agap9,360
agbl1,361
agbl2,362
agbl3,363
agbl4,364
agbl5,365
ager,366
agfg1,367
agfg2,368
aggf1,369
agk,370
agl,371
agmat,372
agmo,373
agpat1,374
agpat2,375
agpat3,376
agpat4,377
agpat5,378
agpat6,379
agpat9,380
agphd1,381
agps,382
agr2,383
agrn,384
agrp,385
agt,386
agtpbp1,387
agtr2,388
agtrap,389
agxt2,390
agxt2l1,391
agxt2l2,392
ahctf1,393
ahcy,394
ahcyl1,395
ahcyl2,396
ahdc1,397
ahi1,398
ahnak,399
ahnak2,400
ahr,401
ahrr,402
ahsa1,403
ahsa2,404
ahsg,405
ahsp,406
aicda,407
aida,408
aif1,409
aif1l,410
aifm1,411
aifm2,412
aifm3,413
aig1,414
aim1,415
aim1l,416
aim2,417
aimp1,418
aimp2,419
aip,420
aipl1,421
aire,422
ajap1,423
ajuba,424
ak1,425
ak2,426
ak3,427
ak4,428
ak5,429
ak7,430
ak8,431
akap1,432
akap10,433
akap11,434
akap12,435
akap13,436
akap14,437
akap17a,438
akap2,439
akap3,440
akap4,441
akap5,442
akap6,443
akap7,444
akap8,445
akap8l,446
akap9,447
akd1,448
akip1,449
akirin1,450
akirin2,451
akna,452
aknad1,453
akr1a1,454
akr1b1,455
akr1b10,456
akr1b15,457
akr1c1,458
akr1c2,459
akr1c3,460
akr1c4,461
akr1d1,462
akr1e2,463
akr7a2,464
akr7a3,465
akt1,466
akt1s1,467
akt2,468
akt3,469
aktip,470
alad,471
alas1,472
alas2,473
alcam,474
aldh16a1,475
aldh18a1,476
aldh1a1,477
aldh1a2,478
aldh1a3,479
aldh1b1,480
aldh1l1,481
aldh1l2,482
aldh2,483
aldh3a1,484
aldh3a2,485
aldh3b1,486
aldh3b2,487
aldh4a1,488
aldh5a1,489
aldh6a1,490
aldh7a1,491
aldh8a1,492
aldh9a1,493
aldoa,494
aldoc,495
alg1,496
alg10,497
alg10b,498
alg11,499
alg12,500
alg13,501
alg14,502
alg1l,503
alg1l2,504
alg2,505
alg3,506
alg5,507
alg6,508
alg8,509
alg9,510
alk,511
alkbh1,512
alkbh2,513
alkbh3,514
alkbh4,515
alkbh5,516
alkbh6,517
alkbh7,518
alkbh8,519
alms1,520
alox12,521
alox12b,522
alox15,523
alox15b,524
alox5,525
alox5ap,526
aloxe3,527
alpk1,528
alpk2,529
alpk3,530
alpl,531
alpp,532
alppl2,533
als2,534
als2cl,535
als2cr11,536
als2cr12,537
als2cr8,538
alx1,539
alx3,540
alx4,541
alyref,542
amacr,543
ambp,544
ambra1,545
amd1,546
amdhd1,547
amdhd2,548
amfr,549
amh,550
amhr2,551
amigo1,552
amigo2,553
amigo3,554
ammecr1,555
ammecr1l,556
amn1,557
amot,558
amotl1,559
amotl2,560
ampd1,561
ampd2,562
ampd3,563
amph,564
amt,565
amy1a,566
amy1b,567
amy1c,568
amy2a,569
amy2b,570
amz1,571
amz2,572
anapc1,573
anapc10,574
anapc11,575
anapc13,576
anapc16,577
anapc2,578
anapc4,579
anapc5,580
anapc7,581
ang,582
angel1,583
angel2,584
angpt1,585
angpt2,586
angpt4,587
angptl1,588
angptl2,589
angptl3,590
angptl4,591
angptl5,592
angptl6,593
angptl7,594
ank1,595
ank2,596
ank3,597
ankar,598
ankdd1a,599
ankfn1,600
ankfy1,601
ankh,602
ankhd1,603
ankhd1-eif4ebp3,604
ankib1,605
ankk1,606
ankle1,607
ankle2,608
ankmy1,609
ankmy2,610
ankra2,611
ankrd1,612
ankrd10,613
ankrd11,614
ankrd12,615
ankrd13a,616
ankrd13b,617
ankrd13c,618
ankrd13d,619
ankrd16,620
ankrd17,621
ankrd18a,622
ankrd18b,623
ankrd20a1,624
ankrd20a2,625
ankrd20a3,626
ankrd20a4,627
ankrd22,628
