,TF,Target,Label
0,1072,7215,1
1,1072,14068,1
2,1072,13783,1
3,1072,6968,1
4,1072,6849,1
5,1072,12647,1
6,1072,16666,1
7,1072,11086,1
8,1072,3387,1
9,1072,14431,1
10,1072,1771,1
11,1072,17783,1
12,1072,15841,1
13,1072,16059,1
14,1072,5913,1
15,1072,13550,1
16,1072,5354,1
17,1072,9126,1
18,1072,4719,1
19,1072,6232,1
20,1072,11581,1
21,1072,16681,1
22,1072,14518,1
23,1072,14962,1
24,1072,1094,1
25,1072,14735,1
26,1072,6979,1
27,1072,12931,1
28,1072,3603,1
29,1072,15414,1
30,1072,17109,1
31,1072,14982,1
32,1072,5868,1
33,1072,9403,1
34,1072,6964,1
35,1072,16968,1
36,1072,2133,1
37,1072,9177,1
38,1072,14026,1
39,1072,8994,1
40,1072,669,1
41,1072,5357,1
42,1072,13082,1
43,1072,5584,1
44,1072,7270,1
45,1072,17386,1
46,1072,8947,1
47,1072,4199,1
48,1072,13156,1
49,1072,4824,1
50,1072,467,1
51,1072,6596,1
52,1072,15094,1
53,1072,16817,1
54,1072,8308,1
55,1072,9073,1
56,1072,919,1
57,1072,4553,1
58,1072,4006,1
59,1072,5871,1
60,1072,12776,1
61,1072,11341,1
62,1072,14420,1
63,1072,15103,1
64,1072,4037,1
65,1072,10103,1
66,1072,7552,1
67,1072,4125,1
68,1072,14594,1
69,1072,4693,1
70,1072,7758,1
71,1072,17156,1
72,1072,16329,1
73,1072,6725,1
74,1072,8799,1
75,1072,11409,1
76,1072,10279,1
77,1072,6707,1
78,1072,15704,1
79,1072,3332,1
80,1072,12847,1
81,1072,15253,1
82,1072,13566,1
83,1072,7123,1
84,1072,15597,1
85,1072,7889,1
86,1072,13742,1
87,1072,4263,1
88,1072,15781,1
89,1072,1244,1
90,1072,12910,1
91,1072,4523,1
92,1072,3643,1
93,1072,11622,1
94,1072,2937,1
95,1072,16315,1
96,1072,12536,1
97,1072,16459,1
98,1072,9047,1
99,1072,16411,1
100,1072,2441,1
101,1072,11349,1
102,1072,16650,1
103,1072,13660,1
104,1072,12857,1
105,1072,12651,1
106,1072,2717,1
107,1072,1952,1
108,1072,16008,1
109,1072,5930,1
110,1072,4126,1
111,1072,1864,1
112,1072,1135,1
113,1072,7019,1
114,1072,4101,1
115,1072,5908,1
116,1072,15362,1
117,1072,1404,1
118,1072,17785,1
119,1072,13139,1
120,1072,6084,1
121,1072,7030,1
122,1072,13132,1
123,1072,13313,1
124,1072,11302,1
125,1072,9478,1
126,1072,3723,1
127,1072,2954,1
128,1072,2768,1
129,1072,16366,1
130,1072,6285,1
131,1072,9712,1
132,1072,10135,1
133,1072,11814,1
134,1072,9158,1
135,1072,8948,1
136,1072,6973,1
137,1072,6915,1
138,1072,8766,1
139,1072,1249,1
140,1072,5972,1
141,1072,12587,1
142,1072,7110,1
143,1072,7108,1
144,1072,2400,1
145,1072,6248,1
146,1072,13081,1
147,1072,12970,1
148,1072,4630,1
149,1072,13382,1
150,1072,13071,1
151,1072,10996,1
152,1072,6190,1
153,1072,4723,1
154,1072,9985,1
155,1072,3276,1
156,1072,6589,1
157,1072,851,1
158,1072,16664,1
159,1072,15384,1
160,1072,3138,1
161,1072,10354,1
162,1072,11675,1
163,1072,15152,1
164,1072,708,1
165,1072,14339,1
166,1072,16931,1
167,1072,7388,1
168,1072,10375,1
169,1072,13988,1
170,1072,13176,1
171,1072,7383,1
172,1072,15853,1
173,1072,15425,1
174,1072,17028,1
