,H9.96h_001,H9.96h_002,H9.96h_003,H9.96h_004,H9.96h_005,H9.96h_006,H9.96h_007,H9.96h_008,H9.96h_009,H9.96h_010,H9.96h_011,H9.96h_012,H9.96h_013,H9.96h_014,H9.96h_015,H9.96h_016,H9.96h_017,H9.96h_018,H9.96h_019,H9.96h_020,H9.96h_021,H9.96h_022,H9.96h_023,H9.96h_024,H9.96h_025,H9.96h_026,H9.96h_027,H9.96h_028,H9.96h_029,H9.96h_030,H9.96h_031,H9.96h_032,H9.96h_033,H9.96h_034,H9.96h_035,H9.96h_036,H9.96h_037,H9.96h_038,H9.96h_039,H9.96h_040,H9.96h_041,H9.96h_042,H9.96h_043,H9.96h_044,H9.96h_045,H9.96h_046,H9.96h_047,H9.96h_048,H9.96h_049,H9.96h_050,H9.96h_051,H9.96h_052,H9.96h_053,H9.96h_054,H9.96h_055,H9.96h_056,H9.96h_057,H9.96h_058,H9.96h_059,H9.96h_060,H9.96h_061,H9.96h_062,H9.96h_063,H9.96h_064,H9.96h_065,H9.96h_066,H9.96h_067,H9.96h_068,H9.96h_069,H9.96h_070,H9.96h_071,H9.96h_072,H9.96h_073,H9.96h_074,H9.96h_075,H9.96h_077,H9.96h_078,H9.96h_079,H9.96h_080,H9.96h_081,H9.96h_082,H9.96h_083,H9.96h_084,H9.96h_085,H9.96h_086,H9.96h_087,H9.96h_088,H9.96h_089,H9.96h_090,H9.96h_091,H9.96h_092,H9.96h_093,H9.96h_094,H9.96h_095,H9.96h_096,H9.96h_097,H9.96h_098,H9.96h_099,H9.96h_100,H9.96h_101,H9.96h_102,H9.96h_103,H9.96h_104,H9.96h_105,H9.96h_106,H9.96h_107,H9.96h_108,H9.96h_109,H9.96h_110,H9.96h_111,H9.96h_112,H9.96h_113,H9.96h_114,H9.96h_115,H9.96h_116,H9.96h_117,H9.96h_118,H9.96h_119,H9.96h_120,H9.96h_121,H9.96h_122,H9.96h_123,H9.96h_124,H9.96h_125,H9.96h_126,H9.96h_127,H9.96h_128,H9.96h_129,H9.96h_130,H9.96h_131,H9.96h_132,H9.96h_133,H9.96h_134,H9.96h_135,H9.96h_136,H9.96h_137,H9.96h_138,H9.96h_139,H9.96h_140,H9.96h_141,H9.96h_142,H9.96h_143,H9.96h_144,H9.96h_145,H9.96h_146,H9.96h_147,H9.96h_148,H9.96h_149,H9.96h_150,H9.96h_151,H9.96h_152,H9.96h_153,H9.96h_154,H9.96h_155,H9.96h_156,H9.96h_157,H9.96h_158,H9.96h_159,H9.96h_160,H9.96h_161,H9.96h_162,H9.96h_163,H9.96h_164,H9.96h_165,H9.96h_166,H9.96h_167,H9.96h_168,H9.96h_169,H9.96h_170,H9.96h_171,H9.96h_173,H9.96h_174,H9.96h_175,H9.96h_176,H9.96h_177,H9.96h_178,H9.96h_179,H9.96h_180,H9.96h_182,H9.96h_183,H9.96h_184,H9.96h_185,H9.96h_186,H9.96h_187,H9.96h_188,H9.96h_189,H9.96h_190,H9.96h_192
a1bg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,17.0,0.0,8.0,17.0,47.0,4.0,0.0,6.0,39.0,0.0,24.0,11.0,7.0,0.0,17.0,11.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,23.84,0.0,22.0,38.0,0.0,0.0,37.0,10.0,37.0,0.0,33.93,9.0,31.0,0.0,0.0,20.0,0.0,32.0,36.0,71.97,70.0,0.0,23.0,0.0,1.0,19.0,23.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,19.0,0.0,0.0,73.0,33.0,0.0,0.0,9.0,16.0,7.0,4.0,6.0,0.0,16.0,1.0,6.0,0.0,3.0,1.0,16.0,2.0,7.0,6.0,15.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,3.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,8.0,3.0,0.0,26.0,1.0,0.0,5.0,0.0,1.0,11.0,0.0,5.0,6.0,12.0,16.98,19.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,11.0,0.0,7.0,3.0,22.0,61.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,9.0,9.0,17.0,0.0,3.0,13.0,13.0,11.0,0.0,2.0,0.0,0.0,4.62,0.0,4.0,12.0,0.0,0.0,14.0,0.0,0.0,1.0,2.0
a1cf,3.1,1.23,1.0,0.0,2.08,1.92,0.0,0.0,0.0,1.16,0.98,2.51,0.0,1.78,0.0,1.77,1.0,0.0,0.0,0.0,1.0,0.88,2.17,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,7.68,1.4,1.9,0.0,0.0,1.45,0.0,0.0,0.0,1.85,3.0,0.0,1.05,1.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,1.04,0.93,0.0,3.3,0.0,0.0,0.0,1.02,0.0,0.0,3.98,0.0,0.0,2.12,1.48,0.0,0.0,0.0,0.01,0.0,0.0,2.65,0.0,1.07,0.0,2.04,0.04,2.09,1.04,0.83,1.07,0.0,1.61,0.0,1.0,0.0,3.03,0.0,4.71,3.08,1.19,4.9,1.16,2.03,2.05,0.0,0.0,1.14,2.04,4.19,1.17,5.05,0.0,1.91,0.94,0.95,0.0,1.04,1.33,0.0,0.21,0.0,1.16,0.74,0.0,4.21,3.1,3.7,2.49,2.71,1.75,1.0,2.29,3.05,4.03,0.73,4.05,0.0,3.02,12.48,0.0,3.98,2.03,2.02,0.0,0.0,2.0,0.0,1.7,5.39,1.02,1.04,0.0,1.41,3.0,1.99,0.0,2.02,1.0,2.27,0.91,0.0,3.91,2.02,1.05,0.44,1.88,2.15,5.19,1.24,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,0.92,0.0,1.01
a2ld1,0.0,1.0,484.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,23.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2ml1,243.05,0.79,0.0,0.33,1.08,0.0,1.92,0.0,0.0,0.0,1.89,0.0,6.34,3.25,17.53,0.0,0.0,0.0,0.0,0.0,0.57,1.07,0.0,0.0,0.0,0.0,0.0,0.0,61.24,1.0,1.82,0.0,0.65,0.0,0.0,0.0,1.24,1.09,1.0,0.0,0.32,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,1.04,3.53,0.0,0.0,0.0,0.98,1.18,3.75,0.97,16.5,0.44,0.0,1.0,1.22,2.03,0.0,0.0,1.17,2.75,3.17,0.0,0.7,4.99,0.0,0.0,4.89,1.89,0.95,0.61,0.0,0.0,0.0,6.73,1.05,0.0,0.0,0.0,1.72,2.71,2.01,0.0,0.0,5.74,2.22,0.0,0.0,0.0,2.17,7.27,0.0,3.14,1.71,0.0,0.87,0.0,2.8,4.55,4.37,5.15,0.0,1.1,3.74,13.3,1.2,1.03,2.53,1.18,1.63,0.0,0.0,7.11,1.04,4.93,1.5,0.0,2.46,2.21,0.0,0.0,1.26,1.19,0.65,5.75,1.94,1.89,1.98,1.3,0.58,7.08,5.27,0.9,1.33,3.34,3.15,0.87,1.14,0.47,3.12,2.35,3.36,1.75,0.0,4.74,1.77,3.63,0.97,0.02,12.48,0.97,4.72,1.77,2.63,3.68,0.97,0.0,0.0,28.72,3.71,0.0,0.0,2.24,3.87,0.0,4.11,0.46,2.93,0.0,1.7,1.06,0.0,1.92,3.08,0.7,0.0,1.73,0.0,2.35,3.89,0.0
a4galt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaas,24.0,175.0,27.0,1.0,0.0,64.0,1.0,34.0,0.0,1.0,111.07,0.0,126.0,35.0,1.0,34.0,0.0,5.0,182.0,0.0,1.0,7.0,0.0,433.97,0.0,176.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,114.0,86.0,10.0,13.0,43.0,25.0,0.0,100.0,12.01,74.0,29.0,2.0,0.0,0.0,76.0,115.0,33.0,0.0,79.21,8.0,152.0,19.0,0.0,0.0,0.0,100.0,150.0,0.0,0.0,32.0,64.0,0.0,0.0,74.0,285.0,0.0,0.0,0.99,9.0,161.94,35.99,0.0,0.0,25.0,1.0,144.0,19.0,30.0,102.0,119.0,94.0,1.0,24.0,42.0,8.0,31.0,96.0,130.06,67.0,39.0,41.0,49.0,2.0,32.0,82.0,75.0,85.0,51.0,31.0,86.0,98.0,32.0,54.0,0.0,75.0,112.85,3.0,20.0,23.0,32.0,82.0,7.0,10.0,57.0,31.0,1.0,95.0,1.0,106.53,66.0,6.0,10.0,0.0,155.0,17.0,94.0,0.0,0.0,0.0,68.0,0.0,68.0,77.0,1.0,0.0,0.0,275.0,2.0,1.0,39.0,1.0,112.0,42.0,91.0,0.0,351.0,4.0,1.0,82.0,98.0,3.0,0.0,0.0,153.0,46.0,278.0,0.0,103.0,0.0,30.0,0.0,68.0,1.0,312.0,28.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,156.0,147.07,167.88,3.0,31.0,0.0,0.0,76.0,94.0
aacs,44.0,46.0,236.0,0.0,0.0,62.0,0.0,14.0,94.01,34.0,204.33,0.0,1.0,52.0,0.0,162.57,15.0,11.0,0.0,0.0,0.0,134.0,0.0,0.0,52.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,59.0,118.0,2.0,96.0,0.0,0.0,77.0,204.0,1.0,0.0,0.0,179.0,0.0,7.63,0.0,36.0,0.0,44.0,0.0,0.0,275.0,12.0,0.0,37.89,0.0,15.0,44.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,229.0,0.0,0.0,0.0,36.0,0.0,0.0,100.99,139.0,1.0,5.0,1.0,49.0,56.0,4.0,67.0,20.0,5.0,51.0,1.0,106.0,7.0,31.0,387.83,41.0,36.0,10.0,250.0,0.0,0.0,157.0,0.0,4.0,10.0,64.0,62.92,51.0,0.0,38.0,0.0,12.0,10.0,0.0,114.0,0.0,0.0,131.0,69.0,0.0,0.0,0.0,41.0,22.0,19.0,0.0,229.0,0.0,0.0,7.0,0.0,0.0,0.0,420.0,0.0,1.0,0.0,0.0,0.0,177.58,0.0,29.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,164.0,217.0,0.0,73.0,0.0,0.0,199.0,0.0,6.0,26.0,175.99,21.0,0.0,0.0,0.0,4.0,80.0,8.0,219.0,14.0,115.0,9.0,158.0
aadac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aadacl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.89,0.0,0.0,0.0,0.46,0.0,0.0,0.98,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.96,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,2.7,0.0,0.0,1.01,0.0,0.0,0.0
