gene,LPS_1h_S16,LPS_1h_S67,LPS_1h_S61,LPS_1h_S50,LPS_1h_S82,LPS_1h_S32,LPS_1h_S72,LPS_1h_S22,LPS_1h_S21,LPS_1h_S89,LPS_1h_S71,LPS_2h_S66,LPS_1h_S60,LPS_1h_S43,LPS_1h_S1,LPS_2h_S60,LPS_2h_S4,LPS_2h_S89,LPS_1h_S53,LPS_1h_S48,LPS_1h_S87,LPS_2h_S57,LPS_2h_S9,LPS_1h_S64,LPS_1h_S38,LPS_1h_S17,LPS_1h_S74,LPS_1h_S59,LPS_1h_S14,LPS_1h_S49,LPS_1h_S26,LPS_1h_S63,LPS_1h_S5,LPS_2h_S75,LPS_2h_S84,LPS_1h_S33,LPS_1h_S39,LPS_2h_S27,LPS_2h_S41,LPS_1h_S40,LPS_1h_S62,LPS_2h_S78,LPS_1h_S28,LPS_1h_S30,LPS_1h_S19,LPS_1h_S66,LPS_1h_S35,LPS_1h_S20,LPS_1h_S3,LPS_1h_S18,LPS_1h_S78,LPS_1h_S34,LPS_1h_S42,LPS_1h_S27,LPS_1h_S73,LPS_1h_S96,LPS_1h_S6,LPS_1h_S11,LPS_1h_S86,LPS_1h_S51,LPS_1h_S15,LPS_1h_S45,LPS_1h_S91,LPS_1h_S52,LPS_1h_S80,LPS_1h_S41,LPS_1h_S88,LPS_2h_S13,LPS_2h_S15,LPS_1h_S37,LPS_1h_S25,LPS_1h_S44,LPS_1h_S93,LPS_2h_S45,LPS_2h_S26,LPS_2h_S69,LPS_1h_S8,LPS_1h_S77,LPS_2h_S64,LPS_1h_S85,LPS_1h_S10,LPS_1h_S13,LPS_1h_S24,LPS_1h_S23,LPS_1h_S58,LPS_1h_S75,LPS_1h_S55,LPS_1h_S31,LPS_1h_S94,LPS_2h_S93,LPS_2h_S76,LPS_1h_S90,LPS_1h_S12,LPS_1h_S29,LPS_1h_S56,LPS_2h_S53,LPS_2h_S23,LPS_1h_S7,LPS_1h_S36,LPS_2h_S21,LPS_1h_S2,LPS_2h_S14,LPS_2h_S49,LPS_2h_S65,LPS_2h_S35,LPS_2h_S73,LPS_2h_S29,LPS_2h_S8,LPS_2h_S46,LPS_2h_S62,LPS_2h_S6,LPS_2h_S7,LPS_2h_S58,LPS_2h_S19,LPS_2h_S25,LPS_2h_S42,LPS_2h_S92,LPS_2h_S85,LPS_2h_S52,LPS_2h_S63,LPS_2h_S34,LPS_2h_S38,LPS_2h_S95,LPS_2h_S39,LPS_2h_S22,LPS_2h_S16,LPS_2h_S87,LPS_2h_S91,LPS_2h_S32,LPS_2h_S18,LPS_2h_S54,LPS_2h_S28,LPS_2h_S83,LPS_2h_S71,LPS_2h_S12,LPS_4h_S25,LPS_2h_S17
STAT1,0.2273877,0.04980774,0.0934641,0.0,1.51156,0.0074395869999999,1.120366,0.3504977,0.00219621,0.2926631,0.09421596,1.228789,2.332098,0.9610709,2.127001,0.281444,0.4662539,1.427949,0.05869239,0.0,1.1470209999999998,0.1873808,2.347142,1.6728330000000002,1.999368,1.905162,1.715139,2.060161,0.1072067,2.132936,0.08117232,1.680157,0.3975898,0.8921924000000001,0.8659041999999999,0.7806898,0.2653475,0.6442257,0.9567854,1.058319,0.6688789,1.240665,2.853454,0.01303526,1.7521830000000005,1.1204120000000002,0.4137751,0.0,0.03038534,0.0,2.878547,0.005900725,0.5375745,0.0,0.9531316,1.912772,0.3706115,0.08437631,0.0,3.838487,0.03562948,0.00257899,1.7749720000000002,1.204344,1.370046,0.05095711,0.0076289059999999,0.4447888,0.09623131,0.0,0.2283566,0.1151972,0.06923277,1.359043,1.7170729999999998,2.259507,2.2597560000000003,0.0,1.0191940000000002,0.00470356,0.1046978,0.1760046,0.05253638,1.7064529999999998,0.006478144,0.8429411,0.04648694,2.617066,0.0,0.0,2.667022,0.0,0.01970135,0.02312729,0.0,1.992448,1.558869,2.602047,0.0,0.8292002,0.02123489,1.3505280000000002,0.02819053,0.2169465,0.01918893,0.6801203,1.928938,0.0,0.6759012,0.0,0.0,1.7904650000000002,0.0,0.0464161,2.56193,1.171065,0.3590124,0.002202212,0.0,0.01352479,1.441535,0.09625419,0.0,0.1119146999999999,1.726086,1.30722,0.0,0.01746318,2.481455,0.8952247999999999,0.05550588,0.2423885,0.3404056,1.419176,0.0,0.301212,0.2074496
CYBA,6.182373999999999,5.223878,5.836114,4.4497480000000005,5.877144,5.303116,4.621988,4.5915300000000006,5.267847,6.005734,4.994557,4.716611,6.007954,5.248254,5.985534,6.135419000000001,5.290833,4.645723,6.473194,5.062487,6.738422,5.920099,5.560102,6.942956,5.508188,6.787093,6.421086,6.565664,6.957128,6.939531,5.8874,6.896652,5.9278900000000005,5.858694,5.797937,7.273997,6.66895,6.093168,6.292465,7.017144,6.672791999999999,5.140562,6.3506860000000005,6.734711999999999,6.1625190000000005,6.255386,4.131315,6.807537,6.406935,6.068921,6.087055,6.348799,6.304118,6.199841999999999,6.78995,6.901917,7.033375,5.730365,5.674439,7.721868,6.31332,6.032565,5.693166000000001,6.489201,6.435247,6.072143,5.61229,6.546098000000001,5.822146,6.144914,6.519315,6.597445,6.0642830000000005,6.140888,6.4754510000000005,6.445133,6.105614,6.205623,6.390946,6.1719,5.678794,6.605957000000001,4.680413,6.658511,5.574784999999999,5.550374,5.427438,5.935463,5.607776,5.76702,6.259247,4.819499,6.600622,5.2354400000000005,5.962318,6.397298,6.721092999999999,6.285902,4.683525,6.427057,6.592287,6.6012710000000006,5.872661,6.1340900000000005,5.637181,5.949724,6.473535,5.943897,5.711296,6.851441,5.257509,5.396809999999999,5.2521510000000005,5.137303,6.746910000000001,4.192058,6.29973,4.307872,3.538996,4.602766,5.548273,5.333557,6.237455000000001,5.8839760000000005,5.475249,6.185039,5.868732,6.077537,5.535428,5.953793,3.944221,6.704344,5.114095,5.064595,5.935914,6.03042,5.88842
ATP5L,4.995385,4.333797,5.531253,4.357914,4.712642,5.133183,3.944614,3.916522,4.723765,5.426313,4.287568,4.628224,5.153453,4.5289660000000005,4.629101,4.263207,4.129927,4.976577,5.291458,4.186917,5.599121,4.776293,5.021731,4.660836,5.324301999999999,5.324747,5.613985,5.618348,4.970228,5.575837,5.251323999999999,5.159345,5.0959010000000005,5.321165000000001,4.805957,5.305614,5.401878,4.140499,5.150669000000001,5.222781,5.420756,5.008019,4.885703,5.464741,4.244392,5.016874,4.632093,5.362631,5.080104,4.933633,5.185366999999999,4.454487,5.479001,5.349063,5.667587,5.98952,4.9410050000000005,5.214567,6.009389,4.923591,5.029945,4.657866,4.568230000000001,4.377066,5.485935,5.674571,3.833009,4.572151,5.033939,4.962891,5.137688,4.672868,4.526498,4.855228,5.72421,5.310907,4.277478,4.399375,5.72846,3.4425730000000003,5.528777,4.197812,4.394615,4.640978,5.288121,4.475879,4.865679,4.249289,4.770217,6.088869,4.827219,4.806781,4.374959,5.102386,3.863754,4.31087,4.458981,2.995304,4.618716,4.775899,4.853848999999999,4.853326,4.6949,4.42572,5.280465,4.393319,5.018351999999999,4.585657,5.097289,5.199884,6.203736,4.4683470000000005,3.985957,4.820607,5.583578,4.889714,4.707942,4.973835,4.811199,4.25546,5.5206800000000005,4.186619,5.04854,4.690858,4.858494,5.904108,4.990347,4.800027,5.402542,4.744459,4.722334,4.638783999999999,5.385924,4.800576,4.493985,4.158783000000001,5.051671
RLIM,0.6230477,0.9099923,0.2970405,0.0,2.0219240000000003,0.6534098,0.6958331,0.002205162,0.0,0.00377949,0.09233223,0.2436525,0.08916262,0.1636177999999999,1.071861,0.2237832,0.1391221,0.324635,0.006498986,0.85624,0.0076106269999999,1.171402,0.2981501,0.7581129,0.5979696,0.7029488,0.09072216,0.2801651,0.914715,1.337314,0.06420754,0.8191246,0.0361293,0.3331017,0.01349004,0.5437743,0.3329911,1.650941,1.749757,0.0,0.6460334,0.0,0.2309143999999999,0.4536886999999999,0.0,0.6575222,0.0,0.02249059,0.07416463,0.1613967,0.005308681,0.2175244999999999,1.426475,0.0267928,0.4357108,0.09699525,1.136586,0.2540375,0.0,1.449961,0.2442688,0.0,0.3753254,0.0,0.2061266,0.0,0.2804771,1.652365,1.674836,0.2220927999999999,0.04030341,0.001454073,0.4587496,0.07989256,0.4067989,0.3875502999999999,0.2347257999999999,0.2454579999999999,0.4589542,0.00166711,0.1508195,0.0,0.6244363,0.0,0.0,0.002219816,0.0,0.2748215,0.8478034,0.112053,0.6497213000000001,0.01711886,0.8734837,0.002771263,0.1850156,0.1518321,0.03102832,1.630768,0.793191,0.04353378,0.0,0.794492,1.236624,0.6358337,0.2058042,0.03967107,0.3352089,0.1675662,1.082367,0.06889376,1.606327,0.1286662,0.0,0.01947621,0.674975,0.0,0.0,0.037876,0.2174311,0.1427006,0.9777741,0.3251281,0.0,0.0,0.0,2.242798,1.014933,0.0,0.002710062,0.0,0.0050421009999999,0.7457315999999999,0.00122035,0.5034671,0.0,0.6874538,0.01014939
MYD88,3.439856,1.708441,3.403268,1.704823,1.803244,0.2938095,0.006540328,0.0,3.023949,0.8541498,0.0,0.105473,0.5499803000000001,2.208985,0.548161,1.946593,0.0,0.009654191,0.4225547999999999,1.547909,0.03076173,1.627485,0.4287550999999999,0.3027593,0.0,2.391505,1.704832,0.6396242,0.06834329,0.0,1.709984,0.0055713559999999,1.359139,1.613251,0.5315369000000001,0.14684,0.0,2.192682,0.04127518,0.0107341,1.40469,0.0,1.055435,0.01307776,2.92552,0.07632096,0.0,1.715768,0.0,1.84763,0.9467608,0.3929537,1.770689,0.7466398,0.07561218,0.03866346,0.1981736,0.0,0.0,2.783338,0.0,0.0,2.227319,0.2171958999999999,0.0,0.6746416999999999,0.0,0.004857506,1.7570720000000002,0.0,2.585357,3.067839,0.9222533000000002,1.654033,0.6074838,1.998033,1.961362,0.4813082999999999,0.03751521,1.307181,1.763611,0.0,0.0,0.9562966,0.6499249,3.279315,0.0,0.0,0.0,0.2710437,2.457981,0.1941789,0.0,2.783102,0.0,0.0,2.324268,0.0,2.458658,1.911166,0.01066804,1.7066709999999998,3.248096,0.02008153,0.0,0.0,0.0,0.1555293999999999,0.0,0.6756667,2.413254,1.935169,2.267687,0.0,1.999663,0.07962101,1.8514580000000005,0.0218791,0.0,0.08069223,0.2561607999999999,0.1782789,0.1583612,0.2392368,0.1234895999999999,0.01073379,2.166337,0.0,0.05405877,0.0,0.0,2.4935650000000003,0.2146925999999999,0.0,1.197454,2.039422,0.0
GPR171,3.367517,1.563555,5.245009,0.4401201,4.043466,0.0,1.581218,2.657315,3.157641,3.065661,0.8627024,0.01362364,4.706587,2.567041,4.030373,3.240403,0.2664661,0.002118568,2.194379,2.771146,2.288316,2.406488,1.30255,2.635969,0.07866008,1.60428,3.149022,1.77627,1.69313,2.434815,3.101911,3.528304,0.6395672,3.4124769999999995,0.01850099,2.19702,2.457466,0.0,0.01821993,3.199741,2.329516,2.65946,0.0302197,3.035131,0.2216145,1.936253,4.069868,3.03068,0.009000912,3.1716580000000003,0.3853002,0.3820247,1.611834,0.4472981,2.284409,1.818901,0.0,0.7515254,0.3854609,2.865994,4.442224,3.58082,0.0,0.0265317,1.306582,2.874981,2.483739,1.465748,0.8947761000000001,3.186996,1.114081,0.0,0.7927905,1.334176,1.523916,3.3958699999999995,2.0201,0.0,0.4284574,0.0236013,0.0,0.01434738,0.0,0.0,0.5135155,0.0,0.06417849,0.0,0.0,0.003623542,0.0,0.05775062,0.5713619000000001,0.06688869,3.49052,0.3882955999999999,1.370656,0.007679724,0.0,0.01234835,0.8794386000000001,0.931387,3.774994,0.316471,0.03406398,0.02724696,0.0,0.1271073999999999,0.5867101,1.46506,0.01844154,0.0,0.0,0.0,3.973432,0.8642706,0.01047332,3.031928,0.0,0.004143192,0.0,3.029522,0.0,2.157002,1.572359,0.0,0.5434604999999999,0.0,0.0,2.648146,0.0,1.030527,0.0,1.416519,0.02564324,0.0,0.0
LYZ1,5.134439,1.53227,3.991391,0.9284161,2.077192,4.847601999999999,2.0150360000000003,0.06777006,2.137557,4.842032,1.623776,0.4041063,5.22466,4.703773,5.901564,5.257452,3.119032,1.284451,7.281467,0.08841347,7.618416000000001,3.937233,5.708064,6.966645,6.214893,7.219211,7.338717,5.613306,7.153362,7.127369,7.181131,7.019999,7.308297,6.5156160000000005,4.439704,6.852246000000001,7.502683999999999,6.416983999999999,6.558608,7.030235,7.502127000000001,0.4864791,7.253217,7.393250999999999,7.685411,7.401825,4.349276000000001,7.525530000000001,6.9731440000000005,7.576743,6.827553999999999,7.438652,7.283814,7.414689,7.217208999999999,6.536267,7.143059,6.634651,6.743735000000001,7.215992,7.382198,4.799794,5.813712000000001,7.009258,6.88895,6.094474,6.558622,7.040967,7.183161999999999,7.13695,7.458299,7.265941000000001,6.762909,6.368268,7.721478999999999,7.064098,6.765502000000001,6.334564,7.210485,7.199447999999999,6.977346000000001,7.810656,6.685219999999999,7.017239999999999,5.697187,7.955374000000001,7.324022,7.572589,6.512276,6.678411,7.162307000000001,7.261513000000001,7.519837,7.33811,7.115074000000001,7.177503999999999,7.215455,6.977631,7.239664,7.324008999999999,6.311796,7.933725,7.524994,7.255947999999999,6.987313,6.73738,7.867547999999999,7.198652,5.813139,6.847834,5.820394,6.446683999999999,6.658833,7.098836,5.434014,4.348409999999999,6.956364999999999,6.611233,6.458694,6.525154,7.970075,4.71774,6.947061,7.697050999999999,7.295897999999999,7.369505999999999,7.438342,6.954788000000001,7.135391,7.541353,6.980161,7.748939999999999,6.694422,5.486481,7.398534,7.385924,6.706446000000001
CD274,1.9732362572904096,0.926634757963395,3.09022422530086,2.46941217422648,1.8214063488984296,0.771476619013793,0.6342747602043951,1.95220826920036,1.67348156581563,2.42327884810225,0.0542734646457442,3.0290419199095497,1.7839481797006205,0.0,1.90035023429756,0.3449293188467719,0.0096545765729364,2.89557391389469,2.93653209582771,2.17154697110826,1.1791592457269,0.395731818153737,2.55617541478317,3.2189948866083395,0.63665239705862,2.98267273209737,2.47067402873422,3.31827879961124,0.264756452676966,2.88167240742426,1.3837481135300902,3.36075553282412,0.571983924342705,2.63040154222546,1.99059073473624,0.498137977037891,3.12211933967002,1.82681596598631,1.06092677906609,1.8812860983458304,2.82973233633671,1.10762471327485,2.16030436847621,2.5478274399617,0.454713535190287,2.45711787350133,3.3367571802736498,0.33352811100506,1.44454855196719,2.83672409420233,1.58135320244448,2.92133857522328,1.13749733702596,3.52363310534164,1.65553892841783,1.70201928438761,1.71341154726549,0.864912269511193,0.7469200593237301,3.59284328185496,2.76221642322179,1.00363845765403,0.223899338682056,2.17424115761917,0.135232688056228,3.24086024702098,1.03950878404843,1.88531466462821,1.93966348787967,0.01759151829045,1.8139433418798403,0.6421235699290619,1.38378636847793,1.44353476439497,1.58460692346353,3.30845273393732,1.96115509170921,0.0,2.85976648261203,0.409102767093591,1.69489619836231,1.27400758172095,0.4761900837314729,0.124681376294556,0.352542875899062,0.0091454158818209,1.52992304467578,2.0079795618461,0.0045583428403157,2.10735627763332,0.0074677138420822,0.3337605171896469,0.0036311569014102,1.22598908769429,0.274351152345855,2.0701485377600903,0.0023191329741264,0.0,1.50459206434167,0.234654311588477,0.3744977137399289,0.946809018112834,1.5548874870232,2.21061172409135,0.0,1.04081659314687,1.29475309346469,0.501393674609188,0.613986260788167,0.7233282776976709,2.10370111230321,2.2465334522262403,1.5941443326832,0.481861912246942,4.36394723777793,2.4067477542778195,2.9118623120144,0.205963190060579,1.37815468422292,0.692212362265939,0.397429933260938,1.64622380556466,0.336718724680547,3.36294079031761,0.657896893728825,0.2107442698729789,1.71421890810887,1.45027949085023,2.25654563776536,1.15437534929894,0.349377856243256,1.03826074011634,0.0760251162516394,0.262514073668613,1.95228540266793,3.88717163264789,2.02666875367137
NHP2,3.362086,3.647468,0.5467588000000001,3.659447,3.270591,3.179533,2.994568,0.0,1.88408,0.7847178000000001,1.001964,1.7897029999999998,3.590731,3.113609,2.595439,2.7096,3.100309,2.555499,2.452499,2.4396150000000003,2.363421,3.136748,1.959053,0.8101703,3.717992,1.946276,3.690839,2.094259,2.803594,0.6998654000000001,1.171976,2.918829,2.486504,0.4595813,3.331716000000001,0.2324514999999999,0.3010361,2.060184,3.2989050000000004,2.321626,2.813815,1.538831,0.0,2.042074,3.074603,1.096455,0.1296417,2.345655,2.909401,2.586179,3.153482,2.605799,2.629094,0.0,3.2955940000000004,3.485413,2.547062,1.110734,1.439598,2.314419,0.7569623999999999,1.805393,2.549951,0.006790955,0.2348808,3.544076,0.0,2.633779,3.103552,2.941095,2.325734,0.9083643,3.076985,2.628625,3.096503,2.886097,2.012866,2.47791,2.964204,2.142861,0.5012564,0.8868241,2.001572,1.943577,0.7594559000000001,3.445713,1.7322509999999998,0.05707092,0.01778281,1.203392,2.329157,1.835279,1.568336,1.248516,3.935344,0.2009733,2.661794,0.0,0.0,2.825519,3.403083,0.01845174,0.7146564999999999,0.1547901,2.269489,2.723742,2.210117,3.174914,0.9966679,1.7280349999999998,2.78963,1.009101,1.369721,1.653855,2.285479,3.0916,0.01200166,3.251538,0.0,2.528986,2.207345,3.030244,0.04793698,1.008225,1.149331,0.0,1.482946,1.84694,0.7950503000000001,1.678296,0.0,1.604535,0.5739995,2.909892,0.0,0.9901459,0.4478885
SNX10,2.117617,2.098734,2.653197,1.60473,1.877996,0.9083099,1.0863040000000002,1.040909,2.168172,0.09642088,2.287426,2.201179,1.010241,1.576481,0.791343,2.276262,0.0,0.01651994,2.319868,0.1217697,2.1841150000000003,1.198101,1.711669,1.942261,1.568266,2.220762,0.01751174,1.970852,0.1313687,0.01187678,2.940901,2.616738,2.068144,2.981305,0.8956127,1.726414,0.780134,2.864327,2.982611,2.541853,0.9660948,2.638474,1.968975,2.058233,2.467566,2.570578,1.312102,1.80106,0.4548297,0.8588996999999999,1.481477,3.172966,2.006098,2.37603,1.915722,0.01190554,2.139253,0.3668149,0.2305007999999999,0.8131318000000001,0.0354233,0.3566984,1.4157110000000002,2.471484,2.284765,2.237047,1.591255,0.8247728999999999,2.817359,0.01317812,1.911297,2.30879,3.333211,2.28243,3.51761,0.4693393,1.985421,2.026275,1.254842,1.188253,1.98515,1.6975049999999998,2.735944,0.5448006,0.8515748,2.715097,0.0,3.626181,0.9844464,0.3317592,1.670982,0.05205116,1.268525,0.01696332,0.00596978,0.9760255,1.816858,2.369571,2.711109,0.02498813,2.96881,2.019001,0.8918702,1.660823,3.444347,2.514818,2.776407,2.502312,0.3487389,2.021591,0.2922755,1.813011,1.649823,0.2626095999999999,1.132679,0.0,1.200101,0.5808482,0.0,1.918136,2.780369,3.078827,0.2192478,2.975707,0.4775917,3.236635,3.094642,0.1091182,0.4868456,3.103611,0.0,2.464408,0.1702472,0.2132518,0.4204087,2.241917,3.181173
