gene,LPS_4h_S35,LPS_2h_S40,LPS_4h_S29,LPS_4h_S71,LPS_4h_S60,LPS_4h_S87,LPS_4h_S36,LPS_4h_S24,LPS_4h_S94,LPS_2h_S33,LPS_6h_S2,LPS_4h_S76,LPS_4h_S66,LPS_4h_S16,LPS_4h_S3,LPS_4h_S78,LPS_6h_S11,LPS_4h_S27,LPS_6h_S74,LPS_4h_S86,LPS_6h_S41,LPS_4h_S26,LPS_6h_S88,LPS_6h_S12,LPS_4h_S37,LPS_6h_S38,LPS_6h_S8,LPS_4h_S14,LPS_4h_S55,LPS_4h_S18,LPS_2h_S94,LPS_4h_S68,LPS_4h_S74,LPS_4h_S49,LPS_6h_S58,LPS_6h_S81,LPS_4h_S83,LPS_6h_S39,LPS_6h_S21,LPS_6h_S25,LPS_6h_S29,LPS_6h_S30,LPS_6h_S20,LPS_4h_S30,LPS_6h_S93,LPS_6h_S76,LPS_6h_S53,LPS_4h_S65,LPS_4h_S77,LPS_6h_S90,LPS_6h_S80,LPS_4h_S28,LPS_6h_S68,LPS_4h_S40,LPS_4h_S43,LPS_4h_S73,LPS_4h_S17,LPS_4h_S52,LPS_6h_S3,LPS_4h_S53,LPS_4h_S54,LPS_6h_S15,LPS_4h_S85,LPS_6h_S51,LPS_6h_S1,LPS_6h_S48,LPS_4h_S23,LPS_4h_S89,LPS_6h_S84,LPS_4h_S9,LPS_4h_S2,LPS_6h_S28,LPS_6h_S63,LPS_6h_S22,LPS_4h_S81,LPS_4h_S82,LPS_6h_S57,LPS_4h_S56,LPS_4h_S62,LPS_4h_S59,LPS_4h_S46,LPS_4h_S51,LPS_4h_S1,LPS_4h_S96,LPS_6h_S34,LPS_4h_S63,LPS_6h_S40,LPS_6h_S96,LPS_6h_S42,LPS_6h_S62,LPS_4h_S32,LPS_4h_S64,LPS_4h_S20,LPS_4h_S57,LPS_6h_S27,LPS_6h_S64,LPS_2h_S51,LPS_6h_S85,LPS_6h_S14,LPS_6h_S77,LPS_4h_S22,LPS_6h_S94,LPS_6h_S49,LPS_6h_S70,LPS_4h_S92,LPS_6h_S89,LPS_4h_S38,LPS_6h_S24,LPS_4h_S41,LPS_6h_S17,LPS_4h_S6,LPS_4h_S75,LPS_6h_S5,LPS_4h_S34,LPS_6h_S23,LPS_4h_S69,LPS_4h_S5,LPS_6h_S26,LPS_6h_S4,LPS_6h_S18,LPS_6h_S55,LPS_4h_S42,LPS_4h_S45,LPS_6h_S95,LPS_6h_S75,LPS_6h_S9,LPS_4h_S19,LPS_6h_S6,LPS_4h_S21,LPS_4h_S4,LPS_6h_S16,LPS_6h_S65,LPS_6h_S86,LPS_6h_S10,LPS_4h_S33,LPS_6h_S37,LPS_4h_S58,LPS_6h_S7,LPS_2h_S1,LPS_6h_S59,LPS_2h_S72,LPS_4h_S72,LPS_6h_S45,LPS_2h_S44,LPS_2h_S2,LPS_6h_S44,LPS_6h_S66,LPS_6h_S43,LPS_4h_S80,LPS_4h_S95,LPS_6h_S61,LPS_4h_S50,LPS_6h_S87,LPS_6h_S50,LPS_6h_S13,LPS_6h_S71,LPS_2h_S88,LPS_4h_S70,LPS_2h_S11,LPS_2h_S80,LPS_4h_S10,LPS_2h_S82,LPS_1h_S9,LPS_2h_S81,LPS_2h_S5,LPS_4h_S7,LPS_2h_S56,LPS_1h_S47,LPS_1h_S83,LPS_1h_S76,LPS_6h_S35,LPS_1h_S70,LPS_2h_S37,LPS_1h_S92,LPS_2h_S59,LPS_2h_S86,LPS_4h_S48
STAT1,2.2175860000000003,1.609003,2.510195,1.556137,2.534507,1.256779,1.853488,1.940334,1.6259709999999998,0.002923439,2.3147740000000003,2.584859,2.9580740000000003,2.158132,3.111699,0.9347285,1.800056,2.397419,2.845002,1.458225,2.679454,1.957161,3.595378,3.387334,1.019312,2.07012,1.539651,2.287793,1.60691,2.244664,0.8754745999999999,1.671946,1.361543,2.128285,2.516976,4.120164,3.028643,2.940119,2.127146,2.663072,2.165887,2.570753,2.713432,2.63897,3.639485,3.058801,1.319018,2.962535,1.437941,3.398545,2.766565,2.7703,2.510208,1.760989,0.0,1.425439,3.206576,2.06371,2.8831900000000004,2.063125,0.5015812,3.957297,1.531006,2.045014,2.529619,2.126552,3.276797,1.730034,1.309871,2.3596790000000003,0.4669915,2.781258,3.353377,1.7713830000000002,0.3724171,1.486711,2.562778,0.4775260999999999,0.5007955,0.02451568,1.702995,2.057318,2.8199240000000003,2.691607,1.240672,1.254205,1.822904,2.748923,1.547134,1.226011,3.251867,0.6913628,3.382879,4.095051,2.494164,0.9094296,0.7956466999999999,0.7517676999999999,0.8598212,2.226811,0.2823215,1.45025,0.1320835,2.015071,2.168601,0.543925,1.817955,2.3956,0.9443775,1.626934,2.9677,3.118475,3.18834,0.4431925,2.556568,1.663804,3.074668,2.885231,0.714936,0.5544498000000001,0.3723256,2.741917,0.09464933,0.2529985999999999,3.310862,1.635237,0.06728909,0.05219538,2.0653080000000004,0.5556994000000001,1.31322,2.450886,0.4159219,3.038735,0.1954798999999999,1.7850549999999998,0.5597043,1.421496,0.005342029,2.124669,0.5385911999999999,0.192413,1.268058,0.4133782,1.95903,1.736675,1.770087,0.9484624,0.0682056,0.6386861,0.4400475,0.9334057,1.291076,0.6625353,0.3870485999999999,1.986867,1.7691150000000002,0.9405857,3.129854,0.0,0.1264612,0.008251497,2.421459,0.5058825,0.161014,0.1356452,0.0,0.0,0.05042851,0.07039026,2.062452,0.003231733,0.0,0.0,0.0,0.8381999,0.1330184
CYBA,4.896045,6.086395,6.301523,5.379109,5.212241000000001,6.310716,5.7415970000000005,5.900974,5.519080000000001,6.1884440000000005,5.686677,5.911112999999999,6.112979,6.317227,5.979593,5.554615,6.5656740000000005,6.259746,5.151069000000001,6.227733,5.395713,6.127968,6.970167,6.629254,5.227682,4.86495,5.886094,5.881665,5.294649,5.560357,4.691751999999999,5.610868,5.736446,5.414545,6.960708,6.205071,6.285732,6.015372,6.168126999999999,5.441997,6.365096,4.781011,5.313141000000001,5.709798,5.995055000000001,5.691242,5.015823,5.899573999999999,6.448582,5.993828,5.74943,5.178165,5.640214,4.88482,4.491323,4.776768,6.118621,6.047187,4.730748999999999,5.910949,6.174091000000001,5.903772,5.556702,4.9427080000000005,5.554126999999999,4.394951,5.335396,6.288685,6.004525,4.952502,5.63092,5.050053,5.862672,5.417907,6.44419,5.133218,6.101133,4.475452,5.773292,4.910487,4.478947,4.843229,5.273805,5.246995,5.187275,3.640912,4.444753,4.633072,4.271339,2.987035,4.972862,4.768364,4.2324660000000005,4.513254,5.159718,4.334458000000001,4.847395,3.725116,5.834493,5.464408000000001,4.029587,4.710826,4.811865,4.625049,4.159807,4.786263,4.123759,3.854856,4.264539,3.791916000000001,4.039859,1.932024,4.462562999999999,3.689025,5.055432,5.46438,4.477909,4.8007230000000005,2.380412,5.263906,6.490718,3.470206,4.846674,3.559409,3.508156,5.228269,4.371734,5.449148999999999,3.695445,5.336606,3.934304,5.836833,5.654319,5.233764,4.604031,3.5016580000000004,5.913901999999999,4.9169410000000005,5.935219,4.341089,3.447193,5.654778,2.881313,4.484277,4.649851,5.110106,5.2391190000000005,4.7557540000000005,3.921328,4.394384,3.360893,4.796298999999999,5.6188720000000005,4.865543,4.410654,3.5783949999999995,3.910834,6.75585,5.447205,3.100451,3.109789,2.578423,3.449679,5.015068,5.030593,4.007249,4.341494,5.299511,4.694629,4.751022,4.151935,3.997253,1.629426,4.316132,3.814435,4.000583,4.640937
ATP5L,5.0085180000000005,3.426794,5.057578,5.239488,4.896132,5.185073,4.1255180000000005,3.908341000000001,4.104631,4.904857,4.674097,4.71696,4.80194,5.28805,4.977635,4.165205,5.278586,4.778791,4.890102,4.8263620000000005,4.089258999999999,4.187746,4.588586,4.760286,5.063663,3.978637,2.844794,5.571637,4.977003,4.324425,5.009641,4.962386,4.842876,4.763868,4.423474,4.610535,5.301904,3.656154,4.123457,4.375780000000001,4.999011,4.351985,4.104555,4.485455,3.982082,4.405936,4.681755,4.768406,4.35045,4.677029,4.320928,4.434448000000001,5.192609,4.208753,4.356893,3.970571,4.730731,4.6699980000000005,4.970433,4.866047,4.684427,4.870924,4.710873,3.694317,4.281674,3.709315,4.734579,3.991233,3.715257,4.74029,4.206389,3.840989,4.438265,4.233098,5.35845,4.573706,2.965505,4.800903,4.477828,4.093293,4.544015,4.6435580000000005,4.593205,3.957195,4.751608,5.247116,4.4211730000000005,4.337332,4.932504,5.186003,4.314994,4.0136970000000005,4.1798,4.26426,5.589569,5.250271,4.577276,4.307483,4.391483999999999,4.586874,4.279558,4.639776,4.447584,4.981666000000001,3.701831,4.423904,4.008274,4.456726000000001,4.403464,3.566836,4.172251999999999,4.891196,2.319808,4.035416000000001,4.556432,5.149751999999999,3.3043339999999994,5.230747,3.532003,5.087612,4.434421,4.271361,3.263836,4.618174,4.259296,4.06331,4.329842,3.965189,4.092982,5.146833,5.735987000000001,4.973174,3.60457,4.981607,5.932779,1.610286,4.643708,5.631494,4.458522,3.177021,4.856177,2.709546,4.247607,2.891073,3.832415,3.920182,3.607591,4.145658999999999,4.299546,4.776512,3.785001,4.234806,6.003572,3.997199,2.113216,3.909787,4.02542,5.70961,5.414808,5.260316,4.2473980000000005,4.301832,5.837761,4.25195,3.856003,4.769791000000001,3.531085,4.868906,4.891702,5.8725830000000006,4.821503,4.1043970000000005,4.083623,3.295056,3.552256,3.071138,2.446167
RLIM,0.0,0.0,1.728995,0.0,0.1141296,0.0,0.008753728,0.0,0.1841558,1.398798,0.005381185,0.05340066,0.0,0.499478,0.151318,0.0,0.46728,0.1609455,0.2154193999999999,0.1024303999999999,1.186412,0.01394237,0.0029093709999999,0.1739055,0.1672379,0.2934657,0.9041674,0.04303687,0.5356979000000001,1.287066,0.5238912,0.1118359999999999,0.0,1.439916,0.0,0.0,0.343939,0.002661229,0.4061778,0.005640525,0.8335829,0.0,0.5264047,0.06093682,0.0,0.1375593,0.0,0.06891154,0.02332215,0.0,0.03592241,0.0,1.190258,0.01633806,0.9786013,0.0,0.0,0.0,0.4363670999999999,0.0,0.7318161,0.9829963,0.3796509,0.5214014,0.02184251,0.0,0.00336737,0.0,0.04300034,1.007543,0.07574564,0.2404764999999999,0.0,0.0,0.06307897,0.0,0.0,0.1151652,0.0,0.0,0.01837969,0.04947429,0.0,0.0,0.0050081579999999,0.1750422,0.8234536,1.022551,1.506364,0.0,0.002137361,0.3527229,0.11049,0.0,0.0304998,0.001073962,0.0,0.0,2.071918,1.632864,0.0,0.0,0.001124387,0.0,0.007375395,0.07924307,0.0066222419999999,0.1394808,1.135642,0.225878,0.0,0.0,0.0,0.03132197,0.0,0.0,0.05694773,0.003196315,0.0,0.8165563,0.1903086,0.07090671,0.0,0.0,0.2842785999999999,0.03755744,0.0,0.4405292999999999,0.0,0.0,0.001893519,0.003406699,0.0,0.546596,0.0,0.0,0.09941599,0.2229893999999999,0.0,0.6279244,0.009715659,0.08078081,0.0,0.0058397,0.0,0.0,0.01300586,0.0,0.0,0.0,0.009970515,0.0,0.00265478,0.0,0.0004575376,0.0,0.8030918,0.0,0.0,0.003181292,0.0,0.2804432,1.961217,0.00155267,0.0,0.0,0.0,0.4035855,1.341161,0.004277409,0.00573538,0.0,0.0,1.799867,0.0,0.02829634,0.0
MYD88,1.798434,0.0,2.289582,0.004989449,0.5963379,1.761637,0.01425037,0.0,3.220077,1.322485,2.735302,0.09849194,1.57965,1.421493,1.221486,2.825544,3.0607740000000003,1.090516,1.349221,0.0,1.957961,2.446576,2.53121,0.0,0.04403718,1.648425,1.392414,1.594706,1.797859,1.020555,1.347793,0.9343603,0.6560016,0.05525923,0.3188729,0.007100205,1.727383,0.2666732999999999,0.9905525,2.098526,0.01572568,0.9617771,0.0,2.436612,0.3629095,1.57704,0.004755652,2.87744,2.342264,2.245901,1.574653,0.01602536,0.908607,2.020594,0.2079413999999999,1.680762,3.102669,2.385655,1.726003,0.2433001,1.839321,2.205191,3.5762730000000005,0.05826924,2.397557,1.471381,0.6960241,0.0049002229999999,2.12859,3.572447,0.2539464,0.01335815,3.302598,1.065835,0.04262591,3.147405,0.7659951,2.710301,2.670404,3.4378839999999995,1.918085,0.18105,2.716985,0.4250957,1.257869,0.3242320999999999,0.5806541000000001,0.1248385,1.223755,1.576769,0.8338242,2.4696990000000003,0.5065453,0.6788202,0.6284708999999999,0.008670373,2.5628990000000003,0.8406347,1.1835209999999998,2.751663,0.8012262,0.4149082999999999,2.388373,0.0,3.258826,0.09493503,1.164153,0.2681288,0.02366262,0.0,1.625038,0.5964813,2.5405900000000003,0.5413452,0.0,0.1787443,2.959142,0.9633631,2.963668,1.223537,0.6651457,2.147688,1.6509200000000002,1.273359,0.007677508,1.996931,0.0,0.2128137,0.9211777,0.487016,0.0,0.3184712999999999,0.5698459,0.09535367,1.67867,1.468141,0.0,0.0,1.242469,0.7490020000000001,0.004897992,0.0,1.398004,0.0,2.224511,0.02020513,0.02600836,0.7099884,0.2076416999999999,0.09245622,0.0,0.1117269,0.0,0.4788575,2.205589,0.08251243,0.0,0.0,0.0,0.3573539,0.0,0.0,0.0,0.006238504,0.0,1.517013,0.1881263,0.5307662,0.0,0.0,0.02297194,0.0,0.2613462,0.0,0.0,0.01034396,0.0
GPR171,0.04528412,0.0,0.2174344,0.008475524,0.01023173,0.0,2.9305,0.03134161,0.04018456,0.0,0.0,0.0,0.0,1.538994,0.0063801069999999,0.0,0.0,0.0,0.0,0.203638,0.0,0.0,0.7482873999999999,0.0,0.436417,0.0,2.467189,0.0,0.0252535999999999,0.0,1.576712,0.1079882,0.0,0.0,0.0,0.00621837,0.06995539,3.967447,1.331682,2.281082,3.189647,1.59292,0.0,0.07638208,1.22909,4.559375,3.176346,0.1147149,1.878689,3.205269,3.883349,0.253865,0.006776981,0.0,0.0,0.4517468,0.0329825999999999,2.892868,1.697905,0.0,0.0,0.006643776,3.286121,0.0,1.902146,2.778901,0.04708216,1.417694,2.034253,2.406,0.0,1.219239,1.380266,1.169656,0.2100676,0.01610685,0.0,2.914889,0.01324078,2.823586,1.31626,0.0,0.0054846109999999,2.91462,0.0,0.0,0.0,2.012071,0.0,0.0,1.595134,0.04655115,0.02146161,0.06461142,0.0,0.003688799,2.3232310000000003,1.382519,0.0,3.535889,0.0,0.0,3.183824,0.02631669,2.220256,0.0,0.0,1.033478,0.0,0.3163245999999999,1.614574,0.0,0.0,0.0,0.0,0.04900485,0.0,0.1893713,0.0,3.556238,0.0,0.0,0.4635281,0.0,0.003369854,0.01377096,4.463591,0.431081,0.03201606,1.172259,3.734338,0.0040023409999999,0.0,1.776803,0.07154534,0.0,0.03583717,0.0,0.6085469,0.0,0.01710899,0.1064952,3.4289660000000004,0.0,1.1610969999999998,0.0,0.0,0.0,0.04947125,0.005226925,2.751553,0.296286,0.009076526,0.0,2.556659,0.004371466,2.631735,0.09303836,0.0,0.0,0.09822096,0.3456917,0.0,0.0,0.0,0.03072197,0.0,0.03834487,0.0,0.0,0.0,0.0,0.0,0.8114878000000001,0.1206101999999999,0.0,0.1906545
LYZ1,7.324714,7.140041,7.2326,6.525656,7.353955,6.601945,7.234428,8.044088,6.444307,6.660703,7.635592999999999,7.424778,7.196368,7.338997999999999,7.901503999999999,7.492161999999999,6.889064,7.229052999999999,7.354628999999999,6.597133,7.175689,7.053657,6.582613,6.706415,6.624625,7.181856,6.938869,7.288767999999999,6.615800999999999,6.614375,5.819838,7.304778999999999,6.817069,6.746967999999999,7.167321,7.26952,6.977022,6.434569000000001,6.205432,7.783325,7.120071,6.991161,7.623904,7.402938000000001,5.546052,6.643739,7.301322,6.329727,7.429758,6.8352770000000005,6.01931,6.160766000000001,5.12421,6.664314,6.649912,6.562178,6.266726,6.8544410000000005,8.204972999999999,6.677919,6.49637,6.644675,5.503875,6.763841,6.455021,6.348995,7.046807,6.553686,6.076804,4.746268,6.030778,5.843015,6.571608,6.934757,6.802632000000001,3.612638,6.001354,5.501848000000001,4.894174,4.682705,6.997877000000001,3.248927,5.569499,5.8554260000000005,6.160312,6.359682,3.191076,2.681524,7.197187,6.0072160000000006,0.4928979,0.9343635,3.037176,5.5702940000000005,5.691778,6.295049,5.407888,2.189076,5.407129,4.852958,0.3179858,0.07542288,5.936746,5.892896,2.248672,4.683273000000001,0.0,6.840545,7.190946,5.821332,0.7179258000000001,1.220419,5.676299,5.804044,3.534624,7.297917999999999,0.01239445,5.784127,5.115652,7.088686999999999,6.89895,0.06259655,3.4130580000000004,0.05360291,2.853248,6.514241,2.930662,7.024838000000001,0.1417552,6.879974000000001,7.663696000000001,7.15148,6.473413,6.401463,7.03309,6.14617,6.751423,3.479868,4.596707,5.605779,6.297365,7.225608,0.04040288,7.232809,2.68886,7.274917999999999,7.306519000000001,5.862558,5.902784,6.4383300000000006,6.149543,5.0812550000000005,5.348651,5.936516,4.39659,0.03059041,7.825319,7.983678999999999,4.674957,6.186373000000001,6.343211,6.309299,4.913626,6.221518,5.459276999999999,5.873369,6.69062,6.153152,6.37425,6.557253,6.419729,1.773416,5.42236,4.840619,4.534783999999999,0.01592829,6.33793
CD274,1.95159938656148,1.00013266026043,3.58433689791537,1.09446471239022,1.23959466140686,3.44419077036954,4.51160902962393,3.2849361953186698,1.2174959037718502,0.821572786687797,2.85960122729023,3.3795694427305603,2.65521104878546,3.5307337374045096,3.3143211619332003,3.45743213498395,3.2834531547459704,2.7045892094268704,2.67160930401423,1.4371579333344902,3.8172139769279103,5.07055587288217,3.57953326770241,4.31140521551177,2.7035630260709897,3.65839052595334,5.10969826603226,2.55636215165267,3.9841140342275696,3.33717547293008,3.44982336568825,3.02541563776884,1.64283197459034,3.20163561433543,4.593277607283929,4.07112239781274,2.10667437785292,3.51521682601784,3.05174842605773,4.12875482256126,3.6332216878158,3.3741970075224,3.5285780809154303,2.9518844034181,3.8881158874041897,3.47945021656394,3.8625173011981,2.7670968665627904,3.9026011533355898,3.52230958495171,1.7537218616512,0.7955278060535641,3.27857406493717,3.7868492962096,2.48232435682889,2.91093580348766,2.09385209419974,2.7769732411372403,3.3097625206758203,3.04007184244598,2.59384908306016,3.8688715127210895,2.99084615264798,2.70360159547098,4.07978162411481,3.92847459265311,2.03861978104024,1.93613070406232,2.4846552467485203,2.48790308812737,0.376884041711766,2.66918098541914,3.3084016733259,3.89485489220725,3.62394121235309,3.94850322293827,0.776940504779838,0.5588502055069,3.59848585456975,3.6628335008847897,1.21410267796926,2.77922398553913,2.7259252596237795,2.29439005616761,2.2512289777718504,3.1703767941197203,1.5471094610063,2.40117825373913,3.0862603056286,1.38302329460712,3.00616027699599,2.6778429326938102,2.96516839378569,1.81455776553606,2.07701028083806,2.02042826672403,1.39331158788698,3.51014546604428,0.7261079930679829,2.50489637163156,2.62468096752379,3.25114847047694,1.89308556330025,2.1199798055927603,0.573949336483911,1.13369352277604,2.7901991335482,2.47571531725169,2.73127454718018,3.62076102391009,2.2611990282523,1.53757763776308,3.9247942665431,1.34067013347522,1.89785829035095,2.53933223943587,3.62408563473272,3.26776249090266,2.251554314245,2.49641809500537,3.23413376850446,2.91837990626176,1.21194158753456,2.0924719141664,0.19942062449009,3.0564411452382303,2.7932988374640093,2.02510692987622,3.1508801612836304,0.467136680051581,3.70135941851024,3.94162049002838,3.4523442766397703,1.26978256250894,0.1154182895047109,1.87693171467604,2.37574442839055,1.38729523420186,2.15551138320349,0.0962590741770038,0.0,2.1268213502143203,1.53021760851488,0.0239301921029904,2.11887350778996,1.72573793915351,3.54368789656945,2.2496437157038502,1.78373909344873,1.63372866558395,3.25264256619541,0.0263932041151485,3.2333727054745496,0.99146674919326,1.53149657287191,3.2935393578999297,1.46038325217979,2.17114768137331,0.27815991342629,0.0,0.291201858546529,0.6987992803805889,0.0,0.0159196435816389,0.001837007222506,0.8746438099428501,0.206799983873501,0.0113465363671779,0.129775496717349,1.1771786456012,0.728586062335621,0.0066176041798141,0.004890236431537,0.0,1.4121986984296298,0.108003497404422,0.0584801789647209
NHP2,2.691893,1.875177,2.518836,0.0771424,0.07142778,0.7976191,0.1111137,0.04735382,2.31389,1.5481790000000002,0.4949835999999999,0.0,1.410439,2.385011,1.429875,0.01887905,2.416269,0.9003627000000001,1.828569,1.737175,2.60054,1.056855,0.435634,0.9748393,2.314682,0.06734709,0.8634586,0.0,2.028444,0.3232785999999999,1.666975,2.989728,1.349572,2.32603,0.8430117,2.520621,2.296706,2.682471,3.073035,0.4818460999999999,0.0,0.8602101999999999,0.0,0.8757348,0.6976562,1.346264,0.6400609,2.502414,1.464363,1.42859,0.0,0.0,0.2180561999999999,0.1255873,0.8159248,0.0,2.580001,0.2375208999999999,0.02433812,0.0,0.0,0.0,0.8185121999999999,1.4920950000000002,1.396081,2.61386,0.0,1.306694,1.414013,1.606277,1.352473,1.3402969999999998,0.009730835,0.0,0.08289007,2.364159,0.4570420999999999,1.6725720000000002,0.03086646,0.9065141,1.011822,0.1303271,1.941901,2.215396,0.0,0.0,1.301008,1.935057,0.0,0.4009541,0.0350143,0.9510617,1.573935,0.3029987999999999,2.360555,0.0,1.612103,1.394316,0.172024,0.0,1.6892189999999998,0.0,0.009110517,2.027005,0.5525284,0.0,1.880019,0.0630245,0.04623321,1.379843,0.0,0.0,0.0,2.446192,1.329952,0.04255535,0.9700455,0.0,0.0,0.0,2.859228,0.0,0.0,1.552608,3.135493,0.0,0.0,2.716273,0.0063193999999999,1.0473709999999998,0.0,0.0,0.0,1.536956,2.353284,0.09605284,2.297366,0.9845374,2.665429,1.429339,0.009695578,0.1670762,0.0261125,3.283728,1.7565810000000002,2.513493,1.521185,0.4601109,0.0,0.0,0.0,3.133134,2.986933,0.5399036,0.0,0.0,0.0,0.0,2.566004,1.619645,0.05724874,1.503642,3.939034,3.633745,2.245487,0.0,1.837232,0.0,0.6573842,1.278875,0.0,1.194599,2.943858,0.6546388000000001,0.9644257,0.0,0.2443393
SNX10,1.57985,1.343781,2.889077,1.98565,2.510079,2.570011,2.445586,0.9104221,3.32862,2.775425,3.242503,3.427983,1.235547,3.559876,2.414505,2.496555,2.78498,1.494856,2.16949,0.9460521,3.776413,0.6017443,3.324635,3.207289,1.819428,3.116628,3.54985,0.4380819999999999,1.864115,1.355404,1.286758,4.007795,3.910491,3.028554,3.156895,2.475196,1.067002,2.7480740000000003,0.003819009,1.904086,1.675,3.086786,1.543918,2.973333,2.617292,3.57525,1.029959,2.110427,2.712159,3.494354,2.672338,0.447403,2.056617,1.7063669999999995,1.241376,3.4142690000000004,3.3603339999999995,2.781579,1.7968830000000002,2.915096,2.971853,2.26773,2.966337,2.189353,1.196128,1.464106,2.452295,2.558768,3.186946,1.891833,3.222779,1.7103529999999998,2.7076130000000003,1.964443,0.9299511,2.422084,1.244756,0.4034009,2.515748,1.181995,1.531652,0.5351488,3.382846,1.524942,3.181285,3.18299,3.449298,2.257209,3.441839,3.071588,0.450935,2.675422,1.7062529999999998,3.139996,3.114421,2.602693,0.8270298,1.7058799999999998,1.381749,1.7426529999999998,2.418485,1.68871,3.235492,3.440288,2.01528,1.010709,0.0,3.661229,2.4460040000000003,0.005208944,2.264227,3.5822800000000004,3.089638,2.372185,0.1345911,0.06040735,2.99996,3.2769220000000003,0.5983568,0.3876767,0.3138435999999999,2.6222990000000004,0.6542316,0.0033402609999999,1.272076,1.442963,0.02345522,0.02770662,1.969627,1.249515,1.191049,5.493972,3.388581,3.078505,1.377016,0.006114206,4.142628,0.06302537,0.0,3.61579,1.776462,0.5632454000000001,0.0,0.0,1.905154,0.6519918,2.953263,3.121698,1.052813,0.2737988,0.3426869,0.9654513,2.581515,0.01657801,0.0,0.0,0.1824604,0.2673952,0.0,0.1958282999999999,0.3262514999999999,0.0096241219999999,2.584718,0.0,0.01368829,0.05110051,1.066028,0.01686795,3.660696,2.180296,1.7341689999999998,0.5639974,2.6933,0.0,0.02966518,0.2277442,0.07229527
