gene,LPS_6h_S73,LPS_4h_S67,LPS_1h_S79,LPS_4h_S61,LPS_6h_S91,LPS_1h_S46,LPS_2h_S77,LPS_1h_S95,LPS_6h_S56,LPS_4h_S47,LPS_2h_S70,LPS_1h_S4,LPS_4h_S79,LPS_6h_S67,LPS_6h_S60,LPS_6h_S46,LPS_1h_S65,LPS_2h_S43,LPS_4h_S31,LPS_6h_S83,LPS_1h_S57,LPS_2h_S31,LPS_4h_S84,LPS_2h_S10,LPS_4h_S93,LPS_2h_S68,LPS_6h_S19,LPS_2h_S79,LPS_6h_S72,LPS_6h_S69,LPS_2h_S67,LPS_6h_S78,LPS_1h_S81,LPS_4h_S91,LPS_2h_S50,LPS_4h_S11,LPS_2h_S3,LPS_6h_S54,LPS_1h_S84,LPS_2h_S61,LPS_6h_S47,LPS_4h_S44,LPS_6h_S79,LPS_4h_S12,LPS_6h_S52,LPS_4h_S8,LPS_6h_S36,LPS_2h_S36,LPS_4h_S39,LPS_2h_S30,LPS_4h_S88,LPS_2h_S74,LPS_6h_S32,LPS_1h_S69,LPS_6h_S82,LPS_1h_S68,LPS_6h_S33,LPS_6h_S31,LPS_1h_S54,LPS_6h_S92,LPS_2h_S96,LPS_4h_S90,LPS_2h_S55,LPS_2h_S47,LPS_2h_S90,LPS_4h_S15,LPS_2h_S24,LPS_2h_S48,LPS_2h_S20
STAT1,1.083024,1.2124,0.0,0.03072005,0.421509,0.0,0.0,0.0,0.006720286,0.494208,0.3319078,0.003388204,0.7032487,0.1875851,2.008962,0.08637434,0.0,0.0,0.9684122,2.974413,0.0,0.0,3.125362,0.0,0.5317708999999999,0.0,0.0,0.0,0.2125744,0.4856078,0.0,0.0,0.0,0.0,0.0,0.3466094999999999,0.0,0.0,0.0,0.0,0.2971277,0.1995535,0.2922706,0.04294276,0.04214715,0.1198935,0.5125082000000001,0.0,0.0,0.0,0.0,0.0,0.1079173,0.008721844,0.05666356,0.005334399,0.02984465,0.03623605,0.0,0.1820757999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYBA,0.0,2.506298,3.119317,1.395299,4.192648999999999,4.716257,3.52475,5.437508,2.1254470000000003,2.2676,4.069025,3.658217,2.538242,0.241421,2.244187,2.163749,2.340882,3.5782160000000003,2.167975,5.252517,2.943173,2.542587,3.09181,2.138623,1.834707,2.02584,0.7484715999999999,0.2549349,0.08765864,0.0,1.472908,1.087424,0.7604523,1.92893,4.701219,1.66205,1.813994,0.5981652,1.0613,1.282216,0.0,0.4915415,0.2282257,0.2734446,0.939534,0.7694112,0.6353677,0.7338041999999999,0.0,0.0,0.1789223999999999,0.3775335999999999,0.1447861,0.1859509,0.2471814,0.3254507,0.02802934,0.0,0.03274431,0.04027986,0.1060509999999999,0.080147,0.07139578,0.0456896,0.09112973,0.03768396,0.0,0.0,0.0
ATP5L,3.886324,3.92738,3.217688,4.864609,4.2001,1.995386,2.704526,3.745652,4.389835,1.6655349999999998,1.258098,5.368580000000001,1.148033,0.2891472,0.0,1.691116,2.430936,3.4876120000000004,2.178758,2.060273,0.0,0.0,0.8806056000000001,0.5895074,1.160418,0.0,0.0,0.0,0.1725712999999999,0.3315053,5.6872940000000005,1.4233209999999998,5.49106,0.0,3.3845660000000004,0.9204389,0.0,0.146708,1.421087,2.1071720000000003,0.0,0.9658725,0.0,0.1975637999999999,4.381452,0.5593108,0.0,0.0,0.0,0.0,0.1372188999999999,0.04367182,0.0676484,0.1457559,0.0,0.2755911,0.04287292,0.0,3.097696,0.09192584,0.02782943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLIM,0.0,0.2048739,0.0,0.0,0.4668018,0.0,0.0,0.0,0.0,0.0,0.01305948,0.0,0.0,0.0,0.2251815,0.4122319,0.0,0.0,0.0,0.0,0.3748579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01241521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYD88,0.004297984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1064990000000003,0.2437119999999999,0.0,0.0,0.0,0.0,0.0,0.160831,0.0,0.0,0.0,2.552134,0.0,0.02339056,1.665688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1855697,0.0,0.0,0.0,0.02404399,0.0,0.07260171,0.0,0.6261408,0.0,0.0,0.0,0.02052833,0.08228784,0.01068897,0.0,0.0,0.0,0.0,0.03649935,0.01100419,0.01666873,0.0,0.0,0.0315295,0.0,0.0,0.0,0.03048488,0.006988714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003011069
GPR171,0.00377313,1.020439,1.381911,0.0,0.0,0.0,0.0,0.8372290000000001,0.009059306,1.198669,0.0,0.005954973,1.6686029999999998,0.04276953,0.0,0.0,0.2751126,0.0,0.6570089,0.3766678,0.0,0.0,0.3831574,0.0,0.6304969,0.0,0.0,0.0,0.01326794,0.150454,0.0,0.0,0.04712465,0.0,0.0,0.4611698,0.0,0.5033153,0.7843633000000001,0.0,0.0,0.2081953999999999,0.0,0.05189791,0.2634046,0.177332,0.1462975,0.0,0.0,0.0,0.0,0.009677981,0.0,0.05391788,0.0,0.0,0.0,0.0,0.0,0.0,0.01226514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYZ1,0.09601027,6.395379,1.949188,7.201884,5.963955,6.110914,4.172033,5.2721860000000005,3.953324,5.655249,4.5439300000000005,5.516439,3.284361,5.098688,4.65705,5.593193,5.652053,4.300692,3.198279,6.480969,2.729518,3.40878,1.814083,0.1089734,4.291082,4.241898,3.981446,3.849097,1.310509,6.5901190000000005,4.323232,3.134855,3.3528830000000003,3.261985,3.842665,2.213653,1.284099,1.776231,2.256683,2.582528,1.004446,1.268699,3.281935,2.964062,0.9888828000000002,0.7673444,1.631385,2.454851,0.0,1.231975,0.6984599,0.2755913,0.1232494,0.7912488,0.8184508,0.5016667,0.1706047,0.2172277999999999,1.106741,0.102563,0.09265734,0.1379907,1.026861,0.3305288,0.08619543,0.2647660999999999,0.252449,0.3219225999999999,0.8447287
CD274,3.08267645314811,1.4424314549651205,0.0,0.653163065623083,1.82230632028866,0.217539749043252,0.0019594874789628,1.24743320317814,0.0106194364908296,0.738059532473868,0.0,0.0,0.401763504468602,0.0,1.03301211719741,0.125357531654623,0.24475332402521,0.0520051474817707,0.553203385263744,0.0174855382588904,1.15552041289834,0.1719024247024159,0.101591920395517,0.0,0.312719437412041,0.0,0.295361547851023,0.0,0.0,0.293284456187706,0.0,0.5802210305063461,0.0,0.973951594444111,0.0,0.0747226895165511,0.0,0.213150784329911,0.27726643918603,0.0,0.0594897135139789,0.1111260079461999,0.7886264071636179,0.310275832741427,0.0431758925811769,0.0544838916473013,0.393844775997661,0.0,0.0,0.204158796483588,0.0564778161765495,0.0056978323934488,0.0340964493356394,0.0192098785240033,0.0,0.0127762752304775,0.0055480435639321,0.0528119392639876,0.0,0.0,0.0,0.0,0.0144326616138361,0.0,0.0,0.0037919640143353,0.0117150807439322,0.0030563973309811,0.0
NHP2,3.562817,0.0,2.71361,0.0,0.08746268,0.0,0.0,1.481165,0.0,1.047918,0.0,0.0,0.6765039,0.0,0.0,1.36218,0.0,2.515112,0.902892,0.0,1.7769009999999998,0.0,0.2070203999999999,0.0,0.2645847,0.0,0.0,0.1702542,0.0,0.1671634,0.0,0.0,1.122659,0.0,0.0,0.04729467,0.0,0.0,0.0,0.0,0.0,0.1180217,0.0,0.02010014,0.0,0.1005075,0.0,0.0,0.0,0.0,0.06953212,2.7260150000000003,0.0,0.0,0.09687269,0.0,0.0,0.0,0.0,0.0,0.04031328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX10,0.0,0.7615113,1.261728,0.06294545,0.03476308,0.0,0.362869,0.0,0.0,0.1910736,0.9996597,0.0,0.3083072,0.07090891,1.585138,0.3458472999999999,0.0,0.0,0.2306209,2.927461,0.0,0.0,0.1170571999999999,0.0,0.3099098,0.20584,0.0,0.1897977,0.0,0.06761858,0.07311617,0.3960755999999999,0.0,0.0,0.0,0.2279812,0.0,0.02709932,0.0,0.263051,2.512551,0.04816309,0.06940815,0.007908532,0.06367949,0.05661358,0.0,0.0,0.0,0.0,0.0,0.02518727,0.0,0.0,0.0,0.01621472,0.008227522,0.0,0.0,0.005895376,0.0,0.0,0.0,0.0,0.0,0.0373739,0.0,0.0,0.0
