,TF,Target,Label
0,2,391,1
1,2,1014,1
2,2,144,1
3,2,1054,1
4,2,924,1
5,2,678,1
6,2,781,1
7,2,1171,1
8,2,921,1
9,2,441,1
10,2,143,1
11,2,787,1
12,2,184,1
13,2,713,1
14,2,1001,1
15,2,1108,1
16,2,278,1
17,2,958,1
18,2,511,1
19,2,744,1
20,2,1039,1
21,2,1077,1
22,2,1060,1
23,2,822,1
24,2,524,1
25,2,1038,1
26,2,716,1
27,2,397,1
28,2,77,1
29,2,1007,1
30,2,944,1
31,2,466,1
32,2,757,1
33,2,672,1
34,2,1057,1
35,2,532,1
36,2,1045,1
37,2,370,1
38,2,99,1
39,2,259,1
40,2,871,1
41,2,28,1
42,2,454,1
43,2,858,1
44,2,20,1
45,2,668,1
46,2,496,1
47,2,386,1
48,2,772,1
49,2,691,1
50,2,1160,1
51,2,428,1
52,2,927,1
53,2,863,1
54,2,934,1
55,2,1098,1
56,2,837,1
57,2,1133,1
58,2,155,1
59,2,1083,1
60,2,806,1
61,2,257,1
62,2,874,1
63,2,975,1
64,2,611,1
65,2,1176,1
66,2,1095,1
67,2,635,1
68,2,1185,1
69,2,249,1
70,2,518,1
71,2,112,1
72,2,36,1
73,2,1012,1
74,2,555,1
75,2,484,1
76,2,750,1
77,2,292,1
78,2,1139,1
79,2,684,1
80,2,920,1
81,2,1081,1
82,2,823,1
83,2,1034,1
84,2,53,1
85,2,760,1
86,2,695,1
87,2,565,1
88,2,576,1
89,2,427,1
90,2,1050,1
91,2,1126,1
92,2,955,1
93,2,889,1
94,2,973,1
95,2,855,1
96,2,495,1
97,2,0,1
98,2,945,1
99,2,1110,1
100,2,546,1
101,2,949,1
102,2,767,1
103,2,782,1
104,2,688,1
105,2,1187,1
106,2,1112,1
107,2,1194,1
108,2,111,1
109,2,415,1
110,2,933,1
111,2,446,1
112,2,1013,1
113,2,980,1
114,2,59,1
115,2,562,1
116,2,317,1
117,2,30,1
118,2,56,1
119,2,1066,1
120,2,25,1
121,2,101,1
122,2,285,1
123,2,84,1
124,2,625,1
125,2,1087,1
126,2,996,1
127,2,132,1
128,2,460,1
129,2,368,1
130,2,825,1
131,2,164,1
132,2,1000,1
133,2,157,1
134,2,530,1
135,2,608,1
136,2,392,1
137,2,893,1
138,2,280,1
139,2,1103,1
140,2,136,1
141,2,836,1
142,2,1024,1
143,2,228,1
144,2,946,1
145,2,7,1
146,2,409,1
147,2,740,1
148,2,1051,1
149,2,574,1
150,2,255,1
151,2,925,1
152,2,337,1
153,2,603,1
154,2,622,1
155,2,448,1
156,2,717,1
157,2,861,1
158,2,719,1
159,2,1198,1
160,2,1069,1
161,2,1041,1
162,2,628,1
163,2,1113,1
164,2,1165,1
165,2,875,1
166,2,50,1
167,2,1088,1
168,2,505,1
169,2,616,1
170,2,201,1
171,2,1134,1
172,2,41,1
173,2,700,1
174,2,818,1
175,2,726,1
176,2,998,1
177,2,33,1
178,2,523,1
179,2,137,1
180,2,191,1
181,2,253,1
182,2,1135,1
183,2,1092,1
184,2,383,1
185,2,186,1
186,2,219,1
187,2,807,1
188,2,83,1
189,2,432,1
190,2,91,1
191,2,178,1
192,2,735,1
193,2,165,1
194,2,402,1
195,2,698,1
196,2,85,1
197,2,731,1
198,2,792,1
199,2,587,1
200,2,501,1
201,2,540,1
202,2,1178,1
203,2,607,1
204,2,90,1
205,2,976,1
206,2,1093,1
207,2,848,1
208,2,57,1
209,2,819,1
210,2,447,1
211,2,919,1
212,2,433,1
213,2,242,1
214,2,1131,1
215,2,828,1
216,2,1005,1
217,2,830,1
218,2,307,1
219,2,739,1
220,2,761,1
221,2,623,1
222,2,1120,1
223,2,981,1
224,2,534,1
225,2,1071,1
226,2,796,1
227,2,766,1
228,2,583,1
229,2,1072,1
230,2,697,1
231,2,97,1
232,2,667,1
233,2,853,1
234,2,394,1
235,2,63,1
236,2,932,1
237,2,3,1
238,2,140,1
239,2,846,1
240,2,777,1
241,2,1189,1
242,2,5,1
243,2,109,1
244,2,862,1
245,2,118,1
246,2,870,1
247,2,16,1
248,2,586,1
249,2,301,1
250,2,686,1
251,2,941,1
252,2,65,1
253,2,235,1
254,2,775,1
255,2,1061,1
256,2,260,1
257,2,533,1
258,2,342,1
259,2,35,1
260,2,502,1
261,2,614,1
262,2,657,1
263,2,341,1
264,2,457,1
265,2,841,1
266,2,637,1
267,2,857,1
268,2,997,1
269,2,905,1
270,2,669,1
271,2,443,1
272,2,361,1
273,2,832,1
274,2,31,1
275,2,880,1
276,2,151,1
277,2,105,1
278,2,9,1
279,2,6,1
280,2,166,1
281,2,752,1
282,2,1091,1
283,2,1063,1
284,2,926,1
285,2,295,1
286,2,679,1
287,2,908,1
288,2,618,1
289,2,1049,1
290,2,979,1
291,2,198,1
292,2,948,1
293,2,663,1
294,2,1181,1
295,2,1130,1
296,2,964,1
297,2,480,1
298,2,548,1
299,2,580,1
300,2,947,1
301,2,239,1
302,2,119,1
303,2,827,1
304,2,244,1
305,2,1162,1
306,2,660,1
307,2,950,1
308,2,824,1
309,2,600,1
310,2,252,1
311,2,643,1
312,2,272,1
313,2,1037,1
314,2,912,1
315,2,1163,1
316,2,957,1
317,2,88,1
318,2,516,1
319,2,788,1
320,2,107,1
321,2,425,1
322,2,935,1
323,2,1146,1
324,2,1010,1
325,2,914,1
326,2,599,1
327,2,204,1
328,2,705,1
329,2,58,1
330,2,334,1
331,2,486,1
332,2,521,1
333,2,860,1
334,2,362,1
335,2,930,1
336,2,520,1
337,2,907,1
338,2,755,1
339,2,1138,1
340,2,639,1
341,2,180,1
342,2,471,1
343,2,124,1
344,2,230,1
345,2,1032,1
346,2,403,1
347,2,338,1
348,2,426,1
349,2,355,1
350,2,539,1
351,2,1030,1
352,2,559,1
353,2,347,1
354,2,983,1
355,2,327,1
356,2,265,1
357,2,885,1
358,2,367,1
359,2,738,1
360,2,545,1
361,2,413,1
362,2,917,1
363,2,708,1
364,2,1169,1
365,2,721,1
366,2,879,1
367,2,309,1
368,2,882,1
369,2,833,1
370,2,499,1
371,2,19,1
372,2,23,1
373,2,847,1
374,2,131,1
375,2,722,1
376,2,277,1
377,2,503,1
378,2,1,1
379,2,720,1
380,2,1105,1
381,2,389,1
382,2,416,1
383,2,121,1
384,2,299,1
385,2,381,1
386,2,108,1
387,2,404,1
388,2,133,1
389,2,311,1
390,2,690,1
391,2,1140,1
392,2,685,1
393,2,319,1
394,2,1156,1
395,2,876,1
396,2,359,1
397,2,1143,1
398,2,27,1
399,2,1052,1
400,2,300,1
401,2,595,1
402,2,751,1
403,2,808,1
404,2,328,1
405,2,329,1
406,2,199,1
407,2,64,1
408,2,531,1
409,2,1153,1
410,2,1008,1
411,2,897,1
412,2,173,1
413,2,158,1
414,2,795,1
415,2,647,1
416,2,560,1
417,2,783,1
418,2,892,1
419,2,321,1
420,2,544,1
421,2,754,1
422,2,866,1
423,2,360,1
424,2,1085,1
425,2,1200,1
426,2,683,1
427,2,388,1
428,2,553,1
429,2,102,1
430,2,712,1
431,2,522,1
432,2,254,1
433,2,1152,1
434,2,1128,1
435,2,805,1
436,2,898,1
437,2,135,1
438,2,168,1
439,2,220,1
440,2,759,1
441,2,676,1
442,2,1147,1
443,2,450,1
444,2,410,1
445,2,316,1
446,2,704,1
447,2,764,1
448,2,791,1
449,2,223,1
450,2,26,1
451,2,852,1
452,2,971,1
453,2,69,1
454,2,279,1
455,2,1048,1
456,2,785,1
457,2,1064,1
458,2,588,1
459,2,989,1
460,2,942,1
461,2,706,1
462,2,613,1
463,2,542,1
464,2,1199,1
465,2,1036,1
466,2,1129,1
467,2,831,1
468,2,74,1
469,2,610,1
470,2,264,1
471,2,54,1
472,2,843,1
473,2,179,1
474,2,170,1
475,2,604,1
476,2,878,1
477,2,182,1
478,2,928,1
479,2,687,1
480,2,541,1
481,2,1075,1
482,2,943,1
483,2,801,1
484,2,331,1
485,2,399,1
486,2,500,1
487,2,1109,1
488,2,187,1
489,2,1089,1
490,2,330,1
491,2,584,1
492,2,1132,1
493,2,780,1
494,2,94,1
495,2,434,1
496,9,744,1
497,9,103,1
498,9,818,1
499,9,1182,1
500,9,556,1
501,9,206,1
502,9,14,1
503,9,367,1
504,9,121,1
505,9,1103,1
506,9,426,1
507,9,247,1
508,9,1039,1
509,9,421,1
510,9,945,1
511,9,708,1
512,9,1122,1
513,9,743,1
514,9,812,1
515,9,966,1
516,9,138,1
517,9,555,1
518,9,658,1
519,9,265,1
520,9,722,1
521,9,1188,1
522,9,1032,1
523,9,248,1
524,9,361,1
525,9,758,1
526,9,56,1
527,9,732,1
528,9,211,1
529,9,129,1
530,9,425,1
531,9,662,1
532,9,365,1
533,9,571,1
534,9,1067,1
535,9,153,1
536,9,779,1
537,9,1036,1
538,9,441,1
539,9,703,1
540,9,731,1
541,9,626,1
542,9,428,1
543,9,1063,1
544,9,997,1
545,9,117,1
546,9,855,1
547,9,76,1
548,9,221,1
549,9,733,1
550,9,89,1
551,9,172,1
552,9,521,1
553,9,968,1
554,9,721,1
555,9,685,1
556,9,349,1
557,9,1062,1
558,9,986,1
559,9,875,1
560,9,788,1
561,9,849,1
562,9,1077,1
563,9,1125,1
564,9,1202,1
565,9,802,1
566,9,1131,1
567,9,188,1
568,9,878,1
569,9,243,1
570,9,712,1
571,9,331,1
572,9,137,1
573,9,807,1
574,9,683,1
575,9,257,1
576,9,41,1
577,9,130,1
578,9,404,1
579,9,335,1
580,9,987,1
581,9,423,1
582,9,1064,1
583,9,528,1
584,9,201,1
585,9,664,1
586,9,84,1
587,9,815,1
588,9,1078,1
589,9,660,1
590,9,637,1
591,9,78,1
592,9,1038,1
593,9,1160,1
594,9,663,1
595,9,304,1
596,9,75,1
597,9,174,1
598,9,457,1
599,9,298,1
600,9,519,1
601,9,432,1
602,9,1117,1
603,9,462,1
604,9,970,1
605,9,246,1
606,9,249,1
607,9,940,1
608,9,582,1
609,9,238,1
610,9,791,1
611,9,459,1
612,9,1124,1
613,9,119,1
614,9,251,1
615,9,1193,1
616,9,507,1
617,9,178,1
618,9,82,1
619,9,285,1
620,9,386,1
621,9,442,1
622,9,876,1
623,9,1130,1
624,9,806,1
625,9,451,1
626,9,651,1
627,9,37,1
628,9,860,1
629,9,918,1
630,9,408,1
631,9,514,1
632,9,173,1
633,9,676,1
634,9,169,1
635,9,419,1
636,9,472,1
637,9,678,1
638,9,1139,1
639,9,1074,1
640,9,292,1
641,9,118,1
642,9,960,1
643,9,971,1
644,9,904,1
645,9,391,1
646,9,1034,1
647,9,694,1
648,9,899,1
649,9,841,1
650,9,25,1
651,9,1185,1
652,9,930,1
653,9,115,1
654,9,959,1
655,9,775,1
656,9,64,1
657,9,739,1
658,9,156,1
659,9,817,1
660,9,809,1
661,9,552,1
662,9,314,1
663,9,844,1
664,9,445,1
665,9,977,1
666,9,60,1
667,9,767,1
668,9,330,1
669,9,366,1
670,9,92,1
671,9,526,1
672,9,410,1
673,9,379,1
674,9,416,1
675,9,834,1
676,9,252,1
677,9,1016,1
678,9,50,1
679,9,557,1
680,9,882,1
681,9,813,1
682,9,392,1
683,9,55,1
684,9,979,1
685,9,220,1
686,9,963,1
687,9,629,1
688,9,1198,1
689,9,1089,1
690,9,820,1
691,9,745,1
692,9,512,1
693,9,90,1
694,9,179,1
695,9,928,1
696,9,1165,1
697,9,1200,1
698,9,704,1
699,9,975,1
700,9,790,1
701,9,53,1
702,9,338,1
703,9,128,1
704,9,94,1
705,9,1008,1
706,9,923,1
707,9,896,1
708,9,93,1
709,9,1099,1
710,9,1150,1
711,9,1001,1
712,9,295,1
713,9,785,1
714,9,327,1
715,9,1113,1
716,9,1126,1
717,9,723,1
718,9,810,1
719,9,776,1
720,9,961,1
721,9,819,1
722,9,1148,1
723,9,943,1
724,9,222,1
725,9,796,1
726,9,935,1
727,9,579,1
728,9,276,1
729,9,950,1
730,9,333,1
731,9,352,1
732,9,858,1
733,9,696,1
734,9,1109,1
735,9,719,1
736,9,241,1
737,9,652,1
738,9,205,1
739,9,1091,1
740,9,468,1
741,9,498,1
742,9,1107,1
743,9,384,1
744,9,1092,1
745,9,362,1
746,9,621,1
747,9,210,1
748,9,612,1
749,9,699,1
750,9,473,1
751,9,182,1
752,9,377,1
753,9,8,1
754,9,520,1
755,9,104,1
756,9,497,1
757,9,628,1
758,9,1121,1
759,9,994,1
760,9,763,1
761,9,33,1
762,9,913,1
763,9,422,1
764,9,355,1
765,9,823,1
766,9,293,1
767,9,804,1
768,9,981,1
769,9,829,1
770,9,729,1
771,9,1029,1
772,9,141,1
773,9,1069,1
774,9,165,1
775,9,343,1
776,9,682,1
777,9,883,1
778,9,1054,1
779,9,1192,1
780,9,596,1
781,9,1018,1
782,9,957,1
783,9,1166,1
784,9,47,1
785,9,322,1
786,9,1080,1
787,9,984,1
788,9,544,1
789,9,939,1
790,9,505,1
791,9,716,1
792,9,687,1
793,9,227,1
794,9,794,1
795,9,848,1
796,9,888,1
797,9,1186,1
798,9,587,1
799,9,502,1
800,9,897,1
801,9,69,1
802,9,901,1
803,9,5,1
804,9,490,1
805,9,369,1
806,9,219,1
807,9,1146,1
808,9,907,1
809,9,532,1
810,9,581,1
811,9,510,1
812,9,1007,1
813,9,1189,1
814,9,827,1
815,9,672,1
816,9,1035,1
817,9,821,1
818,9,389,1
819,9,2,1
820,9,62,1
821,9,1086,1
822,9,864,1
823,9,597,1
824,9,569,1
825,9,870,1
826,9,479,1
827,9,6,1
828,9,593,1
829,9,167,1
830,9,647,1
831,9,1102,1
832,9,764,1
833,9,232,1
834,9,1201,1
835,9,146,1
836,9,659,1
837,9,225,1
838,9,370,1
